Manual Section,Scenario,Instructions
FCOM Section 2,Icing Conditions,"Report icing conditions to ATC, request vector to exit icing area, perform de-icing procedures."
AOM Section 5,Emergency Evacuation,"Deploy slides if necessary, account for all passengers and crew."
AOM Section 7,Decompression,"Ensure all passengers are using oxygen masks, monitor cabin altitude."
AOM Section 3,Bird Strike,"Assess aircraft for damage, monitor engine performance, prepare for possible diversion."
QRH Section 3,Fire in Engine,"Shut down affected engine, activate fire suppression system, prepare for emergency landing."
AOM Section 1,Bird Strike,"Assess aircraft for damage, monitor engine performance, prepare for possible diversion."
AOM Section 8,Stall Warning,"Verify stall warning accuracy, monitor airspeed and altitude, prepare for possible emergency descent."
AOM Section 7,Navigation System Failure,"Rely on visual navigation if possible, ensure all navigation data is recorded."
AOM Section 8,Fuel Leak,"Declare emergency, avoid areas where fuel leak could cause hazard, prepare for immediate landing."
AOM Section 9,Smoke in Cabin,"Declare emergency, initiate cabin smoke removal procedures, divert to nearest airport."
