Time,Position,Weather Condition,Wind Speed,Temperature
06:01:00,"('28.7041° N', '77.1025° E')",Moderate Turbulence,20 knots,27°C
06:01:30,"('28.7041° N', '77.1025° E')",Clear,10 knots,24°C
06:02:00,"('34.0837° N', '74.7973° E')",Fog,20 knots,30°C
06:02:30,"('25.2532° N', '55.3657° E')",Fog,15 knots,24°C
06:03:00,"('28.7041° N', '77.1025° E')",Moderate Turbulence,20 knots,24°C
06:03:30,"('40.6413° N', '-73.7781° W')",Clear,10 knots,35°C
06:04:00,"('28.7041° N', '77.1025° E')",Clear,15 knots,21°C
06:04:30,"('26.0765° N', '56.2406° E')",Clear,20 knots,21°C
06:05:00,"('26.0765° N', '56.2406° E')",Icing Conditions,10 knots,27°C
06:05:30,"('26.0765° N', '56.2406° E')",Moderate Turbulence,10 knots,27°C
06:06:00,"('34.0837° N', '74.7973° E')",Icing Conditions,15 knots,28°C
06:06:30,"('25.2532° N', '55.3657° E')",Clear,10 knots,34°C
06:07:00,"('28.7041° N', '77.1025° E')",Clear,15 knots,25°C
06:07:30,"('25.2532° N', '55.3657° E')",Thunderstorms,15 knots,27°C
06:08:00,"('34.0837° N', '74.7973° E')",Moderate Turbulence,15 knots,35°C
06:08:30,"('34.0837° N', '74.7973° E')",Fog,10 knots,21°C
06:09:00,"('40.6413° N', '-73.7781° W')",Thunderstorms,10 knots,28°C
06:09:30,"('40.6413° N', '-73.7781° W')",Moderate Turbulence,20 knots,28°C
06:10:00,"('28.7041° N', '77.1025° E')",Thunderstorms,15 knots,24°C
06:10:30,"('40.6413° N', '-73.7781° W')",Clear,10 knots,20°C
06:11:00,"('28.7041° N', '77.1025° E')",Thunderstorms,20 knots,33°C
06:11:30,"('28.7041° N', '77.1025° E')",Icing Conditions,10 knots,32°C
06:12:00,"('25.2532° N', '55.3657° E')",Icing Conditions,20 knots,32°C
06:12:30,"('28.7041° N', '77.1025° E')",Clear,10 knots,32°C
06:13:00,"('28.7041° N', '77.1025° E')",Icing Conditions,10 knots,31°C
06:13:30,"('34.0837° N', '74.7973° E')",Moderate Turbulence,20 knots,25°C
06:14:00,"('26.0765° N', '56.2406° E')",Clear,20 knots,29°C
06:14:30,"('25.2532° N', '55.3657° E')",Moderate Turbulence,10 knots,32°C
06:15:00,"('28.7041° N', '77.1025° E')",Fog,20 knots,30°C
06:15:30,"('28.7041° N', '77.1025° E')",Thunderstorms,10 knots,35°C
06:16:00,"('34.0837° N', '74.7973° E')",Thunderstorms,20 knots,23°C
06:16:30,"('34.0837° N', '74.7973° E')",Clear,20 knots,29°C
06:17:00,"('28.7041° N', '77.1025° E')",Icing Conditions,15 knots,34°C
06:17:30,"('34.0837° N', '74.7973° E')",Thunderstorms,15 knots,26°C
06:18:00,"('26.0765° N', '56.2406° E')",Icing Conditions,20 knots,33°C
06:18:30,"('26.0765° N', '56.2406° E')",Clear,20 knots,30°C
06:19:00,"('28.7041° N', '77.1025° E')",Fog,20 knots,25°C
06:19:30,"('28.7041° N', '77.1025° E')",Thunderstorms,20 knots,27°C
06:20:00,"('28.7041° N', '77.1025° E')",Icing Conditions,20 knots,28°C
06:20:30,"('28.7041° N', '77.1025° E')",Thunderstorms,15 knots,31°C
06:21:00,"('40.6413° N', '-73.7781° W')",Thunderstorms,10 knots,25°C
06:21:30,"('34.0837° N', '74.7973° E')",Icing Conditions,10 knots,28°C
06:22:00,"('34.0837° N', '74.7973° E')",Icing Conditions,20 knots,33°C
06:22:30,"('34.0837° N', '74.7973° E')",Fog,10 knots,30°C
06:23:00,"('25.2532° N', '55.3657° E')",Clear,20 knots,27°C
06:23:30,"('28.7041° N', '77.1025° E')",Thunderstorms,10 knots,26°C
06:24:00,"('25.2532° N', '55.3657° E')",Moderate Turbulence,10 knots,20°C
06:24:30,"('26.0765° N', '56.2406° E')",Icing Conditions,15 knots,28°C
06:25:00,"('25.2532° N', '55.3657° E')",Fog,20 knots,32°C
06:25:30,"('34.0837° N', '74.7973° E')",Clear,20 knots,20°C
06:26:00,"('25.2532° N', '55.3657° E')",Moderate Turbulence,10 knots,26°C
06:26:30,"('34.0837° N', '74.7973° E')",Thunderstorms,10 knots,29°C
06:27:00,"('40.6413° N', '-73.7781° W')",Moderate Turbulence,15 knots,32°C
06:27:30,"('25.2532° N', '55.3657° E')",Clear,10 knots,27°C
06:28:00,"('28.7041° N', '77.1025° E')",Moderate Turbulence,10 knots,23°C
06:28:30,"('40.6413° N', '-73.7781° W')",Clear,15 knots,32°C
06:29:00,"('26.0765° N', '56.2406° E')",Fog,10 knots,21°C
06:29:30,"('34.0837° N', '74.7973° E')",Clear,20 knots,24°C
06:30:00,"('28.7041° N', '77.1025° E')",Clear,20 knots,30°C
06:30:30,"('34.0837° N', '74.7973° E')",Moderate Turbulence,10 knots,27°C
06:31:00,"('40.6413° N', '-73.7781° W')",Fog,15 knots,27°C
06:31:30,"('28.7041° N', '77.1025° E')",Fog,20 knots,30°C
06:32:00,"('26.0765° N', '56.2406° E')",Icing Conditions,15 knots,29°C
06:32:30,"('34.0837° N', '74.7973° E')",Clear,20 knots,29°C
06:33:00,"('25.2532° N', '55.3657° E')",Fog,15 knots,24°C
06:33:30,"('28.7041° N', '77.1025° E')",Fog,10 knots,27°C
06:34:00,"('34.0837° N', '74.7973° E')",Fog,20 knots,29°C
06:34:30,"('40.6413° N', '-73.7781° W')",Icing Conditions,15 knots,28°C
06:35:00,"('25.2532° N', '55.3657° E')",Icing Conditions,20 knots,32°C
06:35:30,"('34.0837° N', '74.7973° E')",Fog,10 knots,20°C
06:36:00,"('26.0765° N', '56.2406° E')",Moderate Turbulence,15 knots,32°C
06:36:30,"('28.7041° N', '77.1025° E')",Fog,10 knots,28°C
06:37:00,"('25.2532° N', '55.3657° E')",Clear,20 knots,22°C
06:37:30,"('28.7041° N', '77.1025° E')",Moderate Turbulence,20 knots,32°C
06:38:00,"('40.6413° N', '-73.7781° W')",Thunderstorms,20 knots,31°C
06:38:30,"('34.0837° N', '74.7973° E')",Thunderstorms,15 knots,22°C
06:39:00,"('26.0765° N', '56.2406° E')",Moderate Turbulence,15 knots,22°C
06:39:30,"('25.2532° N', '55.3657° E')",Thunderstorms,20 knots,33°C
06:40:00,"('34.0837° N', '74.7973° E')",Fog,15 knots,30°C
06:40:30,"('28.7041° N', '77.1025° E')",Thunderstorms,15 knots,26°C
06:41:00,"('28.7041° N', '77.1025° E')",Icing Conditions,10 knots,30°C
06:41:30,"('40.6413° N', '-73.7781° W')",Icing Conditions,15 knots,25°C
06:42:00,"('26.0765° N', '56.2406° E')",Icing Conditions,20 knots,23°C
06:42:30,"('25.2532° N', '55.3657° E')",Fog,20 knots,32°C
06:43:00,"('26.0765° N', '56.2406° E')",Fog,15 knots,29°C
06:43:30,"('26.0765° N', '56.2406° E')",Thunderstorms,20 knots,28°C
06:44:00,"('40.6413° N', '-73.7781° W')",Fog,10 knots,24°C
06:44:30,"('25.2532° N', '55.3657° E')",Thunderstorms,20 knots,25°C
06:45:00,"('34.0837° N', '74.7973° E')",Fog,20 knots,25°C
06:45:30,"('26.0765° N', '56.2406° E')",Icing Conditions,15 knots,30°C
06:46:00,"('28.7041° N', '77.1025° E')",Clear,15 knots,21°C
06:46:30,"('34.0837° N', '74.7973° E')",Thunderstorms,20 knots,20°C
06:47:00,"('40.6413° N', '-73.7781° W')",Fog,20 knots,24°C
06:47:30,"('40.6413° N', '-73.7781° W')",Moderate Turbulence,20 knots,27°C
06:48:00,"('26.0765° N', '56.2406° E')",Fog,15 knots,26°C
06:48:30,"('28.7041° N', '77.1025° E')",Thunderstorms,15 knots,32°C
06:49:00,"('40.6413° N', '-73.7781° W')",Moderate Turbulence,15 knots,21°C
06:49:30,"('34.0837° N', '74.7973° E')",Fog,20 knots,35°C
06:50:00,"('26.0765° N', '56.2406° E')",Icing Conditions,15 knots,22°C
06:50:30,"('34.0837° N', '74.7973° E')",Clear,20 knots,21°C
06:51:00,"('40.6413° N', '-73.7781° W')",Thunderstorms,10 knots,30°C
06:51:30,"('40.6413° N', '-73.7781° W')",Thunderstorms,20 knots,35°C
06:52:00,"('26.0765° N', '56.2406° E')",Clear,20 knots,23°C
06:52:30,"('25.2532° N', '55.3657° E')",Icing Conditions,20 knots,28°C
06:53:00,"('25.2532° N', '55.3657° E')",Moderate Turbulence,15 knots,29°C
06:53:30,"('28.7041° N', '77.1025° E')",Icing Conditions,20 knots,22°C
06:54:00,"('40.6413° N', '-73.7781° W')",Fog,15 knots,23°C
06:54:30,"('34.0837° N', '74.7973° E')",Icing Conditions,20 knots,25°C
06:55:00,"('25.2532° N', '55.3657° E')",Moderate Turbulence,20 knots,20°C
06:55:30,"('25.2532° N', '55.3657° E')",Clear,10 knots,32°C
06:56:00,"('28.7041° N', '77.1025° E')",Icing Conditions,10 knots,30°C
06:56:30,"('25.2532° N', '55.3657° E')",Thunderstorms,20 knots,35°C
06:57:00,"('34.0837° N', '74.7973° E')",Icing Conditions,20 knots,30°C
06:57:30,"('28.7041° N', '77.1025° E')",Moderate Turbulence,10 knots,24°C
06:58:00,"('25.2532° N', '55.3657° E')",Clear,10 knots,22°C
06:58:30,"('26.0765° N', '56.2406° E')",Thunderstorms,15 knots,22°C
06:59:00,"('34.0837° N', '74.7973° E')",Clear,10 knots,25°C
06:59:30,"('40.6413° N', '-73.7781° W')",Clear,10 knots,24°C
07:00:00,"('26.0765° N', '56.2406° E')",Clear,20 knots,25°C
07:00:30,"('25.2532° N', '55.3657° E')",Moderate Turbulence,20 knots,35°C
07:01:00,"('25.2532° N', '55.3657° E')",Thunderstorms,10 knots,33°C
07:01:30,"('25.2532° N', '55.3657° E')",Thunderstorms,15 knots,22°C
07:02:00,"('28.7041° N', '77.1025° E')",Fog,15 knots,20°C
07:02:30,"('25.2532° N', '55.3657° E')",Fog,10 knots,27°C
07:03:00,"('40.6413° N', '-73.7781° W')",Thunderstorms,20 knots,30°C
07:03:30,"('26.0765° N', '56.2406° E')",Icing Conditions,20 knots,25°C
07:04:00,"('26.0765° N', '56.2406° E')",Moderate Turbulence,15 knots,22°C
07:04:30,"('40.6413° N', '-73.7781° W')",Icing Conditions,20 knots,33°C
07:05:00,"('34.0837° N', '74.7973° E')",Icing Conditions,20 knots,27°C
07:05:30,"('28.7041° N', '77.1025° E')",Moderate Turbulence,10 knots,24°C
07:06:00,"('26.0765° N', '56.2406° E')",Moderate Turbulence,10 knots,23°C
07:06:30,"('25.2532° N', '55.3657° E')",Clear,20 knots,34°C
07:07:00,"('26.0765° N', '56.2406° E')",Fog,20 knots,21°C
07:07:30,"('40.6413° N', '-73.7781° W')",Thunderstorms,20 knots,29°C
07:08:00,"('40.6413° N', '-73.7781° W')",Fog,10 knots,21°C
07:08:30,"('34.0837° N', '74.7973° E')",Fog,15 knots,24°C
07:09:00,"('25.2532° N', '55.3657° E')",Fog,20 knots,30°C
07:09:30,"('34.0837° N', '74.7973° E')",Fog,15 knots,31°C
07:10:00,"('26.0765° N', '56.2406° E')",Moderate Turbulence,15 knots,33°C
07:10:30,"('40.6413° N', '-73.7781° W')",Thunderstorms,20 knots,34°C
07:11:00,"('25.2532° N', '55.3657° E')",Fog,10 knots,34°C
07:11:30,"('28.7041° N', '77.1025° E')",Icing Conditions,15 knots,29°C
07:12:00,"('25.2532° N', '55.3657° E')",Clear,10 knots,21°C
07:12:30,"('26.0765° N', '56.2406° E')",Icing Conditions,10 knots,26°C
07:13:00,"('28.7041° N', '77.1025° E')",Moderate Turbulence,15 knots,25°C
07:13:30,"('34.0837° N', '74.7973° E')",Clear,15 knots,28°C
07:14:00,"('25.2532° N', '55.3657° E')",Moderate Turbulence,15 knots,22°C
07:14:30,"('25.2532° N', '55.3657° E')",Thunderstorms,20 knots,28°C
07:15:00,"('28.7041° N', '77.1025° E')",Thunderstorms,15 knots,26°C
07:15:30,"('28.7041° N', '77.1025° E')",Moderate Turbulence,10 knots,35°C
07:16:00,"('40.6413° N', '-73.7781° W')",Thunderstorms,20 knots,32°C
07:16:30,"('34.0837° N', '74.7973° E')",Moderate Turbulence,20 knots,27°C
07:17:00,"('40.6413° N', '-73.7781° W')",Fog,10 knots,30°C
07:17:30,"('34.0837° N', '74.7973° E')",Icing Conditions,20 knots,20°C
07:18:00,"('34.0837° N', '74.7973° E')",Icing Conditions,15 knots,21°C
07:18:30,"('26.0765° N', '56.2406° E')",Icing Conditions,20 knots,35°C
07:19:00,"('40.6413° N', '-73.7781° W')",Icing Conditions,15 knots,28°C
07:19:30,"('25.2532° N', '55.3657° E')",Fog,20 knots,22°C
07:20:00,"('40.6413° N', '-73.7781° W')",Icing Conditions,15 knots,26°C
07:20:30,"('34.0837° N', '74.7973° E')",Thunderstorms,20 knots,33°C
07:21:00,"('28.7041° N', '77.1025° E')",Moderate Turbulence,15 knots,29°C
07:21:30,"('28.7041° N', '77.1025° E')",Fog,20 knots,33°C
07:22:00,"('28.7041° N', '77.1025° E')",Icing Conditions,15 knots,33°C
07:22:30,"('26.0765° N', '56.2406° E')",Moderate Turbulence,10 knots,29°C
07:23:00,"('26.0765° N', '56.2406° E')",Icing Conditions,10 knots,23°C
07:23:30,"('34.0837° N', '74.7973° E')",Moderate Turbulence,10 knots,23°C
07:24:00,"('25.2532° N', '55.3657° E')",Moderate Turbulence,10 knots,26°C
07:24:30,"('34.0837° N', '74.7973° E')",Thunderstorms,20 knots,27°C
07:25:00,"('25.2532° N', '55.3657° E')",Thunderstorms,10 knots,26°C
07:25:30,"('34.0837° N', '74.7973° E')",Icing Conditions,20 knots,23°C
07:26:00,"('40.6413° N', '-73.7781° W')",Icing Conditions,10 knots,20°C
07:26:30,"('25.2532° N', '55.3657° E')",Icing Conditions,20 knots,28°C
07:27:00,"('25.2532° N', '55.3657° E')",Thunderstorms,15 knots,23°C
07:27:30,"('28.7041° N', '77.1025° E')",Thunderstorms,10 knots,31°C
07:28:00,"('26.0765° N', '56.2406° E')",Clear,15 knots,23°C
07:28:30,"('28.7041° N', '77.1025° E')",Thunderstorms,15 knots,32°C
07:29:00,"('25.2532° N', '55.3657° E')",Moderate Turbulence,15 knots,34°C
07:29:30,"('34.0837° N', '74.7973° E')",Fog,15 knots,22°C
07:30:00,"('25.2532° N', '55.3657° E')",Icing Conditions,10 knots,34°C
07:30:30,"('34.0837° N', '74.7973° E')",Clear,20 knots,35°C
07:31:00,"('26.0765° N', '56.2406° E')",Icing Conditions,10 knots,24°C
07:31:30,"('34.0837° N', '74.7973° E')",Thunderstorms,20 knots,31°C
07:32:00,"('26.0765° N', '56.2406° E')",Clear,10 knots,29°C
07:32:30,"('26.0765° N', '56.2406° E')",Icing Conditions,15 knots,30°C
07:33:00,"('25.2532° N', '55.3657° E')",Icing Conditions,15 knots,34°C
07:33:30,"('26.0765° N', '56.2406° E')",Icing Conditions,20 knots,21°C
07:34:00,"('26.0765° N', '56.2406° E')",Moderate Turbulence,10 knots,21°C
07:34:30,"('28.7041° N', '77.1025° E')",Fog,20 knots,31°C
07:35:00,"('26.0765° N', '56.2406° E')",Thunderstorms,10 knots,30°C
07:35:30,"('25.2532° N', '55.3657° E')",Clear,15 knots,26°C
07:36:00,"('26.0765° N', '56.2406° E')",Clear,10 knots,35°C
07:36:30,"('40.6413° N', '-73.7781° W')",Thunderstorms,10 knots,33°C
07:37:00,"('40.6413° N', '-73.7781° W')",Fog,10 knots,34°C
07:37:30,"('26.0765° N', '56.2406° E')",Fog,15 knots,24°C
07:38:00,"('34.0837° N', '74.7973° E')",Icing Conditions,20 knots,27°C
07:38:30,"('28.7041° N', '77.1025° E')",Thunderstorms,15 knots,32°C
07:39:00,"('25.2532° N', '55.3657° E')",Fog,10 knots,21°C
07:39:30,"('34.0837° N', '74.7973° E')",Icing Conditions,15 knots,24°C
07:40:00,"('25.2532° N', '55.3657° E')",Moderate Turbulence,15 knots,35°C
07:40:30,"('34.0837° N', '74.7973° E')",Fog,20 knots,25°C
07:41:00,"('26.0765° N', '56.2406° E')",Icing Conditions,15 knots,23°C
07:41:30,"('28.7041° N', '77.1025° E')",Clear,15 knots,24°C
07:42:00,"('25.2532° N', '55.3657° E')",Fog,15 knots,21°C
07:42:30,"('40.6413° N', '-73.7781° W')",Fog,10 knots,35°C
07:43:00,"('34.0837° N', '74.7973° E')",Moderate Turbulence,20 knots,27°C
07:43:30,"('26.0765° N', '56.2406° E')",Clear,15 knots,29°C
07:44:00,"('28.7041° N', '77.1025° E')",Icing Conditions,20 knots,24°C
07:44:30,"('26.0765° N', '56.2406° E')",Clear,10 knots,33°C
07:45:00,"('26.0765° N', '56.2406° E')",Moderate Turbulence,15 knots,23°C
07:45:30,"('25.2532° N', '55.3657° E')",Clear,10 knots,26°C
07:46:00,"('25.2532° N', '55.3657° E')",Icing Conditions,10 knots,31°C
07:46:30,"('26.0765° N', '56.2406° E')",Icing Conditions,20 knots,27°C
07:47:00,"('40.6413° N', '-73.7781° W')",Fog,15 knots,28°C
07:47:30,"('28.7041° N', '77.1025° E')",Icing Conditions,10 knots,34°C
07:48:00,"('25.2532° N', '55.3657° E')",Icing Conditions,20 knots,25°C
07:48:30,"('25.2532° N', '55.3657° E')",Fog,10 knots,28°C
07:49:00,"('26.0765° N', '56.2406° E')",Thunderstorms,15 knots,25°C
07:49:30,"('40.6413° N', '-73.7781° W')",Fog,15 knots,29°C
07:50:00,"('25.2532° N', '55.3657° E')",Thunderstorms,20 knots,20°C
07:50:30,"('28.7041° N', '77.1025° E')",Icing Conditions,10 knots,24°C
07:51:00,"('40.6413° N', '-73.7781° W')",Thunderstorms,10 knots,26°C
07:51:30,"('25.2532° N', '55.3657° E')",Moderate Turbulence,10 knots,31°C
07:52:00,"('28.7041° N', '77.1025° E')",Fog,15 knots,21°C
07:52:30,"('26.0765° N', '56.2406° E')",Thunderstorms,20 knots,34°C
07:53:00,"('25.2532° N', '55.3657° E')",Moderate Turbulence,20 knots,29°C
07:53:30,"('28.7041° N', '77.1025° E')",Moderate Turbulence,20 knots,25°C
07:54:00,"('26.0765° N', '56.2406° E')",Fog,20 knots,24°C
07:54:30,"('40.6413° N', '-73.7781° W')",Clear,20 knots,31°C
07:55:00,"('25.2532° N', '55.3657° E')",Clear,15 knots,32°C
07:55:30,"('34.0837° N', '74.7973° E')",Icing Conditions,10 knots,21°C
07:56:00,"('40.6413° N', '-73.7781° W')",Clear,20 knots,29°C
07:56:30,"('28.7041° N', '77.1025° E')",Moderate Turbulence,20 knots,34°C
07:57:00,"('26.0765° N', '56.2406° E')",Moderate Turbulence,15 knots,32°C
07:57:30,"('40.6413° N', '-73.7781° W')",Fog,20 knots,31°C
07:58:00,"('28.7041° N', '77.1025° E')",Icing Conditions,10 knots,26°C
07:58:30,"('25.2532° N', '55.3657° E')",Thunderstorms,10 knots,35°C
07:59:00,"('28.7041° N', '77.1025° E')",Fog,20 knots,22°C
07:59:30,"('28.7041° N', '77.1025° E')",Fog,20 knots,20°C
08:00:00,"('40.6413° N', '-73.7781° W')",Clear,20 knots,32°C
08:00:30,"('28.7041° N', '77.1025° E')",Moderate Turbulence,10 knots,32°C
08:01:00,"('26.0765° N', '56.2406° E')",Moderate Turbulence,10 knots,32°C
08:01:30,"('40.6413° N', '-73.7781° W')",Clear,20 knots,26°C
08:02:00,"('25.2532° N', '55.3657° E')",Icing Conditions,20 knots,25°C
08:02:30,"('26.0765° N', '56.2406° E')",Moderate Turbulence,15 knots,22°C
08:03:00,"('34.0837° N', '74.7973° E')",Moderate Turbulence,10 knots,20°C
08:03:30,"('28.7041° N', '77.1025° E')",Fog,15 knots,26°C
08:04:00,"('26.0765° N', '56.2406° E')",Fog,15 knots,35°C
08:04:30,"('26.0765° N', '56.2406° E')",Icing Conditions,20 knots,27°C
08:05:00,"('26.0765° N', '56.2406° E')",Icing Conditions,15 knots,31°C
08:05:30,"('28.7041° N', '77.1025° E')",Fog,15 knots,21°C
08:06:00,"('40.6413° N', '-73.7781° W')",Fog,10 knots,32°C
08:06:30,"('34.0837° N', '74.7973° E')",Clear,20 knots,20°C
08:07:00,"('28.7041° N', '77.1025° E')",Fog,15 knots,26°C
08:07:30,"('25.2532° N', '55.3657° E')",Moderate Turbulence,20 knots,35°C
08:08:00,"('40.6413° N', '-73.7781° W')",Thunderstorms,10 knots,32°C
08:08:30,"('28.7041° N', '77.1025° E')",Icing Conditions,15 knots,34°C
08:09:00,"('40.6413° N', '-73.7781° W')",Clear,20 knots,34°C
08:09:30,"('28.7041° N', '77.1025° E')",Moderate Turbulence,20 knots,26°C
08:10:00,"('34.0837° N', '74.7973° E')",Thunderstorms,10 knots,28°C
08:10:30,"('40.6413° N', '-73.7781° W')",Thunderstorms,10 knots,32°C
08:11:00,"('26.0765° N', '56.2406° E')",Icing Conditions,20 knots,35°C
08:11:30,"('34.0837° N', '74.7973° E')",Moderate Turbulence,15 knots,33°C
08:12:00,"('40.6413° N', '-73.7781° W')",Thunderstorms,20 knots,26°C
08:12:30,"('34.0837° N', '74.7973° E')",Fog,20 knots,30°C
08:13:00,"('28.7041° N', '77.1025° E')",Icing Conditions,15 knots,30°C
08:13:30,"('40.6413° N', '-73.7781° W')",Moderate Turbulence,20 knots,26°C
08:14:00,"('28.7041° N', '77.1025° E')",Fog,10 knots,26°C
08:14:30,"('40.6413° N', '-73.7781° W')",Clear,15 knots,20°C
08:15:00,"('25.2532° N', '55.3657° E')",Fog,15 knots,33°C
08:15:30,"('25.2532° N', '55.3657° E')",Clear,10 knots,29°C
08:16:00,"('34.0837° N', '74.7973° E')",Clear,10 knots,20°C
08:16:30,"('34.0837° N', '74.7973° E')",Clear,10 knots,29°C
08:17:00,"('40.6413° N', '-73.7781° W')",Clear,20 knots,21°C
08:17:30,"('26.0765° N', '56.2406° E')",Thunderstorms,10 knots,21°C
08:18:00,"('40.6413° N', '-73.7781° W')",Icing Conditions,20 knots,32°C
08:18:30,"('26.0765° N', '56.2406° E')",Fog,10 knots,33°C
08:19:00,"('34.0837° N', '74.7973° E')",Icing Conditions,10 knots,32°C
08:19:30,"('26.0765° N', '56.2406° E')",Icing Conditions,20 knots,26°C
08:20:00,"('40.6413° N', '-73.7781° W')",Clear,15 knots,31°C
08:20:30,"('40.6413° N', '-73.7781° W')",Moderate Turbulence,15 knots,31°C
08:21:00,"('40.6413° N', '-73.7781° W')",Moderate Turbulence,20 knots,25°C
08:21:30,"('34.0837° N', '74.7973° E')",Thunderstorms,10 knots,31°C
08:22:00,"('34.0837° N', '74.7973° E')",Thunderstorms,15 knots,27°C
08:22:30,"('34.0837° N', '74.7973° E')",Moderate Turbulence,15 knots,21°C
08:23:00,"('40.6413° N', '-73.7781° W')",Icing Conditions,20 knots,30°C
08:23:30,"('26.0765° N', '56.2406° E')",Moderate Turbulence,10 knots,27°C
08:24:00,"('34.0837° N', '74.7973° E')",Thunderstorms,20 knots,23°C
08:24:30,"('25.2532° N', '55.3657° E')",Thunderstorms,10 knots,27°C
08:25:00,"('40.6413° N', '-73.7781° W')",Moderate Turbulence,10 knots,23°C
08:25:30,"('26.0765° N', '56.2406° E')",Icing Conditions,15 knots,28°C
08:26:00,"('26.0765° N', '56.2406° E')",Fog,20 knots,31°C
08:26:30,"('34.0837° N', '74.7973° E')",Clear,10 knots,31°C
08:27:00,"('25.2532° N', '55.3657° E')",Fog,15 knots,34°C
08:27:30,"('26.0765° N', '56.2406° E')",Thunderstorms,10 knots,30°C
08:28:00,"('25.2532° N', '55.3657° E')",Icing Conditions,10 knots,23°C
08:28:30,"('40.6413° N', '-73.7781° W')",Fog,15 knots,32°C
08:29:00,"('40.6413° N', '-73.7781° W')",Thunderstorms,15 knots,23°C
08:29:30,"('25.2532° N', '55.3657° E')",Fog,20 knots,27°C
08:30:00,"('34.0837° N', '74.7973° E')",Thunderstorms,10 knots,23°C
08:30:30,"('25.2532° N', '55.3657° E')",Moderate Turbulence,15 knots,25°C
08:31:00,"('34.0837° N', '74.7973° E')",Icing Conditions,20 knots,35°C
08:31:30,"('26.0765° N', '56.2406° E')",Moderate Turbulence,15 knots,28°C
08:32:00,"('34.0837° N', '74.7973° E')",Thunderstorms,15 knots,31°C
08:32:30,"('28.7041° N', '77.1025° E')",Clear,10 knots,29°C
08:33:00,"('28.7041° N', '77.1025° E')",Icing Conditions,15 knots,24°C
08:33:30,"('25.2532° N', '55.3657° E')",Fog,15 knots,21°C
08:34:00,"('40.6413° N', '-73.7781° W')",Fog,20 knots,33°C
08:34:30,"('34.0837° N', '74.7973° E')",Thunderstorms,20 knots,22°C
08:35:00,"('28.7041° N', '77.1025° E')",Thunderstorms,15 knots,28°C
08:35:30,"('25.2532° N', '55.3657° E')",Fog,15 knots,20°C
08:36:00,"('28.7041° N', '77.1025° E')",Fog,15 knots,26°C
08:36:30,"('25.2532° N', '55.3657° E')",Moderate Turbulence,15 knots,27°C
08:37:00,"('34.0837° N', '74.7973° E')",Moderate Turbulence,15 knots,26°C
08:37:30,"('34.0837° N', '74.7973° E')",Fog,10 knots,27°C
08:38:00,"('28.7041° N', '77.1025° E')",Moderate Turbulence,10 knots,33°C
08:38:30,"('25.2532° N', '55.3657° E')",Clear,20 knots,23°C
08:39:00,"('40.6413° N', '-73.7781° W')",Clear,15 knots,28°C
08:39:30,"('40.6413° N', '-73.7781° W')",Clear,15 knots,33°C
08:40:00,"('40.6413° N', '-73.7781° W')",Fog,20 knots,25°C
08:40:30,"('28.7041° N', '77.1025° E')",Icing Conditions,20 knots,29°C
08:41:00,"('26.0765° N', '56.2406° E')",Fog,20 knots,34°C
08:41:30,"('26.0765° N', '56.2406° E')",Icing Conditions,20 knots,31°C
08:42:00,"('26.0765° N', '56.2406° E')",Icing Conditions,20 knots,26°C
08:42:30,"('28.7041° N', '77.1025° E')",Thunderstorms,20 knots,30°C
08:43:00,"('40.6413° N', '-73.7781° W')",Clear,20 knots,25°C
08:43:30,"('28.7041° N', '77.1025° E')",Thunderstorms,10 knots,24°C
08:44:00,"('25.2532° N', '55.3657° E')",Thunderstorms,15 knots,33°C
08:44:30,"('40.6413° N', '-73.7781° W')",Icing Conditions,20 knots,20°C
08:45:00,"('34.0837° N', '74.7973° E')",Fog,10 knots,24°C
08:45:30,"('28.7041° N', '77.1025° E')",Thunderstorms,15 knots,29°C
08:46:00,"('25.2532° N', '55.3657° E')",Moderate Turbulence,15 knots,26°C
08:46:30,"('28.7041° N', '77.1025° E')",Icing Conditions,10 knots,25°C
08:47:00,"('26.0765° N', '56.2406° E')",Fog,20 knots,28°C
08:47:30,"('40.6413° N', '-73.7781° W')",Fog,20 knots,27°C
08:48:00,"('28.7041° N', '77.1025° E')",Thunderstorms,15 knots,20°C
08:48:30,"('28.7041° N', '77.1025° E')",Fog,20 knots,30°C
08:49:00,"('28.7041° N', '77.1025° E')",Clear,20 knots,24°C
08:49:30,"('26.0765° N', '56.2406° E')",Icing Conditions,10 knots,34°C
08:50:00,"('26.0765° N', '56.2406° E')",Thunderstorms,15 knots,24°C
08:50:30,"('28.7041° N', '77.1025° E')",Thunderstorms,20 knots,34°C
08:51:00,"('25.2532° N', '55.3657° E')",Icing Conditions,20 knots,30°C
08:51:30,"('40.6413° N', '-73.7781° W')",Thunderstorms,15 knots,20°C
08:52:00,"('40.6413° N', '-73.7781° W')",Clear,15 knots,25°C
08:52:30,"('40.6413° N', '-73.7781° W')",Thunderstorms,15 knots,31°C
08:53:00,"('25.2532° N', '55.3657° E')",Fog,15 knots,33°C
08:53:30,"('28.7041° N', '77.1025° E')",Clear,10 knots,24°C
08:54:00,"('40.6413° N', '-73.7781° W')",Thunderstorms,15 knots,20°C
08:54:30,"('40.6413° N', '-73.7781° W')",Icing Conditions,10 knots,34°C
08:55:00,"('34.0837° N', '74.7973° E')",Thunderstorms,20 knots,33°C
