Time,Call Sign,Nearby Aircraft,Distance (nm),Bearing (degrees),ATC Instructions
04:59:30,UAE201,"AAL923, UAL380, AFR886",10,86,Increase speed to avoid traffic conflict
05:00:00,UAE201,"JBU404, AAL945, KLM452",9,154,Increase speed to avoid traffic conflict
05:00:30,UAE201,"KLM403, Lufthansa518, JBU575",6,360,Turn left for traffic avoidance
05:01:00,UAE201,"Qantas320, KLM888, Lufthansa228",1,154,Descend to avoid traffic
05:01:30,UAE201,"KLM546, AFR911, AAL760",6,32,Descend to avoid traffic
05:02:00,UAE201,"Lufthansa351, Emirates165, DAL231",11,298,Maintain separation
05:02:30,UAE201,"JBU306, AFR520, UAL589",6,33,Increase speed to avoid traffic conflict
05:03:00,UAE201,"AFR700, Lufthansa793, AAL718",10,159,Turn left for traffic avoidance
05:03:30,UAE201,"AFR717, Qantas604, Emirates113",8,89,Increase speed to avoid traffic conflict
05:04:00,UAE201,"SWA955, KLM936, DAL893",8,196,Increase speed to avoid traffic conflict
05:04:30,UAE201,"Lufthansa200, KLM622, BAW717",3,49,Maintain separation
05:05:00,UAE201,"AAL413, Emirates411, DAL377",12,102,Descend to avoid traffic
05:05:30,UAE201,"BAW217, Lufthansa723, KLM110",10,329,Descend to avoid traffic
05:06:00,UAE201,"KLM413, UAL177, Qantas472",15,14,Descend to avoid traffic
05:06:30,UAE201,"Emirates853, AFR417, UAL637",9,128,Climb to avoid traffic
05:07:00,UAE201,"Emirates623, SWA587, Lufthansa295",15,152,Descend to avoid traffic
05:07:30,UAE201,"AAL767, UAL161, Lufthansa889",14,105,Increase speed to avoid traffic conflict
05:08:00,UAE201,"AAL412, DAL388, BAW201",13,313,Increase speed to avoid traffic conflict
05:08:30,UAE201,"BAW186, KLM533, AFR473",4,249,Descend to avoid traffic
05:09:00,UAE201,"Emirates216, Qantas464, Lufthansa793",10,241,Increase speed to avoid traffic conflict
05:09:30,UAE201,"Emirates609, AFR492, JBU700",13,242,Descend to avoid traffic
05:10:00,UAE201,"SWA192, AAL355, Emirates312",9,192,Maintain separation
05:10:30,UAE201,"Lufthansa723, Qantas917, DAL774",11,146,Turn left for traffic avoidance
05:11:00,UAE201,"Lufthansa786, AFR131, SWA364",11,42,Turn left for traffic avoidance
05:11:30,UAE201,"SWA416, KLM160, JBU790",8,199,Turn left for traffic avoidance
05:12:00,UAE201,"AFR313, Emirates847, Qantas249",1,43,Maintain separation
05:12:30,UAE201,"DAL419, Lufthansa260, BAW337",9,309,Increase speed to avoid traffic conflict
05:13:00,UAE201,"AFR394, Emirates870, KLM794",14,231,Climb to avoid traffic
05:13:30,UAE201,"Emirates981, UAL408, Qantas996",4,60,Maintain separation
05:14:00,UAE201,"Emirates463, UAL492, KLM506",8,146,Descend to avoid traffic
05:14:30,UAE201,"JBU583, Emirates188, Qantas595",4,67,Increase speed to avoid traffic conflict
05:15:00,UAE201,"DAL218, Lufthansa423, AFR260",14,181,Maintain separation
05:15:30,UAE201,"BAW603, Qantas521, KLM225",13,210,Maintain separation
05:16:00,UAE201,"Qantas463, JBU759, Emirates996",7,199,Climb to avoid traffic
05:16:30,UAE201,"Emirates337, JBU733, SWA400",14,353,Climb to avoid traffic
05:17:00,UAE201,"AAL392, AFR906, Qantas692",15,216,Maintain separation
05:17:30,UAE201,"Qantas431, DAL777, JBU830",12,0,Climb to avoid traffic
05:18:00,UAE201,"SWA659, Lufthansa162, DAL827",13,11,Descend to avoid traffic
05:18:30,UAE201,"JBU341, Lufthansa624, DAL672",2,319,Descend to avoid traffic
05:19:00,UAE201,"UAL668, AAL439, DAL524",3,177,Increase speed to avoid traffic conflict
05:19:30,UAE201,"JBU241, Emirates111, AFR443",13,289,Maintain separation
05:20:00,UAE201,"JBU402, UAL730, AAL835",3,131,Maintain separation
05:20:30,UAE201,"Lufthansa124, Qantas302, KLM761",9,170,Increase speed to avoid traffic conflict
05:21:00,UAE201,"KLM381, JBU999, AAL655",2,21,Increase speed to avoid traffic conflict
05:21:30,UAE201,"AAL869, DAL243, JBU985",13,269,Descend to avoid traffic
05:22:00,UAE201,"DAL582, AAL638, JBU160",5,333,Increase speed to avoid traffic conflict
05:22:30,UAE201,"JBU934, UAL734, Lufthansa479",1,49,Descend to avoid traffic
05:23:00,UAE201,"KLM131, JBU937, DAL270",13,60,Maintain separation
05:23:30,UAE201,"Qantas754, Emirates998, Lufthansa848",7,183,Descend to avoid traffic
05:24:00,UAE201,"Qantas819, KLM180, Emirates973",1,189,Descend to avoid traffic
05:24:30,UAE201,"Lufthansa157, BAW190, AAL827",4,25,Turn left for traffic avoidance
05:25:00,UAE201,"AAL126, AFR185, DAL786",5,323,Descend to avoid traffic
05:25:30,UAE201,"Emirates528, DAL626, UAL981",6,41,Climb to avoid traffic
05:26:00,UAE201,"UAL690, JBU337, AFR256",8,237,Increase speed to avoid traffic conflict
05:26:30,UAE201,"Lufthansa601, BAW649, SWA498",11,199,Climb to avoid traffic
05:27:00,UAE201,"BAW285, Qantas341, AAL422",2,21,Turn left for traffic avoidance
05:27:30,UAE201,"AFR770, KLM805, JBU960",13,225,Turn left for traffic avoidance
05:28:00,UAE201,"Qantas149, SWA528, AFR386",15,260,Climb to avoid traffic
05:28:30,UAE201,"JBU895, UAL127, AAL537",5,164,Descend to avoid traffic
05:29:00,UAE201,"AFR646, KLM902, Qantas318",4,155,Maintain separation
05:29:30,UAE201,"SWA458, Emirates168, UAL269",11,174,Climb to avoid traffic
05:30:00,UAE201,"DAL822, UAL186, Qantas540",9,213,Maintain separation
05:30:30,UAE201,"KLM293, AFR450, BAW324",8,120,Maintain separation
05:31:00,UAE201,"DAL910, AAL609, BAW877",12,149,Maintain separation
05:31:30,UAE201,"UAL184, Lufthansa384, Emirates109",11,281,Turn left for traffic avoidance
05:32:00,UAE201,"SWA486, BAW531, Lufthansa784",3,350,Descend to avoid traffic
05:32:30,UAE201,"Emirates726, UAL323, SWA670",10,113,Maintain separation
05:33:00,UAE201,"Emirates986, BAW267, Lufthansa799",1,132,Climb to avoid traffic
05:33:30,UAE201,"JBU882, BAW752, KLM168",1,28,Climb to avoid traffic
05:34:00,UAE201,"Qantas283, JBU481, DAL204",9,89,Maintain separation
05:34:30,UAE201,"BAW742, SWA999, Emirates948",7,333,Increase speed to avoid traffic conflict
05:35:00,UAE201,"AFR235, AAL415, DAL318",5,10,Descend to avoid traffic
05:35:30,UAE201,"SWA598, Qantas413, BAW527",1,114,Maintain separation
05:36:00,UAE201,"UAL129, Emirates272, JBU337",9,58,Maintain separation
05:36:30,UAE201,"DAL707, Qantas549, Emirates521",14,231,Maintain separation
05:37:00,UAE201,"KLM568, BAW904, SWA323",2,14,Maintain separation
05:37:30,UAE201,"BAW506, Qantas402, AFR543",12,116,Climb to avoid traffic
05:38:00,UAE201,"SWA634, AFR738, UAL136",14,66,Maintain separation
05:38:30,UAE201,"Lufthansa899, Qantas477, JBU841",4,240,Climb to avoid traffic
05:39:00,UAE201,"AFR883, Lufthansa959, AAL494",5,115,Maintain separation
05:39:30,UAE201,"Emirates142, AAL679, SWA764",3,144,Descend to avoid traffic
05:40:00,UAE201,"SWA879, KLM966, JBU792",12,74,Maintain separation
05:40:30,UAE201,"SWA871, KLM410, AAL470",1,113,Maintain separation
05:41:00,UAE201,"Lufthansa373, AFR711, BAW640",1,113,Climb to avoid traffic
05:41:30,UAE201,"AAL218, AFR116, BAW629",1,110,Descend to avoid traffic
05:42:00,UAE201,"AAL808, KLM549, JBU805",12,194,Descend to avoid traffic
05:42:30,UAE201,"Qantas524, Emirates453, Lufthansa842",5,354,Turn left for traffic avoidance
05:43:00,UAE201,"AFR333, KLM691, Qantas711",12,66,Descend to avoid traffic
05:43:30,UAE201,"AFR148, Lufthansa658, JBU161",11,215,Maintain separation
05:44:00,UAE201,"Lufthansa785, AAL950, AFR743",14,332,Climb to avoid traffic
05:44:30,UAE201,"Emirates660, UAL581, AFR816",6,296,Turn left for traffic avoidance
05:45:00,UAE201,"UAL293, DAL685, KLM720",14,143,Climb to avoid traffic
05:45:30,UAE201,"Lufthansa281, UAL771, Emirates405",14,36,Climb to avoid traffic
05:46:00,UAE201,"UAL142, AFR675, AAL252",3,11,Maintain separation
05:46:30,UAE201,"Emirates156, Lufthansa487, BAW636",1,94,Climb to avoid traffic
05:47:00,UAE201,"Emirates485, Qantas888, Lufthansa511",9,110,Increase speed to avoid traffic conflict
05:47:30,UAE201,"SWA260, Emirates253, Qantas315",3,250,Climb to avoid traffic
05:48:00,UAE201,"JBU785, Qantas337, AAL227",11,354,Maintain separation
05:48:30,UAE201,"Qantas398, AAL553, DAL234",12,75,Maintain separation
05:49:00,UAE201,"KLM761, BAW476, UAL882",4,338,Climb to avoid traffic
05:49:30,UAE201,"Emirates402, AFR477, JBU777",12,245,Turn left for traffic avoidance
05:50:00,UAE201,"JBU680, BAW618, Lufthansa491",11,93,Maintain separation
05:50:30,UAE201,"BAW311, JBU898, DAL969",7,27,Increase speed to avoid traffic conflict
05:51:00,UAE201,"BAW104, JBU206, Qantas642",1,303,Descend to avoid traffic
05:51:30,UAE201,"DAL314, Emirates795, KLM952",14,237,Descend to avoid traffic
05:52:00,UAE201,"UAL621, Lufthansa980, BAW456",8,27,Turn left for traffic avoidance
05:52:30,UAE201,"Emirates927, JBU433, Qantas802",6,356,Turn left for traffic avoidance
05:53:00,UAE201,"AFR367, Lufthansa830, AAL836",9,243,Maintain separation
05:53:30,UAE201,"AAL612, JBU906, UAL266",10,97,Climb to avoid traffic
05:54:00,UAE201,"AAL186, UAL906, Qantas769",7,318,Increase speed to avoid traffic conflict
05:54:30,UAE201,"BAW854, AFR998, AAL592",3,335,Turn left for traffic avoidance
05:55:00,UAE201,"Lufthansa583, BAW105, JBU869",1,277,Maintain separation
05:55:30,UAE201,"Emirates269, UAL767, Lufthansa610",8,204,Descend to avoid traffic
05:56:00,UAE201,"AFR105, AAL958, JBU980",2,3,Climb to avoid traffic
05:56:30,UAE201,"UAL979, Lufthansa569, KLM507",3,171,Turn left for traffic avoidance
05:57:00,UAE201,"KLM178, DAL337, SWA151",7,293,Maintain separation
05:57:30,UAE201,"JBU294, DAL335, Emirates241",9,234,Maintain separation
05:58:00,UAE201,"Lufthansa488, SWA798, AFR625",1,4,Turn left for traffic avoidance
05:58:30,UAE201,"SWA600, Lufthansa342, AFR356",4,137,Increase speed to avoid traffic conflict
05:59:00,UAE201,"Qantas148, KLM524, AAL538",5,307,Climb to avoid traffic
05:59:30,UAE201,"KLM395, AFR482, BAW990",9,4,Climb to avoid traffic
06:00:00,UAE201,"JBU245, UAL783, Emirates199",15,335,Climb to avoid traffic
06:00:30,UAE201,"KLM292, Qantas275, DAL748",14,229,Increase speed to avoid traffic conflict
06:01:00,UAE201,"AAL930, JBU259, KLM388",13,29,Descend to avoid traffic
06:01:30,UAE201,"SWA857, AFR852, BAW565",12,183,Descend to avoid traffic
06:02:00,UAE201,"Emirates500, Qantas776, AFR652",12,349,Increase speed to avoid traffic conflict
06:02:30,UAE201,"SWA912, KLM911, Lufthansa712",9,59,Descend to avoid traffic
06:03:00,UAE201,"UAL915, KLM633, Lufthansa763",14,80,Turn left for traffic avoidance
06:03:30,UAE201,"KLM372, AFR274, Qantas577",8,333,Maintain separation
06:04:00,UAE201,"KLM182, AFR819, JBU473",5,218,Increase speed to avoid traffic conflict
06:04:30,UAE201,"BAW249, Emirates521, Qantas900",14,298,Maintain separation
06:05:00,UAE201,"Lufthansa698, KLM172, Emirates528",5,66,Climb to avoid traffic
06:05:30,UAE201,"BAW541, Lufthansa218, AFR203",5,317,Descend to avoid traffic
06:06:00,UAE201,"KLM124, Qantas728, UAL662",2,298,Climb to avoid traffic
06:06:30,UAE201,"DAL104, UAL888, AFR983",12,176,Maintain separation
06:07:00,UAE201,"Qantas496, JBU427, BAW241",4,146,Increase speed to avoid traffic conflict
06:07:30,UAE201,"AAL930, Emirates643, BAW734",9,89,Climb to avoid traffic
06:08:00,UAE201,"Emirates750, DAL334, AAL926",12,72,Climb to avoid traffic
06:08:30,UAE201,"UAL727, JBU732, AAL206",9,259,Descend to avoid traffic
06:09:00,UAE201,"BAW312, SWA420, AAL152",15,301,Climb to avoid traffic
06:09:30,UAE201,"KLM311, BAW603, Qantas877",8,83,Increase speed to avoid traffic conflict
06:10:00,UAE201,"Lufthansa296, JBU811, Qantas661",6,71,Increase speed to avoid traffic conflict
06:10:30,UAE201,"Qantas225, Lufthansa606, JBU324",4,48,Turn left for traffic avoidance
06:11:00,UAE201,"AFR469, JBU806, AAL171",15,181,Increase speed to avoid traffic conflict
06:11:30,UAE201,"DAL994, Qantas136, AAL416",8,264,Descend to avoid traffic
06:12:00,UAE201,"BAW433, Qantas511, DAL290",12,248,Maintain separation
06:12:30,UAE201,"DAL569, JBU195, SWA626",2,30,Maintain separation
06:13:00,UAE201,"Lufthansa519, JBU781, AAL284",4,274,Climb to avoid traffic
06:13:30,UAE201,"AAL129, UAL417, SWA251",15,181,Increase speed to avoid traffic conflict
06:14:00,UAE201,"UAL462, BAW804, Lufthansa813",1,337,Climb to avoid traffic
06:14:30,UAE201,"Emirates413, JBU972, DAL590",9,320,Turn left for traffic avoidance
06:15:00,UAE201,"AFR567, DAL497, Qantas641",12,94,Descend to avoid traffic
06:15:30,UAE201,"KLM522, DAL808, AFR972",4,240,Maintain separation
06:16:00,UAE201,"DAL532, Lufthansa880, UAL694",3,355,Climb to avoid traffic
06:16:30,UAE201,"AFR601, DAL768, AAL486",6,90,Increase speed to avoid traffic conflict
06:17:00,UAE201,"JBU820, UAL127, KLM208",1,46,Increase speed to avoid traffic conflict
06:17:30,UAE201,"BAW505, UAL608, KLM595",8,127,Turn left for traffic avoidance
06:18:00,UAE201,"Qantas992, Emirates461, AFR743",9,42,Turn left for traffic avoidance
06:18:30,UAE201,"AFR847, DAL742, BAW880",11,225,Climb to avoid traffic
06:19:00,UAE201,"UAL709, AAL929, Lufthansa765",6,26,Increase speed to avoid traffic conflict
06:19:30,UAE201,"Qantas564, JBU744, AAL771",5,68,Increase speed to avoid traffic conflict
06:20:00,UAE201,"JBU878, Emirates828, AFR520",9,94,Climb to avoid traffic
06:20:30,UAE201,"DAL898, UAL204, AAL181",13,131,Increase speed to avoid traffic conflict
06:21:00,UAE201,"BAW621, Lufthansa495, Emirates435",10,95,Turn left for traffic avoidance
06:21:30,UAE201,"AAL360, Lufthansa402, KLM769",8,15,Climb to avoid traffic
06:22:00,UAE201,"KLM696, AAL595, BAW358",13,67,Descend to avoid traffic
06:22:30,UAE201,"JBU963, DAL753, BAW233",1,307,Turn left for traffic avoidance
06:23:00,UAE201,"Lufthansa443, AAL986, BAW223",11,162,Maintain separation
06:23:30,UAE201,"KLM419, AAL327, Emirates190",8,25,Increase speed to avoid traffic conflict
06:24:00,UAE201,"AAL739, UAL498, JBU932",1,115,Climb to avoid traffic
06:24:30,UAE201,"AAL140, JBU634, SWA678",7,280,Turn left for traffic avoidance
06:25:00,UAE201,"BAW733, KLM506, DAL995",12,103,Increase speed to avoid traffic conflict
06:25:30,UAE201,"BAW344, JBU185, DAL267",14,157,Climb to avoid traffic
06:26:00,UAE201,"Qantas884, UAL729, Emirates735",4,339,Turn left for traffic avoidance
06:26:30,UAE201,"Emirates634, BAW819, UAL543",1,27,Increase speed to avoid traffic conflict
06:27:00,UAE201,"UAL120, SWA945, Qantas110",11,259,Descend to avoid traffic
06:27:30,UAE201,"SWA303, DAL184, UAL235",5,167,Turn left for traffic avoidance
06:28:00,UAE201,"Emirates537, UAL990, JBU188",5,111,Climb to avoid traffic
06:28:30,UAE201,"SWA991, Lufthansa499, KLM419",5,213,Climb to avoid traffic
06:29:00,UAE201,"KLM212, Lufthansa686, BAW327",6,173,Climb to avoid traffic
06:29:30,UAE201,"Qantas711, JBU853, Lufthansa685",11,141,Descend to avoid traffic
06:30:00,UAE201,"AAL852, AFR982, DAL947",2,19,Descend to avoid traffic
06:30:30,UAE201,"UAL766, Emirates806, AFR522",9,117,Turn left for traffic avoidance
06:31:00,UAE201,"Qantas500, SWA501, AFR794",11,11,Descend to avoid traffic
06:31:30,UAE201,"KLM934, SWA705, AAL591",15,34,Climb to avoid traffic
06:32:00,UAE201,"SWA483, DAL847, BAW762",5,160,Descend to avoid traffic
06:32:30,UAE201,"AFR626, KLM975, UAL441",8,203,Climb to avoid traffic
06:33:00,UAE201,"Emirates684, Lufthansa616, UAL245",8,79,Climb to avoid traffic
06:33:30,UAE201,"JBU504, DAL377, Lufthansa871",13,30,Maintain separation
06:34:00,UAE201,"Lufthansa588, KLM633, JBU686",5,357,Descend to avoid traffic
06:34:30,UAE201,"AAL209, Qantas990, JBU391",4,85,Descend to avoid traffic
06:35:00,UAE201,"DAL954, SWA460, AAL236",2,131,Turn left for traffic avoidance
06:35:30,UAE201,"Lufthansa343, KLM172, Qantas383",12,191,Increase speed to avoid traffic conflict
06:36:00,UAE201,"DAL210, Qantas491, JBU973",7,6,Climb to avoid traffic
06:36:30,UAE201,"BAW928, Lufthansa531, KLM228",8,6,Maintain separation
06:37:00,UAE201,"KLM469, JBU544, Qantas352",7,276,Maintain separation
06:37:30,UAE201,"AAL398, Qantas816, Emirates528",4,219,Descend to avoid traffic
06:38:00,UAE201,"DAL557, SWA401, AAL915",1,53,Descend to avoid traffic
06:38:30,UAE201,"JBU155, AFR787, Emirates163",1,321,Maintain separation
06:39:00,UAE201,"BAW963, SWA772, JBU296",8,303,Turn left for traffic avoidance
06:39:30,UAE201,"Qantas213, BAW317, JBU475",6,93,Increase speed to avoid traffic conflict
06:40:00,UAE201,"JBU977, Lufthansa459, DAL863",13,324,Increase speed to avoid traffic conflict
06:40:30,UAE201,"UAL405, AAL298, AFR322",7,163,Climb to avoid traffic
06:41:00,UAE201,"Lufthansa979, Qantas605, DAL469",12,269,Turn left for traffic avoidance
06:41:30,UAE201,"DAL465, Lufthansa438, SWA147",5,204,Increase speed to avoid traffic conflict
06:42:00,UAE201,"Emirates907, BAW423, Qantas600",3,315,Maintain separation
06:42:30,UAE201,"UAL756, Emirates278, Qantas659",3,234,Climb to avoid traffic
06:43:00,UAE201,"Qantas722, SWA395, UAL457",4,112,Climb to avoid traffic
06:43:30,UAE201,"Qantas552, UAL883, BAW696",1,85,Turn left for traffic avoidance
06:44:00,UAE201,"BAW884, AAL440, Qantas587",2,139,Increase speed to avoid traffic conflict
06:44:30,UAE201,"Emirates785, Lufthansa324, KLM869",9,47,Increase speed to avoid traffic conflict
06:45:00,UAE201,"UAL858, KLM637, JBU443",10,191,Maintain separation
06:45:30,UAE201,"Qantas677, DAL478, Lufthansa617",1,0,Turn left for traffic avoidance
06:46:00,UAE201,"Qantas436, SWA803, BAW958",5,330,Turn left for traffic avoidance
06:46:30,UAE201,"Emirates683, UAL329, AAL139",12,234,Maintain separation
06:47:00,UAE201,"BAW901, Lufthansa752, UAL393",7,139,Descend to avoid traffic
06:47:30,UAE201,"UAL117, Emirates882, KLM718",5,92,Descend to avoid traffic
06:48:00,UAE201,"SWA608, KLM524, Qantas885",1,332,Descend to avoid traffic
06:48:30,UAE201,"Lufthansa542, Qantas203, AAL112",14,241,Increase speed to avoid traffic conflict
06:49:00,UAE201,"Qantas475, AAL828, JBU550",12,96,Maintain separation
06:49:30,UAE201,"DAL505, AFR305, SWA479",14,259,Descend to avoid traffic
06:50:00,UAE201,"BAW667, AFR703, Lufthansa631",7,163,Increase speed to avoid traffic conflict
06:50:30,UAE201,"Emirates438, UAL409, Qantas633",4,202,Descend to avoid traffic
06:51:00,UAE201,"Lufthansa492, DAL955, AFR560",8,32,Maintain separation
06:51:30,UAE201,"Qantas578, Emirates931, KLM517",9,109,Increase speed to avoid traffic conflict
06:52:00,UAE201,"BAW506, AFR748, SWA730",7,24,Turn left for traffic avoidance
06:52:30,UAE201,"BAW786, Qantas944, Lufthansa964",11,155,Turn left for traffic avoidance
06:53:00,UAE201,"Emirates515, DAL900, BAW637",7,19,Maintain separation
06:53:30,UAE201,"AAL640, Lufthansa182, Emirates164",5,38,Maintain separation
06:54:00,UAE201,"AAL124, Emirates949, SWA604",7,275,Climb to avoid traffic
06:54:30,UAE201,"JBU436, BAW370, AAL811",2,52,Descend to avoid traffic
06:55:00,UAE201,"AAL991, Emirates946, DAL837",10,190,Descend to avoid traffic
06:55:30,UAE201,"JBU828, DAL301, UAL640",11,63,Maintain separation
06:56:00,UAE201,"AFR443, JBU845, DAL790",12,59,Turn left for traffic avoidance
06:56:30,UAE201,"Lufthansa116, AFR188, BAW309",4,125,Increase speed to avoid traffic conflict
06:57:00,UAE201,"UAL583, Emirates818, JBU931",2,104,Turn left for traffic avoidance
06:57:30,UAE201,"AFR100, JBU293, SWA604",15,332,Descend to avoid traffic
06:58:00,UAE201,"Emirates604, AAL626, AFR536",15,258,Descend to avoid traffic
06:58:30,UAE201,"SWA768, KLM480, AFR869",8,16,Turn left for traffic avoidance
06:59:00,UAE201,"Qantas752, Lufthansa991, KLM129",8,114,Maintain separation
06:59:30,UAE201,"DAL991, AFR620, BAW811",8,225,Maintain separation
07:00:00,UAE201,"AAL985, JBU288, Lufthansa434",11,10,Turn left for traffic avoidance
07:00:30,UAE201,"AAL567, BAW319, SWA321",15,184,Increase speed to avoid traffic conflict
07:01:00,UAE201,"Emirates940, AAL399, BAW828",5,353,Climb to avoid traffic
07:01:30,UAE201,"Lufthansa497, AAL578, AFR374",12,216,Maintain separation
07:02:00,UAE201,"AFR337, KLM964, JBU365",3,267,Turn left for traffic avoidance
07:02:30,UAE201,"KLM835, UAL448, Emirates768",3,191,Turn left for traffic avoidance
07:03:00,UAE201,"AAL496, SWA511, UAL206",3,34,Descend to avoid traffic
07:03:30,UAE201,"JBU638, Lufthansa382, Emirates386",13,115,Descend to avoid traffic
07:04:00,UAE201,"UAL301, SWA124, KLM955",5,141,Turn left for traffic avoidance
07:04:30,UAE201,"SWA142, Lufthansa140, AFR653",7,185,Descend to avoid traffic
07:05:00,UAE201,"BAW205, Lufthansa877, JBU244",15,257,Increase speed to avoid traffic conflict
07:05:30,UAE201,"SWA408, AAL899, Qantas737",1,47,Increase speed to avoid traffic conflict
07:06:00,UAE201,"Lufthansa388, AAL548, Emirates812",15,209,Climb to avoid traffic
07:06:30,UAE201,"UAL999, KLM636, Qantas192",11,298,Descend to avoid traffic
07:07:00,UAE201,"AAL905, AFR974, UAL223",2,86,Increase speed to avoid traffic conflict
07:07:30,UAE201,"JBU729, BAW295, AAL861",10,340,Maintain separation
07:08:00,UAE201,"Lufthansa949, UAL197, Emirates769",15,120,Descend to avoid traffic
07:08:30,UAE201,"KLM139, Emirates833, Qantas496",6,197,Maintain separation
07:09:00,UAE201,"UAL641, AFR312, AAL833",8,140,Turn left for traffic avoidance
07:09:30,UAE201,"AFR279, Emirates706, BAW192",10,210,Turn left for traffic avoidance
07:10:00,UAE201,"Lufthansa709, BAW124, Qantas625",13,247,Maintain separation
07:10:30,UAE201,"Lufthansa930, AFR926, UAL252",7,134,Descend to avoid traffic
07:11:00,UAE201,"Qantas482, DAL184, UAL687",13,92,Turn left for traffic avoidance
07:11:30,UAE201,"AFR698, DAL470, BAW918",3,198,Maintain separation
07:12:00,UAE201,"Lufthansa654, Emirates212, SWA216",1,258,Descend to avoid traffic
07:12:30,UAE201,"KLM446, UAL610, SWA199",8,287,Climb to avoid traffic
07:13:00,UAE201,"Qantas417, Emirates331, SWA258",14,19,Turn left for traffic avoidance
07:13:30,UAE201,"JBU755, UAL960, DAL662",7,41,Turn left for traffic avoidance
07:14:00,UAE201,"SWA780, Lufthansa452, AAL758",2,119,Climb to avoid traffic
07:14:30,UAE201,"Emirates845, UAL438, JBU383",7,338,Increase speed to avoid traffic conflict
07:15:00,UAE201,"DAL220, Emirates907, KLM977",13,269,Maintain separation
07:15:30,UAE201,"Emirates498, DAL668, AFR371",12,194,Turn left for traffic avoidance
07:16:00,UAE201,"AFR160, BAW863, AAL220",10,79,Turn left for traffic avoidance
07:16:30,UAE201,"SWA112, Lufthansa711, AAL204",11,171,Maintain separation
07:17:00,UAE201,"DAL292, KLM208, AAL382",2,210,Turn left for traffic avoidance
07:17:30,UAE201,"UAL750, AAL353, JBU976",4,282,Climb to avoid traffic
07:18:00,UAE201,"KLM760, JBU512, AFR117",6,79,Climb to avoid traffic
07:18:30,UAE201,"JBU149, Emirates642, DAL685",6,329,Descend to avoid traffic
07:19:00,UAE201,"JBU436, AAL336, DAL917",11,298,Descend to avoid traffic
07:19:30,UAE201,"AAL780, DAL790, KLM746",6,359,Climb to avoid traffic
07:20:00,UAE201,"AAL905, SWA514, KLM459",12,39,Maintain separation
07:20:30,UAE201,"Qantas629, JBU101, UAL827",14,245,Descend to avoid traffic
07:21:00,UAE201,"Lufthansa962, UAL315, KLM745",6,130,Descend to avoid traffic
07:21:30,UAE201,"UAL719, Lufthansa723, AAL176",1,35,Turn left for traffic avoidance
07:22:00,UAE201,"UAL457, AAL817, Qantas797",3,11,Descend to avoid traffic
07:22:30,UAE201,"Emirates303, AFR640, UAL524",3,13,Climb to avoid traffic
07:23:00,UAE201,"AAL466, SWA896, Lufthansa443",4,303,Descend to avoid traffic
07:23:30,UAE201,"SWA680, Qantas446, AAL530",12,131,Increase speed to avoid traffic conflict
07:24:00,UAE201,"BAW274, JBU999, DAL239",11,232,Increase speed to avoid traffic conflict
07:24:30,UAE201,"Lufthansa488, AAL762, JBU622",13,162,Turn left for traffic avoidance
07:25:00,UAE201,"Emirates752, DAL864, JBU635",6,131,Increase speed to avoid traffic conflict
07:25:30,UAE201,"KLM980, SWA879, Emirates602",5,239,Climb to avoid traffic
07:26:00,UAE201,"Qantas850, JBU872, AFR107",1,120,Climb to avoid traffic
07:26:30,UAE201,"Lufthansa666, KLM165, AAL708",11,245,Descend to avoid traffic
07:27:00,UAE201,"SWA443, AFR137, AAL812",9,185,Climb to avoid traffic
07:27:30,UAE201,"DAL672, KLM748, Lufthansa561",1,161,Descend to avoid traffic
07:28:00,UAE201,"AFR204, KLM341, BAW896",4,166,Increase speed to avoid traffic conflict
07:28:30,UAE201,"BAW165, UAL256, Emirates567",8,28,Maintain separation
07:29:00,UAE201,"AFR214, BAW675, DAL747",4,336,Increase speed to avoid traffic conflict
07:29:30,UAE201,"Emirates349, DAL970, JBU718",5,29,Climb to avoid traffic
07:30:00,UAE201,"BAW244, Lufthansa204, Emirates534",2,243,Climb to avoid traffic
07:30:30,UAE201,"UAL695, AAL357, Lufthansa849",2,277,Turn left for traffic avoidance
07:31:00,UAE201,"SWA234, KLM101, Emirates112",10,147,Descend to avoid traffic
07:31:30,UAE201,"Qantas351, Lufthansa706, AAL235",7,106,Descend to avoid traffic
07:32:00,UAE201,"DAL360, Lufthansa906, Qantas464",12,64,Descend to avoid traffic
07:32:30,UAE201,"Qantas957, JBU169, AAL627",11,273,Increase speed to avoid traffic conflict
07:33:00,UAE201,"SWA332, BAW464, UAL761",7,345,Maintain separation
07:33:30,UAE201,"AAL428, SWA986, JBU220",7,43,Turn left for traffic avoidance
07:34:00,UAE201,"AFR816, Emirates297, DAL476",8,166,Increase speed to avoid traffic conflict
07:34:30,UAE201,"SWA567, JBU481, AAL459",11,353,Increase speed to avoid traffic conflict
07:35:00,UAE201,"JBU407, UAL397, Qantas975",3,179,Climb to avoid traffic
07:35:30,UAE201,"BAW896, JBU282, AFR631",13,326,Turn left for traffic avoidance
07:36:00,UAE201,"Lufthansa796, KLM765, AAL178",15,341,Descend to avoid traffic
07:36:30,UAE201,"KLM472, BAW833, SWA342",2,188,Descend to avoid traffic
07:37:00,UAE201,"DAL938, BAW288, Lufthansa373",13,169,Climb to avoid traffic
07:37:30,UAE201,"KLM658, AFR124, AAL399",14,21,Descend to avoid traffic
