Time (UTC),Flight Number,Call Sign,Aircraft Type,Communication Type,Communication Content,Altitude (ft),Speed (knots),Heading (degrees),"Position (Latitude°, Longitude°)",Weather Update,NOTAMs,Navigational Information,Flight Manual Reference,Summary
15:58:00,FDB145,FDB145,Boeing 777,Pilot Report,"Runway vacated, taxiing to gate.",35000,357,340,"25.3286° N, 55.5171° E",,,"Waypoints: KUSBA, PASOV, DESDI",,Pilot reports flight status
15:58:30,UAE122,UAE122,Boeing 787,Weather Update,Thunderstorms reported along your route near waypoint PASOV.,25000,415,6,"25.2532° N, 55.3657° E",Thunderstorms reported along your route near waypoint PASOV.,,"Waypoints: KUSBA, PASOV, DESDI",Refer to AOM Section 5,Weather update relevant to flight operations
15:59:00,ETD103,ETD103,Airbus A320,NOTAM Alert,GPS interference reported near waypoint ORSAR.,25000,36,350,"25.3286° N, 55.5171° E",,GPS interference reported near waypoint ORSAR.,"Waypoints: KUSBA, PASOV, DESDI",,NOTAM affecting flight operations
15:59:30,UAE158,UAE158,Airbus A380,Pilot Acknowledgment,"Descend to 38000 feet, expect ILS 09L, UAE158.",38000,100,126,"24.9180° N, 55.0728° E",,,"Waypoints: KUSBA, PASOV, DESDI",,Pilot acknowledges instruction
16:00:00,ABY106,ABY106,Airbus A380,Pilot Report,Engine 2 showing abnormal vibrations.,30000,168,279,"26.0765° N, 56.2406° E",,,"Waypoints: KUSBA, PASOV, DESDI",,Pilot reports flight status
16:00:30,ETD111,ETD111,Airbus A380,ATC Instruction,Proceed direct to waypoint DESDI.,25000,338,5,"24.4560° N, 54.6374° E",,,"Waypoints: KUSBA, PASOV, DESDI",,ATC provides instruction to aircraft
16:01:00,UAE166,UAE166,Airbus A320,Pilot Report,"Runway vacated, taxiing to gate.",30000,71,69,"24.4560° N, 54.6374° E",,,"Waypoints: KUSBA, PASOV, DESDI",,Pilot reports flight status
16:01:30,ABY166,ABY166,Airbus A320,Weather Update,Thunderstorms reported along your route near waypoint PASOV.,20000,202,147,"24.9180° N, 55.0728° E",Thunderstorms reported along your route near waypoint PASOV.,,"Waypoints: KUSBA, PASOV, DESDI",Refer to AOM Section 5,Weather update relevant to flight operations
16:02:00,UAE108,UAE108,Airbus A320,ATC Instruction,Proceed direct to waypoint DESDI.,15000,73,322,"25.3286° N, 55.5171° E",,,"Waypoints: KUSBA, PASOV, DESDI",,ATC provides instruction to aircraft
16:02:30,ETD181,ETD181,Boeing 737 MAX,NOTAM Alert,GPS interference reported near waypoint ORSAR.,20000,209,331,"24.4560° N, 54.6374° E",,GPS interference reported near waypoint ORSAR.,"Waypoints: KUSBA, PASOV, DESDI",,NOTAM affecting flight operations
16:03:00,ETD130,ETD130,Airbus A320,Weather Update,Icing conditions reported between FL180 and FL220 over the Hajar Mountains.,20000,372,178,"24.9180° N, 55.0728° E",Icing conditions reported between FL180 and FL220 over the Hajar Mountains.,,"Waypoints: KUSBA, PASOV, DESDI",Refer to AOM Section 5,Weather update relevant to flight operations
16:03:30,ABY115,ABY115,Airbus A320,ATC Instruction,Contact departure on 125.5.,5000,160,203,"26.0765° N, 56.2406° E",,,"Waypoints: KUSBA, PASOV, DESDI",,ATC provides instruction to aircraft
16:04:00,ETD176,ETD176,Airbus A380,ATC Instruction,"Descend and maintain 20000 feet, expect ILS approach runway 09L.",20000,410,213,"25.3286° N, 55.5171° E",,,"Waypoints: KUSBA, PASOV, DESDI",,ATC provides instruction to aircraft
16:04:30,ABY148,ABY148,Airbus A320,Pilot Report,Experiencing moderate turbulence at FL200.,20000,138,65,"24.4560° N, 54.6374° E",,,"Waypoints: KUSBA, PASOV, DESDI",,Pilot reports flight status
16:05:00,ETD107,ETD107,Boeing 777,Weather Update,Icing conditions reported between FL180 and FL220 over the Hajar Mountains.,20000,436,119,"25.3286° N, 55.5171° E",Icing conditions reported between FL180 and FL220 over the Hajar Mountains.,,"Waypoints: KUSBA, PASOV, DESDI",Refer to AOM Section 5,Weather update relevant to flight operations
16:05:30,UAE122,UAE122,Airbus A380,ATC Instruction,Proceed direct to waypoint DESDI.,15000,348,237,"24.9180° N, 55.0728° E",,,"Waypoints: KUSBA, PASOV, DESDI",,ATC provides instruction to aircraft
16:06:00,ABY158,ABY158,Boeing 737 MAX,Pilot Report,"Holding short of runway 12L, ready for departure.",5000,250,194,"24.9180° N, 55.0728° E",,,"Waypoints: KUSBA, PASOV, DESDI",,Pilot reports flight status
16:06:30,UAE159,UAE159,Boeing 787,Pilot Report,"Passing FL300, climbing to FL380.",30000,497,73,"26.0765° N, 56.2406° E",,,"Waypoints: KUSBA, PASOV, DESDI",,Pilot reports flight status
16:07:00,UAE151,UAE151,Boeing 777,NOTAM Alert,GPS interference reported near waypoint ORSAR.,3000,162,184,"25.2532° N, 55.3657° E",,GPS interference reported near waypoint ORSAR.,"Waypoints: KUSBA, PASOV, DESDI",,NOTAM affecting flight operations
16:07:30,ETD144,ETD144,Airbus A320,NOTAM Alert,Navigation aid VOR DUB out of service.,5000,141,197,"25.2532° N, 55.3657° E",,Navigation aid VOR DUB out of service.,"Waypoints: KUSBA, PASOV, DESDI",,NOTAM affecting flight operations
16:08:00,FDB108,FDB108,Boeing 737 MAX,ATC Instruction,"Turn left heading 96, vectors for traffic.",41000,491,96,"25.2532° N, 55.3657° E",,,"Waypoints: KUSBA, PASOV, DESDI",,ATC provides instruction to aircraft
16:08:30,ETD116,ETD116,Boeing 787,Pilot Report,"Passing FL30, climbing to FL380.",3000,258,238,"25.3286° N, 55.5171° E",,,"Waypoints: KUSBA, PASOV, DESDI",,Pilot reports flight status
16:09:00,FDB181,FDB181,Airbus A380,Weather Update,Visibility reduced to 2 kilometers due to sandstorm at destination.,3000,425,249,"24.9180° N, 55.0728° E",Visibility reduced to 2 kilometers due to sandstorm at destination.,,"Waypoints: KUSBA, PASOV, DESDI",Refer to AOM Section 5,Weather update relevant to flight operations
16:09:30,ETD166,ETD166,Airbus A320,Weather Update,Wind shear reported on final approach runway 30L.,38000,344,77,"25.3286° N, 55.5171° E",Wind shear reported on final approach runway 30L.,,"Waypoints: KUSBA, PASOV, DESDI",Refer to AOM Section 5,Weather update relevant to flight operations
16:10:00,FDB109,FDB109,Boeing 787,NOTAM Alert,Navigation aid VOR DUB out of service.,41000,47,197,"25.3286° N, 55.5171° E",,Navigation aid VOR DUB out of service.,"Waypoints: KUSBA, PASOV, DESDI",,NOTAM affecting flight operations
16:10:30,UAE151,UAE151,Boeing 787,Pilot Report,Engine 2 showing abnormal vibrations.,15000,43,186,"25.3286° N, 55.5171° E",,,"Waypoints: KUSBA, PASOV, DESDI",,Pilot reports flight status
16:11:00,UAE195,UAE195,Boeing 777,Pilot Report,"Established on localizer, runway in sight.",5000,147,309,"25.3286° N, 55.5171° E",,,"Waypoints: KUSBA, PASOV, DESDI",,Pilot reports flight status
16:11:30,ABY184,ABY184,Boeing 787,Pilot Report,"Cleared turbulence, resuming normal speed.",0,348,217,"24.4560° N, 54.6374° E",,,"Waypoints: KUSBA, PASOV, DESDI",,Pilot reports flight status
16:12:00,UAE163,UAE163,Boeing 737 MAX,Pilot Report,"Passing FL410, climbing to FL380.",41000,203,319,"25.2532° N, 55.3657° E",,,"Waypoints: KUSBA, PASOV, DESDI",,Pilot reports flight status
16:12:30,ABY164,ABY164,Airbus A380,Pilot Acknowledgment,"Climb and maintain 41000 feet, ABY164.",41000,453,84,"24.4560° N, 54.6374° E",,,"Waypoints: KUSBA, PASOV, DESDI",,Pilot acknowledges instruction
16:13:00,ABY193,ABY193,Airbus A380,ATC Instruction,Climb and maintain 5000 feet.,5000,117,224,"26.0765° N, 56.2406° E",,,"Waypoints: KUSBA, PASOV, DESDI",,ATC provides instruction to aircraft
16:13:30,FDB163,FDB163,Airbus A380,ATC Instruction,Cleared for takeoff runway 30R.,25000,483,42,"25.2532° N, 55.3657° E",,,"Waypoints: KUSBA, PASOV, DESDI",,ATC provides instruction to aircraft
16:14:00,FDB169,FDB169,Boeing 737 MAX,NOTAM Alert,Navigation aid VOR DUB out of service.,20000,216,241,"26.0765° N, 56.2406° E",,Navigation aid VOR DUB out of service.,"Waypoints: KUSBA, PASOV, DESDI",,NOTAM affecting flight operations
16:14:30,ETD170,ETD170,Boeing 737 MAX,Weather Update,Wind shear reported on final approach runway 30L.,10000,80,195,"26.0765° N, 56.2406° E",Wind shear reported on final approach runway 30L.,,"Waypoints: KUSBA, PASOV, DESDI",Refer to AOM Section 5,Weather update relevant to flight operations
16:15:00,ABY195,ABY195,Airbus A320,NOTAM Alert,Temporary flight restriction active over area OM999.,3000,166,122,"25.2532° N, 55.3657° E",,Temporary flight restriction active over area OM999.,"Waypoints: KUSBA, PASOV, DESDI",,NOTAM affecting flight operations
16:15:30,FDB142,FDB142,Boeing 777,Pilot Report,Requesting vectors for weather avoidance.,10000,331,285,"26.0765° N, 56.2406° E",,,"Waypoints: KUSBA, PASOV, DESDI",,Pilot reports flight status
16:16:00,ETD152,ETD152,Boeing 737 MAX,Pilot Report,"Holding short of runway 12L, ready for departure.",10000,51,238,"24.9180° N, 55.0728° E",,,"Waypoints: KUSBA, PASOV, DESDI",,Pilot reports flight status
16:16:30,ETD111,ETD111,Boeing 787,Pilot Acknowledgment,"Climb and maintain 0 feet, ETD111.",0,368,51,"25.2532° N, 55.3657° E",,,"Waypoints: KUSBA, PASOV, DESDI",,Pilot acknowledges instruction
16:17:00,FDB143,FDB143,Boeing 777,NOTAM Alert,Temporary flight restriction active over area OM999.,3000,172,191,"25.2532° N, 55.3657° E",,Temporary flight restriction active over area OM999.,"Waypoints: KUSBA, PASOV, DESDI",,NOTAM affecting flight operations
16:17:30,ABY183,ABY183,Airbus A380,Pilot Acknowledgment,"Switching to 125.5, ABY183.",3000,465,140,"24.9180° N, 55.0728° E",,,"Waypoints: KUSBA, PASOV, DESDI",,Pilot acknowledges instruction
16:18:00,FDB130,FDB130,Boeing 737 MAX,Weather Update,Visibility reduced to 2 kilometers due to sandstorm at destination.,5000,13,124,"26.0765° N, 56.2406° E",Visibility reduced to 2 kilometers due to sandstorm at destination.,,"Waypoints: KUSBA, PASOV, DESDI",Refer to AOM Section 5,Weather update relevant to flight operations
16:18:30,UAE100,UAE100,Boeing 787,ATC Instruction,Maintain present speed.,25000,173,227,"25.2532° N, 55.3657° E",,,"Waypoints: KUSBA, PASOV, DESDI",,ATC provides instruction to aircraft
16:19:00,ABY189,ABY189,Boeing 787,ATC Instruction,"Descend and maintain 25000 feet, expect ILS approach runway 09L.",25000,345,67,"25.3286° N, 55.5171° E",,,"Waypoints: KUSBA, PASOV, DESDI",,ATC provides instruction to aircraft
16:19:30,FDB163,FDB163,Boeing 787,NOTAM Alert,Airspace restriction due to military activity in Al Dhafra region.,41000,167,259,"25.2532° N, 55.3657° E",,Airspace restriction due to military activity in Al Dhafra region.,"Waypoints: KUSBA, PASOV, DESDI",,NOTAM affecting flight operations
16:20:00,UAE143,UAE143,Airbus A320,ATC Instruction,"Turn left heading 107, vectors for traffic.",30000,457,107,"24.4560° N, 54.6374° E",,,"Waypoints: KUSBA, PASOV, DESDI",,ATC provides instruction to aircraft
16:20:30,ABY190,ABY190,Airbus A380,Weather Update,Icing conditions reported between FL180 and FL220 over the Hajar Mountains.,10000,407,90,"25.2532° N, 55.3657° E",Icing conditions reported between FL180 and FL220 over the Hajar Mountains.,,"Waypoints: KUSBA, PASOV, DESDI",Refer to AOM Section 5,Weather update relevant to flight operations
16:21:00,ABY181,ABY181,Boeing 737 MAX,ATC Instruction,"Descend and maintain 10000 feet, expect ILS approach runway 09L.",10000,342,273,"24.4560° N, 54.6374° E",,,"Waypoints: KUSBA, PASOV, DESDI",,ATC provides instruction to aircraft
16:21:30,ETD170,ETD170,Airbus A320,Pilot Report,Experiencing moderate turbulence at FL410.,41000,465,99,"25.3286° N, 55.5171° E",,,"Waypoints: KUSBA, PASOV, DESDI",,Pilot reports flight status
16:22:00,ABY123,ABY123,Boeing 777,Pilot Acknowledgment,"Descend to 0 feet, expect ILS 09L, ABY123.",0,196,4,"24.4560° N, 54.6374° E",,,"Waypoints: KUSBA, PASOV, DESDI",,Pilot acknowledges instruction
16:22:30,ABY114,ABY114,Boeing 777,ATC Instruction,"Turn left heading 179, vectors for traffic.",0,413,179,"24.9180° N, 55.0728° E",,,"Waypoints: KUSBA, PASOV, DESDI",,ATC provides instruction to aircraft
16:23:00,FDB179,FDB179,Boeing 787,Pilot Acknowledgment,"Maintaining present speed, FDB179.",0,169,26,"24.4560° N, 54.6374° E",,,"Waypoints: KUSBA, PASOV, DESDI",,Pilot acknowledges instruction
16:23:30,ETD172,ETD172,Boeing 777,Weather Update,Thunderstorms reported along your route near waypoint PASOV.,38000,18,5,"25.2532° N, 55.3657° E",Thunderstorms reported along your route near waypoint PASOV.,,"Waypoints: KUSBA, PASOV, DESDI",Refer to AOM Section 5,Weather update relevant to flight operations
16:24:00,ABY154,ABY154,Boeing 737 MAX,NOTAM Alert,Airspace restriction due to military activity in Al Dhafra region.,10000,82,171,"25.2532° N, 55.3657° E",,Airspace restriction due to military activity in Al Dhafra region.,"Waypoints: KUSBA, PASOV, DESDI",,NOTAM affecting flight operations
16:24:30,ETD116,ETD116,Boeing 737 MAX,Weather Update,Thunderstorms reported along your route near waypoint PASOV.,3000,252,219,"24.9180° N, 55.0728° E",Thunderstorms reported along your route near waypoint PASOV.,,"Waypoints: KUSBA, PASOV, DESDI",Refer to AOM Section 5,Weather update relevant to flight operations
16:25:00,ABY155,ABY155,Boeing 787,Pilot Report,"Runway vacated, taxiing to gate.",38000,350,232,"24.9180° N, 55.0728° E",,,"Waypoints: KUSBA, PASOV, DESDI",,Pilot reports flight status
16:25:30,FDB124,FDB124,Boeing 787,ATC Instruction,Climb and maintain 41000 feet.,41000,192,186,"24.9180° N, 55.0728° E",,,"Waypoints: KUSBA, PASOV, DESDI",,ATC provides instruction to aircraft
16:26:00,UAE159,UAE159,Boeing 787,Pilot Report,Experiencing moderate turbulence at FL30.,3000,239,187,"24.9180° N, 55.0728° E",,,"Waypoints: KUSBA, PASOV, DESDI",,Pilot reports flight status
16:26:30,UAE195,UAE195,Boeing 777,Weather Update,Visibility reduced to 2 kilometers due to sandstorm at destination.,3000,95,142,"24.9180° N, 55.0728° E",Visibility reduced to 2 kilometers due to sandstorm at destination.,,"Waypoints: KUSBA, PASOV, DESDI",Refer to AOM Section 5,Weather update relevant to flight operations
16:27:00,ABY195,ABY195,Airbus A380,Pilot Acknowledgment,"Maintaining present speed, ABY195.",38000,421,13,"26.0765° N, 56.2406° E",,,"Waypoints: KUSBA, PASOV, DESDI",,Pilot acknowledges instruction
16:27:30,FDB187,FDB187,Airbus A380,Weather Update,Icing conditions reported between FL180 and FL220 over the Hajar Mountains.,5000,219,102,"25.2532° N, 55.3657° E",Icing conditions reported between FL180 and FL220 over the Hajar Mountains.,,"Waypoints: KUSBA, PASOV, DESDI",Refer to AOM Section 5,Weather update relevant to flight operations
16:28:00,FDB117,FDB117,Boeing 787,Weather Update,Visibility reduced to 2 kilometers due to sandstorm at destination.,20000,120,335,"25.2532° N, 55.3657° E",Visibility reduced to 2 kilometers due to sandstorm at destination.,,"Waypoints: KUSBA, PASOV, DESDI",Refer to AOM Section 5,Weather update relevant to flight operations
16:28:30,ABY164,ABY164,Boeing 737 MAX,NOTAM Alert,Navigation aid VOR DUB out of service.,41000,47,127,"25.2532° N, 55.3657° E",,Navigation aid VOR DUB out of service.,"Waypoints: KUSBA, PASOV, DESDI",,NOTAM affecting flight operations
16:29:00,ETD181,ETD181,Airbus A320,Weather Update,Thunderstorms reported along your route near waypoint PASOV.,3000,292,198,"25.2532° N, 55.3657° E",Thunderstorms reported along your route near waypoint PASOV.,,"Waypoints: KUSBA, PASOV, DESDI",Refer to AOM Section 5,Weather update relevant to flight operations
16:29:30,ABY154,ABY154,Boeing 777,Weather Update,Wind shear reported on final approach runway 30L.,15000,50,297,"24.9180° N, 55.0728° E",Wind shear reported on final approach runway 30L.,,"Waypoints: KUSBA, PASOV, DESDI",Refer to AOM Section 5,Weather update relevant to flight operations
16:30:00,UAE188,UAE188,Boeing 787,ATC Instruction,Contact departure on 125.5.,35000,320,81,"26.0765° N, 56.2406° E",,,"Waypoints: KUSBA, PASOV, DESDI",,ATC provides instruction to aircraft
16:30:30,ABY195,ABY195,Airbus A320,Weather Update,Wind shear reported on final approach runway 30L.,30000,216,37,"24.9180° N, 55.0728° E",Wind shear reported on final approach runway 30L.,,"Waypoints: KUSBA, PASOV, DESDI",Refer to AOM Section 5,Weather update relevant to flight operations
16:31:00,ETD178,ETD178,Boeing 777,NOTAM Alert,Navigation aid VOR DUB out of service.,15000,192,199,"25.2532° N, 55.3657° E",,Navigation aid VOR DUB out of service.,"Waypoints: KUSBA, PASOV, DESDI",,NOTAM affecting flight operations
16:31:30,ETD115,ETD115,Boeing 787,Pilot Acknowledgment,"Left heading 85, ETD115.",41000,249,85,"25.3286° N, 55.5171° E",,,"Waypoints: KUSBA, PASOV, DESDI",,Pilot acknowledges instruction
16:32:00,ABY121,ABY121,Boeing 737 MAX,Pilot Report,Engine 2 showing abnormal vibrations.,38000,305,296,"26.0765° N, 56.2406° E",,,"Waypoints: KUSBA, PASOV, DESDI",,Pilot reports flight status
16:32:30,FDB126,FDB126,Boeing 737 MAX,Weather Update,Wind shear reported on final approach runway 30L.,30000,14,241,"26.0765° N, 56.2406° E",Wind shear reported on final approach runway 30L.,,"Waypoints: KUSBA, PASOV, DESDI",Refer to AOM Section 5,Weather update relevant to flight operations
16:33:00,FDB104,FDB104,Boeing 737 MAX,ATC Instruction,"Turn left heading 201, vectors for traffic.",5000,271,201,"24.9180° N, 55.0728° E",,,"Waypoints: KUSBA, PASOV, DESDI",,ATC provides instruction to aircraft
16:33:30,UAE164,UAE164,Boeing 777,ATC Instruction,Proceed direct to waypoint DESDI.,15000,373,167,"24.9180° N, 55.0728° E",,,"Waypoints: KUSBA, PASOV, DESDI",,ATC provides instruction to aircraft
16:34:00,ETD105,ETD105,Airbus A380,Weather Update,Moderate turbulence reported at FL50.,5000,228,113,"26.0765° N, 56.2406° E",Moderate turbulence reported at FL50.,,"Waypoints: KUSBA, PASOV, DESDI",Refer to AOM Section 5,Weather update relevant to flight operations
16:34:30,UAE179,UAE179,Boeing 787,ATC Instruction,Maintain present speed.,3000,61,237,"24.4560° N, 54.6374° E",,,"Waypoints: KUSBA, PASOV, DESDI",,ATC provides instruction to aircraft
16:35:00,UAE161,UAE161,Airbus A320,ATC Instruction,Contact departure on 125.5.,35000,20,254,"24.9180° N, 55.0728° E",,,"Waypoints: KUSBA, PASOV, DESDI",,ATC provides instruction to aircraft
16:35:30,FDB166,FDB166,Boeing 777,Weather Update,Icing conditions reported between FL180 and FL220 over the Hajar Mountains.,15000,220,312,"24.9180° N, 55.0728° E",Icing conditions reported between FL180 and FL220 over the Hajar Mountains.,,"Waypoints: KUSBA, PASOV, DESDI",Refer to AOM Section 5,Weather update relevant to flight operations
16:36:00,UAE177,UAE177,Airbus A320,Weather Update,Icing conditions reported between FL180 and FL220 over the Hajar Mountains.,25000,482,144,"25.2532° N, 55.3657° E",Icing conditions reported between FL180 and FL220 over the Hajar Mountains.,,"Waypoints: KUSBA, PASOV, DESDI",Refer to AOM Section 5,Weather update relevant to flight operations
16:36:30,UAE138,UAE138,Airbus A320,NOTAM Alert,Temporary flight restriction active over area OM999.,41000,360,142,"24.4560° N, 54.6374° E",,Temporary flight restriction active over area OM999.,"Waypoints: KUSBA, PASOV, DESDI",,NOTAM affecting flight operations
16:37:00,ABY139,ABY139,Airbus A320,Pilot Acknowledgment,"Proceeding direct to DESDI, ABY139.",30000,159,74,"25.3286° N, 55.5171° E",,,"Waypoints: KUSBA, PASOV, DESDI",,Pilot acknowledges instruction
16:37:30,ABY128,ABY128,Boeing 737 MAX,Weather Update,Wind shear reported on final approach runway 30L.,0,297,129,"24.9180° N, 55.0728° E",Wind shear reported on final approach runway 30L.,,"Waypoints: KUSBA, PASOV, DESDI",Refer to AOM Section 5,Weather update relevant to flight operations
16:38:00,ABY176,ABY176,Boeing 777,Pilot Report,"Runway vacated, taxiing to gate.",10000,162,349,"24.9180° N, 55.0728° E",,,"Waypoints: KUSBA, PASOV, DESDI",,Pilot reports flight status
16:38:30,ABY194,ABY194,Airbus A320,NOTAM Alert,Temporary flight restriction active over area OM999.,35000,211,101,"24.4560° N, 54.6374° E",,Temporary flight restriction active over area OM999.,"Waypoints: KUSBA, PASOV, DESDI",,NOTAM affecting flight operations
16:39:00,FDB123,FDB123,Boeing 777,ATC Instruction,"Descend and maintain 0 feet, expect ILS approach runway 09L.",0,226,265,"25.3286° N, 55.5171° E",,,"Waypoints: KUSBA, PASOV, DESDI",,ATC provides instruction to aircraft
16:39:30,ABY142,ABY142,Boeing 737 MAX,ATC Instruction,Expect holding at waypoint PASOV.,30000,79,217,"25.2532° N, 55.3657° E",,,"Waypoints: KUSBA, PASOV, DESDI",,ATC provides instruction to aircraft
16:40:00,ETD177,ETD177,Airbus A380,NOTAM Alert,Runway 12R/30L closed from 2200Z to 0400Z.,38000,222,194,"24.4560° N, 54.6374° E",,Runway 12R/30L closed from 2200Z to 0400Z.,"Waypoints: KUSBA, PASOV, DESDI",,NOTAM affecting flight operations
16:40:30,FDB123,FDB123,Boeing 737 MAX,NOTAM Alert,Temporary flight restriction active over area OM999.,5000,421,95,"26.0765° N, 56.2406° E",,Temporary flight restriction active over area OM999.,"Waypoints: KUSBA, PASOV, DESDI",,NOTAM affecting flight operations
16:41:00,ABY182,ABY182,Boeing 787,ATC Instruction,Climb and maintain 0 feet.,0,56,56,"24.4560° N, 54.6374° E",,,"Waypoints: KUSBA, PASOV, DESDI",,ATC provides instruction to aircraft
16:41:30,FDB182,FDB182,Boeing 777,ATC Instruction,"Turn left heading 228, vectors for traffic.",25000,137,228,"25.2532° N, 55.3657° E",,,"Waypoints: KUSBA, PASOV, DESDI",,ATC provides instruction to aircraft
16:42:00,ABY184,ABY184,Boeing 777,ATC Instruction,"Turn left heading 113, vectors for traffic.",3000,346,113,"24.4560° N, 54.6374° E",,,"Waypoints: KUSBA, PASOV, DESDI",,ATC provides instruction to aircraft
16:42:30,ABY185,ABY185,Boeing 777,ATC Instruction,Proceed direct to waypoint DESDI.,38000,217,26,"25.2532° N, 55.3657° E",,,"Waypoints: KUSBA, PASOV, DESDI",,ATC provides instruction to aircraft
16:43:00,ETD159,ETD159,Airbus A380,Pilot Report,"Established on localizer, runway in sight.",35000,224,38,"26.0765° N, 56.2406° E",,,"Waypoints: KUSBA, PASOV, DESDI",,Pilot reports flight status
16:43:30,ETD183,ETD183,Boeing 787,ATC Instruction,"Turn left heading 254, vectors for traffic.",3000,480,254,"25.3286° N, 55.5171° E",,,"Waypoints: KUSBA, PASOV, DESDI",,ATC provides instruction to aircraft
16:44:00,UAE180,UAE180,Boeing 777,ATC Instruction,"Turn left heading 170, vectors for traffic.",10000,110,170,"24.9180° N, 55.0728° E",,,"Waypoints: KUSBA, PASOV, DESDI",,ATC provides instruction to aircraft
16:44:30,FDB128,FDB128,Boeing 787,Pilot Report,Engine 2 showing abnormal vibrations.,15000,34,299,"24.9180° N, 55.0728° E",,,"Waypoints: KUSBA, PASOV, DESDI",,Pilot reports flight status
16:45:00,UAE122,UAE122,Boeing 777,Weather Update,Icing conditions reported between FL180 and FL220 over the Hajar Mountains.,0,359,248,"25.2532° N, 55.3657° E",Icing conditions reported between FL180 and FL220 over the Hajar Mountains.,,"Waypoints: KUSBA, PASOV, DESDI",Refer to AOM Section 5,Weather update relevant to flight operations
16:45:30,FDB167,FDB167,Boeing 787,Pilot Acknowledgment,"Proceeding direct to DESDI, FDB167.",5000,74,87,"26.0765° N, 56.2406° E",,,"Waypoints: KUSBA, PASOV, DESDI",,Pilot acknowledges instruction
16:46:00,UAE122,UAE122,Airbus A380,Pilot Report,Requesting vectors for weather avoidance.,41000,94,152,"24.4560° N, 54.6374° E",,,"Waypoints: KUSBA, PASOV, DESDI",,Pilot reports flight status
16:46:30,ETD152,ETD152,Boeing 737 MAX,ATC Instruction,Maintain present speed.,25000,46,242,"24.9180° N, 55.0728° E",,,"Waypoints: KUSBA, PASOV, DESDI",,ATC provides instruction to aircraft
16:47:00,ETD187,ETD187,Boeing 787,NOTAM Alert,Temporary flight restriction active over area OM999.,5000,353,144,"24.4560° N, 54.6374° E",,Temporary flight restriction active over area OM999.,"Waypoints: KUSBA, PASOV, DESDI",,NOTAM affecting flight operations
16:47:30,UAE174,UAE174,Boeing 777,Pilot Acknowledgment,"Maintaining present speed, UAE174.",5000,39,259,"25.3286° N, 55.5171° E",,,"Waypoints: KUSBA, PASOV, DESDI",,Pilot acknowledges instruction
16:48:00,UAE165,UAE165,Boeing 787,NOTAM Alert,Navigation aid VOR DUB out of service.,10000,19,3,"25.3286° N, 55.5171° E",,Navigation aid VOR DUB out of service.,"Waypoints: KUSBA, PASOV, DESDI",,NOTAM affecting flight operations
16:48:30,ABY194,ABY194,Boeing 777,ATC Instruction,Climb and maintain 5000 feet.,5000,327,174,"25.3286° N, 55.5171° E",,,"Waypoints: KUSBA, PASOV, DESDI",,ATC provides instruction to aircraft
16:49:00,UAE140,UAE140,Boeing 787,ATC Instruction,Climb and maintain 38000 feet.,38000,335,226,"24.4560° N, 54.6374° E",,,"Waypoints: KUSBA, PASOV, DESDI",,ATC provides instruction to aircraft
16:49:30,FDB138,FDB138,Airbus A380,NOTAM Alert,Runway 12R/30L closed from 2200Z to 0400Z.,10000,7,337,"24.4560° N, 54.6374° E",,Runway 12R/30L closed from 2200Z to 0400Z.,"Waypoints: KUSBA, PASOV, DESDI",,NOTAM affecting flight operations
16:50:00,ABY188,ABY188,Boeing 737 MAX,ATC Instruction,"Descend and maintain 10000 feet, expect ILS approach runway 09L.",10000,194,131,"26.0765° N, 56.2406° E",,,"Waypoints: KUSBA, PASOV, DESDI",,ATC provides instruction to aircraft
16:50:30,ETD147,ETD147,Airbus A320,NOTAM Alert,Runway 12R/30L closed from 2200Z to 0400Z.,15000,462,60,"24.9180° N, 55.0728° E",,Runway 12R/30L closed from 2200Z to 0400Z.,"Waypoints: KUSBA, PASOV, DESDI",,NOTAM affecting flight operations
16:51:00,FDB185,FDB185,Boeing 777,Weather Update,Thunderstorms reported along your route near waypoint PASOV.,15000,481,275,"25.2532° N, 55.3657° E",Thunderstorms reported along your route near waypoint PASOV.,,"Waypoints: KUSBA, PASOV, DESDI",Refer to AOM Section 5,Weather update relevant to flight operations
16:51:30,ETD105,ETD105,Boeing 777,ATC Instruction,Proceed direct to waypoint DESDI.,10000,301,175,"24.9180° N, 55.0728° E",,,"Waypoints: KUSBA, PASOV, DESDI",,ATC provides instruction to aircraft
16:52:00,UAE130,UAE130,Boeing 787,ATC Instruction,Expect holding at waypoint PASOV.,35000,475,203,"24.9180° N, 55.0728° E",,,"Waypoints: KUSBA, PASOV, DESDI",,ATC provides instruction to aircraft
16:52:30,ABY159,ABY159,Airbus A320,Pilot Acknowledgment,"Maintaining present speed, ABY159.",38000,307,150,"26.0765° N, 56.2406° E",,,"Waypoints: KUSBA, PASOV, DESDI",,Pilot acknowledges instruction
16:53:00,UAE157,UAE157,Boeing 787,Weather Update,Moderate turbulence reported at FL150.,15000,68,326,"24.9180° N, 55.0728° E",Moderate turbulence reported at FL150.,,"Waypoints: KUSBA, PASOV, DESDI",Refer to AOM Section 5,Weather update relevant to flight operations
16:53:30,FDB112,FDB112,Boeing 777,ATC Instruction,"Turn left heading 175, vectors for traffic.",3000,400,175,"24.4560° N, 54.6374° E",,,"Waypoints: KUSBA, PASOV, DESDI",,ATC provides instruction to aircraft
