Time,Call Sign,Original Route,Updated Route,Fuel Burn Impact (kg),ATC Clearance
05:12:00,UAE201,"('26.0765° N', '56.2406° E')",Alternate route due to airspace closure,672,Awaiting clearance
05:12:30,UAE201,"('26.0765° N', '56.2406° E')",Rerouting due to technical issues,484,Denied clearance
05:13:00,UAE201,"('40.6413° N', '-73.7781° W')",No change,348,Requesting clearance
05:13:30,UAE201,"('34.0837° N', '74.7973° E')",Alternate route due to airspace closure,482,Awaiting clearance
05:14:00,UAE201,"('25.2532° N', '55.3657° E')",Alternate route due to airspace closure,591,Awaiting clearance
05:14:30,UAE201,"('25.2532° N', '55.3657° E')",Rerouting due to technical issues,646,Requesting clearance
05:15:00,UAE201,"('40.6413° N', '-73.7781° W')",Rerouting due to technical issues,241,Awaiting clearance
05:15:30,UAE201,"('28.7041° N', '77.1025° E')",No change,892,Requesting clearance
05:16:00,UAE201,"('25.2532° N', '55.3657° E')",Route deviation due to weather,858,Requesting clearance
05:16:30,UAE201,"('34.0837° N', '74.7973° E')",Rerouting due to technical issues,896,Cleared
05:17:00,UAE201,"('34.0837° N', '74.7973° E')",Rerouting due to technical issues,475,Awaiting clearance
05:17:30,UAE201,"('40.6413° N', '-73.7781° W')",Route deviation due to weather,243,Denied clearance
05:18:00,UAE201,"('26.0765° N', '56.2406° E')",Rerouting due to technical issues,696,Awaiting clearance
05:18:30,UAE201,"('34.0837° N', '74.7973° E')",Rerouting due to technical issues,530,Requesting clearance
05:19:00,UAE201,"('40.6413° N', '-73.7781° W')",No change,299,Requesting clearance
05:19:30,UAE201,"('40.6413° N', '-73.7781° W')",Alternate route due to airspace closure,756,Denied clearance
05:20:00,UAE201,"('28.7041° N', '77.1025° E')",Route deviation due to traffic,708,Awaiting clearance
05:20:30,UAE201,"('28.7041° N', '77.1025° E')",Route deviation due to traffic,492,Denied clearance
05:21:00,UAE201,"('26.0765° N', '56.2406° E')",Route deviation due to weather,630,Requesting clearance
05:21:30,UAE201,"('28.7041° N', '77.1025° E')",Route deviation due to weather,226,Denied clearance
05:22:00,UAE201,"('26.0765° N', '56.2406° E')",Route deviation due to weather,518,Denied clearance
05:22:30,UAE201,"('26.0765° N', '56.2406° E')",No change,888,Awaiting clearance
05:23:00,UAE201,"('25.2532° N', '55.3657° E')",Route deviation due to weather,347,Cleared
05:23:30,UAE201,"('26.0765° N', '56.2406° E')",Rerouting due to technical issues,756,Cleared
05:24:00,UAE201,"('26.0765° N', '56.2406° E')",Alternate route due to airspace closure,309,Requesting clearance
05:24:30,UAE201,"('40.6413° N', '-73.7781° W')",No change,604,Cleared
05:25:00,UAE201,"('40.6413° N', '-73.7781° W')",Route deviation due to weather,313,Requesting clearance
05:25:30,UAE201,"('25.2532° N', '55.3657° E')",Rerouting due to technical issues,608,Denied clearance
05:26:00,UAE201,"('28.7041° N', '77.1025° E')",Alternate route due to airspace closure,298,Cleared
05:26:30,UAE201,"('28.7041° N', '77.1025° E')",Route deviation due to traffic,625,Awaiting clearance
05:27:00,UAE201,"('28.7041° N', '77.1025° E')",Alternate route due to airspace closure,242,Requesting clearance
05:27:30,UAE201,"('28.7041° N', '77.1025° E')",Alternate route due to airspace closure,661,Cleared
05:28:00,UAE201,"('40.6413° N', '-73.7781° W')",Rerouting due to technical issues,276,Awaiting clearance
05:28:30,UAE201,"('34.0837° N', '74.7973° E')",Route deviation due to traffic,258,Awaiting clearance
05:29:00,UAE201,"('25.2532° N', '55.3657° E')",Rerouting due to technical issues,389,Requesting clearance
05:29:30,UAE201,"('28.7041° N', '77.1025° E')",Rerouting due to technical issues,642,Denied clearance
05:30:00,UAE201,"('25.2532° N', '55.3657° E')",Route deviation due to traffic,978,Awaiting clearance
05:30:30,UAE201,"('28.7041° N', '77.1025° E')",Route deviation due to traffic,226,Awaiting clearance
05:31:00,UAE201,"('25.2532° N', '55.3657° E')",Route deviation due to traffic,653,Requesting clearance
05:31:30,UAE201,"('28.7041° N', '77.1025° E')",Route deviation due to weather,649,Denied clearance
05:32:00,UAE201,"('40.6413° N', '-73.7781° W')",Alternate route due to airspace closure,405,Requesting clearance
05:32:30,UAE201,"('40.6413° N', '-73.7781° W')",Rerouting due to technical issues,322,Cleared
05:33:00,UAE201,"('34.0837° N', '74.7973° E')",Alternate route due to airspace closure,412,Awaiting clearance
05:33:30,UAE201,"('34.0837° N', '74.7973° E')",Rerouting due to technical issues,337,Cleared
05:34:00,UAE201,"('40.6413° N', '-73.7781° W')",Route deviation due to weather,893,Awaiting clearance
05:34:30,UAE201,"('28.7041° N', '77.1025° E')",Rerouting due to technical issues,760,Requesting clearance
05:35:00,UAE201,"('25.2532° N', '55.3657° E')",Rerouting due to technical issues,781,Cleared
05:35:30,UAE201,"('26.0765° N', '56.2406° E')",Rerouting due to technical issues,542,Denied clearance
05:36:00,UAE201,"('25.2532° N', '55.3657° E')",Rerouting due to technical issues,590,Awaiting clearance
05:36:30,UAE201,"('25.2532° N', '55.3657° E')",No change,717,Cleared
05:37:00,UAE201,"('34.0837° N', '74.7973° E')",Route deviation due to weather,720,Denied clearance
05:37:30,UAE201,"('34.0837° N', '74.7973° E')",Alternate route due to airspace closure,920,Awaiting clearance
05:38:00,UAE201,"('34.0837° N', '74.7973° E')",Route deviation due to traffic,502,Cleared
05:38:30,UAE201,"('40.6413° N', '-73.7781° W')",Route deviation due to traffic,893,Cleared
05:39:00,UAE201,"('26.0765° N', '56.2406° E')",Route deviation due to traffic,763,Awaiting clearance
05:39:30,UAE201,"('34.0837° N', '74.7973° E')",Rerouting due to technical issues,413,Awaiting clearance
05:40:00,UAE201,"('34.0837° N', '74.7973° E')",Alternate route due to airspace closure,248,Cleared
05:40:30,UAE201,"('28.7041° N', '77.1025° E')",Rerouting due to technical issues,491,Requesting clearance
05:41:00,UAE201,"('25.2532° N', '55.3657° E')",Rerouting due to technical issues,744,Cleared
05:41:30,UAE201,"('40.6413° N', '-73.7781° W')",Alternate route due to airspace closure,365,Requesting clearance
05:42:00,UAE201,"('28.7041° N', '77.1025° E')",No change,995,Awaiting clearance
05:42:30,UAE201,"('28.7041° N', '77.1025° E')",Route deviation due to weather,776,Cleared
05:43:00,UAE201,"('28.7041° N', '77.1025° E')",Route deviation due to weather,311,Awaiting clearance
05:43:30,UAE201,"('28.7041° N', '77.1025° E')",Alternate route due to airspace closure,346,Requesting clearance
05:44:00,UAE201,"('28.7041° N', '77.1025° E')",No change,246,Denied clearance
05:44:30,UAE201,"('40.6413° N', '-73.7781° W')",Alternate route due to airspace closure,331,Awaiting clearance
05:45:00,UAE201,"('34.0837° N', '74.7973° E')",Alternate route due to airspace closure,309,Awaiting clearance
05:45:30,UAE201,"('26.0765° N', '56.2406° E')",Route deviation due to weather,651,Cleared
05:46:00,UAE201,"('40.6413° N', '-73.7781° W')",Route deviation due to traffic,777,Requesting clearance
05:46:30,UAE201,"('34.0837° N', '74.7973° E')",Rerouting due to technical issues,719,Requesting clearance
05:47:00,UAE201,"('40.6413° N', '-73.7781° W')",Rerouting due to technical issues,866,Awaiting clearance
05:47:30,UAE201,"('40.6413° N', '-73.7781° W')",Alternate route due to airspace closure,787,Awaiting clearance
05:48:00,UAE201,"('34.0837° N', '74.7973° E')",Route deviation due to weather,714,Awaiting clearance
05:48:30,UAE201,"('40.6413° N', '-73.7781° W')",Rerouting due to technical issues,998,Cleared
05:49:00,UAE201,"('26.0765° N', '56.2406° E')",Route deviation due to traffic,822,Denied clearance
05:49:30,UAE201,"('26.0765° N', '56.2406° E')",Route deviation due to traffic,931,Requesting clearance
05:50:00,UAE201,"('40.6413° N', '-73.7781° W')",Route deviation due to weather,959,Cleared
05:50:30,UAE201,"('28.7041° N', '77.1025° E')",Alternate route due to airspace closure,900,Denied clearance
05:51:00,UAE201,"('40.6413° N', '-73.7781° W')",Rerouting due to technical issues,643,Requesting clearance
05:51:30,UAE201,"('26.0765° N', '56.2406° E')",Route deviation due to weather,406,Awaiting clearance
05:52:00,UAE201,"('28.7041° N', '77.1025° E')",Route deviation due to traffic,558,Requesting clearance
05:52:30,UAE201,"('25.2532° N', '55.3657° E')",Alternate route due to airspace closure,758,Awaiting clearance
05:53:00,UAE201,"('40.6413° N', '-73.7781° W')",Route deviation due to traffic,621,Denied clearance
05:53:30,UAE201,"('26.0765° N', '56.2406° E')",No change,934,Requesting clearance
05:54:00,UAE201,"('25.2532° N', '55.3657° E')",Route deviation due to weather,905,Denied clearance
05:54:30,UAE201,"('25.2532° N', '55.3657° E')",Alternate route due to airspace closure,208,Requesting clearance
05:55:00,UAE201,"('28.7041° N', '77.1025° E')",No change,399,Denied clearance
05:55:30,UAE201,"('40.6413° N', '-73.7781° W')",Route deviation due to weather,576,Denied clearance
05:56:00,UAE201,"('25.2532° N', '55.3657° E')",No change,504,Cleared
05:56:30,UAE201,"('40.6413° N', '-73.7781° W')",Rerouting due to technical issues,991,Requesting clearance
05:57:00,UAE201,"('25.2532° N', '55.3657° E')",Route deviation due to weather,830,Requesting clearance
05:57:30,UAE201,"('26.0765° N', '56.2406° E')",Route deviation due to weather,819,Awaiting clearance
05:58:00,UAE201,"('40.6413° N', '-73.7781° W')",Route deviation due to traffic,897,Awaiting clearance
05:58:30,UAE201,"('34.0837° N', '74.7973° E')",Route deviation due to traffic,798,Awaiting clearance
05:59:00,UAE201,"('26.0765° N', '56.2406° E')",Route deviation due to traffic,270,Cleared
05:59:30,UAE201,"('34.0837° N', '74.7973° E')",No change,805,Cleared
06:00:00,UAE201,"('28.7041° N', '77.1025° E')",Route deviation due to weather,697,Denied clearance
06:00:30,UAE201,"('25.2532° N', '55.3657° E')",Alternate route due to airspace closure,566,Awaiting clearance
06:01:00,UAE201,"('34.0837° N', '74.7973° E')",Route deviation due to weather,631,Awaiting clearance
06:01:30,UAE201,"('25.2532° N', '55.3657° E')",Route deviation due to traffic,966,Requesting clearance
06:02:00,UAE201,"('34.0837° N', '74.7973° E')",No change,418,Cleared
06:02:30,UAE201,"('25.2532° N', '55.3657° E')",Route deviation due to traffic,325,Awaiting clearance
06:03:00,UAE201,"('40.6413° N', '-73.7781° W')",Rerouting due to technical issues,364,Denied clearance
06:03:30,UAE201,"('25.2532° N', '55.3657° E')",Route deviation due to weather,522,Requesting clearance
06:04:00,UAE201,"('40.6413° N', '-73.7781° W')",Route deviation due to traffic,981,Awaiting clearance
06:04:30,UAE201,"('40.6413° N', '-73.7781° W')",Route deviation due to weather,386,Awaiting clearance
06:05:00,UAE201,"('28.7041° N', '77.1025° E')",Route deviation due to traffic,694,Denied clearance
06:05:30,UAE201,"('40.6413° N', '-73.7781° W')",Route deviation due to traffic,782,Awaiting clearance
06:06:00,UAE201,"('40.6413° N', '-73.7781° W')",No change,720,Awaiting clearance
06:06:30,UAE201,"('25.2532° N', '55.3657° E')",Alternate route due to airspace closure,260,Requesting clearance
06:07:00,UAE201,"('25.2532° N', '55.3657° E')",Alternate route due to airspace closure,792,Denied clearance
06:07:30,UAE201,"('34.0837° N', '74.7973° E')",Route deviation due to traffic,278,Denied clearance
06:08:00,UAE201,"('34.0837° N', '74.7973° E')",Alternate route due to airspace closure,387,Denied clearance
06:08:30,UAE201,"('26.0765° N', '56.2406° E')",Route deviation due to weather,886,Cleared
06:09:00,UAE201,"('26.0765° N', '56.2406° E')",Rerouting due to technical issues,384,Awaiting clearance
06:09:30,UAE201,"('26.0765° N', '56.2406° E')",Route deviation due to weather,378,Awaiting clearance
06:10:00,UAE201,"('34.0837° N', '74.7973° E')",Route deviation due to weather,744,Denied clearance
06:10:30,UAE201,"('26.0765° N', '56.2406° E')",Rerouting due to technical issues,260,Cleared
06:11:00,UAE201,"('34.0837° N', '74.7973° E')",Route deviation due to traffic,332,Awaiting clearance
06:11:30,UAE201,"('25.2532° N', '55.3657° E')",Route deviation due to weather,960,Denied clearance
06:12:00,UAE201,"('25.2532° N', '55.3657° E')",Route deviation due to traffic,993,Cleared
06:12:30,UAE201,"('26.0765° N', '56.2406° E')",Route deviation due to weather,797,Awaiting clearance
06:13:00,UAE201,"('28.7041° N', '77.1025° E')",Route deviation due to traffic,295,Requesting clearance
06:13:30,UAE201,"('34.0837° N', '74.7973° E')",Route deviation due to traffic,403,Cleared
06:14:00,UAE201,"('25.2532° N', '55.3657° E')",Rerouting due to technical issues,415,Denied clearance
06:14:30,UAE201,"('26.0765° N', '56.2406° E')",Route deviation due to traffic,887,Cleared
06:15:00,UAE201,"('25.2532° N', '55.3657° E')",Route deviation due to traffic,724,Requesting clearance
06:15:30,UAE201,"('25.2532° N', '55.3657° E')",Rerouting due to technical issues,686,Cleared
06:16:00,UAE201,"('25.2532° N', '55.3657° E')",Route deviation due to weather,790,Denied clearance
06:16:30,UAE201,"('40.6413° N', '-73.7781° W')",Route deviation due to traffic,530,Cleared
06:17:00,UAE201,"('26.0765° N', '56.2406° E')",Route deviation due to weather,930,Cleared
06:17:30,UAE201,"('28.7041° N', '77.1025° E')",Route deviation due to weather,264,Denied clearance
06:18:00,UAE201,"('28.7041° N', '77.1025° E')",Route deviation due to weather,952,Awaiting clearance
06:18:30,UAE201,"('34.0837° N', '74.7973° E')",Alternate route due to airspace closure,511,Cleared
06:19:00,UAE201,"('40.6413° N', '-73.7781° W')",Alternate route due to airspace closure,257,Requesting clearance
06:19:30,UAE201,"('28.7041° N', '77.1025° E')",Alternate route due to airspace closure,460,Requesting clearance
06:20:00,UAE201,"('25.2532° N', '55.3657° E')",No change,429,Cleared
06:20:30,UAE201,"('34.0837° N', '74.7973° E')",Route deviation due to weather,480,Requesting clearance
06:21:00,UAE201,"('28.7041° N', '77.1025° E')",Route deviation due to traffic,672,Cleared
06:21:30,UAE201,"('34.0837° N', '74.7973° E')",No change,367,Denied clearance
06:22:00,UAE201,"('26.0765° N', '56.2406° E')",Alternate route due to airspace closure,628,Requesting clearance
06:22:30,UAE201,"('25.2532° N', '55.3657° E')",Route deviation due to traffic,961,Requesting clearance
06:23:00,UAE201,"('26.0765° N', '56.2406° E')",Rerouting due to technical issues,683,Requesting clearance
06:23:30,UAE201,"('25.2532° N', '55.3657° E')",Route deviation due to traffic,620,Cleared
06:24:00,UAE201,"('25.2532° N', '55.3657° E')",Route deviation due to weather,864,Denied clearance
06:24:30,UAE201,"('40.6413° N', '-73.7781° W')",Rerouting due to technical issues,236,Requesting clearance
06:25:00,UAE201,"('34.0837° N', '74.7973° E')",Route deviation due to traffic,998,Denied clearance
06:25:30,UAE201,"('25.2532° N', '55.3657° E')",No change,911,Requesting clearance
06:26:00,UAE201,"('40.6413° N', '-73.7781° W')",Rerouting due to technical issues,798,Denied clearance
06:26:30,UAE201,"('34.0837° N', '74.7973° E')",Route deviation due to weather,546,Cleared
06:27:00,UAE201,"('34.0837° N', '74.7973° E')",Route deviation due to traffic,382,Denied clearance
06:27:30,UAE201,"('34.0837° N', '74.7973° E')",No change,328,Denied clearance
06:28:00,UAE201,"('28.7041° N', '77.1025° E')",Route deviation due to weather,704,Requesting clearance
06:28:30,UAE201,"('40.6413° N', '-73.7781° W')",Route deviation due to weather,790,Cleared
06:29:00,UAE201,"('34.0837° N', '74.7973° E')",No change,410,Requesting clearance
06:29:30,UAE201,"('25.2532° N', '55.3657° E')",Route deviation due to traffic,336,Cleared
06:30:00,UAE201,"('25.2532° N', '55.3657° E')",Alternate route due to airspace closure,616,Cleared
06:30:30,UAE201,"('40.6413° N', '-73.7781° W')",Rerouting due to technical issues,664,Denied clearance
06:31:00,UAE201,"('25.2532° N', '55.3657° E')",No change,398,Denied clearance
06:31:30,UAE201,"('40.6413° N', '-73.7781° W')",No change,844,Requesting clearance
06:32:00,UAE201,"('40.6413° N', '-73.7781° W')",Route deviation due to weather,345,Awaiting clearance
06:32:30,UAE201,"('40.6413° N', '-73.7781° W')",Rerouting due to technical issues,739,Awaiting clearance
06:33:00,UAE201,"('40.6413° N', '-73.7781° W')",No change,273,Awaiting clearance
06:33:30,UAE201,"('25.2532° N', '55.3657° E')",Alternate route due to airspace closure,653,Cleared
06:34:00,UAE201,"('26.0765° N', '56.2406° E')",No change,432,Cleared
06:34:30,UAE201,"('28.7041° N', '77.1025° E')",Route deviation due to weather,417,Cleared
06:35:00,UAE201,"('26.0765° N', '56.2406° E')",Route deviation due to weather,963,Denied clearance
06:35:30,UAE201,"('25.2532° N', '55.3657° E')",Alternate route due to airspace closure,262,Awaiting clearance
06:36:00,UAE201,"('40.6413° N', '-73.7781° W')",No change,402,Awaiting clearance
06:36:30,UAE201,"('40.6413° N', '-73.7781° W')",Alternate route due to airspace closure,541,Denied clearance
06:37:00,UAE201,"('40.6413° N', '-73.7781° W')",Route deviation due to weather,648,Denied clearance
06:37:30,UAE201,"('25.2532° N', '55.3657° E')",Route deviation due to weather,405,Cleared
06:38:00,UAE201,"('26.0765° N', '56.2406° E')",Rerouting due to technical issues,720,Requesting clearance
06:38:30,UAE201,"('34.0837° N', '74.7973° E')",Route deviation due to traffic,908,Denied clearance
06:39:00,UAE201,"('40.6413° N', '-73.7781° W')",Route deviation due to traffic,985,Cleared
06:39:30,UAE201,"('40.6413° N', '-73.7781° W')",Route deviation due to traffic,299,Requesting clearance
06:40:00,UAE201,"('40.6413° N', '-73.7781° W')",Rerouting due to technical issues,332,Awaiting clearance
06:40:30,UAE201,"('25.2532° N', '55.3657° E')",Alternate route due to airspace closure,812,Requesting clearance
06:41:00,UAE201,"('25.2532° N', '55.3657° E')",Rerouting due to technical issues,595,Denied clearance
06:41:30,UAE201,"('28.7041° N', '77.1025° E')",Rerouting due to technical issues,215,Denied clearance
06:42:00,UAE201,"('34.0837° N', '74.7973° E')",Rerouting due to technical issues,633,Cleared
06:42:30,UAE201,"('34.0837° N', '74.7973° E')",Rerouting due to technical issues,774,Requesting clearance
06:43:00,UAE201,"('34.0837° N', '74.7973° E')",Route deviation due to traffic,317,Awaiting clearance
06:43:30,UAE201,"('34.0837° N', '74.7973° E')",Alternate route due to airspace closure,303,Cleared
06:44:00,UAE201,"('28.7041° N', '77.1025° E')",Rerouting due to technical issues,566,Cleared
06:44:30,UAE201,"('28.7041° N', '77.1025° E')",Route deviation due to traffic,298,Denied clearance
06:45:00,UAE201,"('25.2532° N', '55.3657° E')",Route deviation due to traffic,723,Requesting clearance
06:45:30,UAE201,"('25.2532° N', '55.3657° E')",Alternate route due to airspace closure,401,Cleared
06:46:00,UAE201,"('34.0837° N', '74.7973° E')",No change,897,Denied clearance
06:46:30,UAE201,"('34.0837° N', '74.7973° E')",Rerouting due to technical issues,364,Awaiting clearance
06:47:00,UAE201,"('28.7041° N', '77.1025° E')",Route deviation due to weather,318,Cleared
06:47:30,UAE201,"('40.6413° N', '-73.7781° W')",Alternate route due to airspace closure,394,Awaiting clearance
06:48:00,UAE201,"('25.2532° N', '55.3657° E')",Alternate route due to airspace closure,419,Cleared
06:48:30,UAE201,"('40.6413° N', '-73.7781° W')",Route deviation due to weather,893,Requesting clearance
06:49:00,UAE201,"('40.6413° N', '-73.7781° W')",Alternate route due to airspace closure,972,Cleared
06:49:30,UAE201,"('25.2532° N', '55.3657° E')",Alternate route due to airspace closure,938,Denied clearance
06:50:00,UAE201,"('40.6413° N', '-73.7781° W')",Route deviation due to weather,778,Requesting clearance
06:50:30,UAE201,"('34.0837° N', '74.7973° E')",Route deviation due to weather,450,Denied clearance
06:51:00,UAE201,"('34.0837° N', '74.7973° E')",Alternate route due to airspace closure,641,Cleared
06:51:30,UAE201,"('34.0837° N', '74.7973° E')",Route deviation due to traffic,952,Denied clearance
06:52:00,UAE201,"('26.0765° N', '56.2406° E')",Route deviation due to weather,463,Requesting clearance
06:52:30,UAE201,"('25.2532° N', '55.3657° E')",Route deviation due to weather,714,Denied clearance
06:53:00,UAE201,"('34.0837° N', '74.7973° E')",Route deviation due to traffic,584,Requesting clearance
06:53:30,UAE201,"('40.6413° N', '-73.7781° W')",Route deviation due to traffic,879,Requesting clearance
06:54:00,UAE201,"('40.6413° N', '-73.7781° W')",No change,845,Cleared
06:54:30,UAE201,"('40.6413° N', '-73.7781° W')",No change,266,Requesting clearance
06:55:00,UAE201,"('25.2532° N', '55.3657° E')",Route deviation due to weather,427,Cleared
06:55:30,UAE201,"('28.7041° N', '77.1025° E')",Route deviation due to traffic,613,Denied clearance
06:56:00,UAE201,"('40.6413° N', '-73.7781° W')",Rerouting due to technical issues,840,Requesting clearance
06:56:30,UAE201,"('40.6413° N', '-73.7781° W')",Alternate route due to airspace closure,588,Cleared
06:57:00,UAE201,"('40.6413° N', '-73.7781° W')",No change,211,Denied clearance
06:57:30,UAE201,"('28.7041° N', '77.1025° E')",Route deviation due to traffic,683,Denied clearance
06:58:00,UAE201,"('26.0765° N', '56.2406° E')",No change,927,Denied clearance
06:58:30,UAE201,"('34.0837° N', '74.7973° E')",Alternate route due to airspace closure,345,Requesting clearance
06:59:00,UAE201,"('34.0837° N', '74.7973° E')",Route deviation due to weather,998,Requesting clearance
06:59:30,UAE201,"('25.2532° N', '55.3657° E')",Rerouting due to technical issues,544,Awaiting clearance
07:00:00,UAE201,"('40.6413° N', '-73.7781° W')",Rerouting due to technical issues,990,Requesting clearance
07:00:30,UAE201,"('40.6413° N', '-73.7781° W')",Route deviation due to weather,354,Denied clearance
07:01:00,UAE201,"('40.6413° N', '-73.7781° W')",No change,824,Requesting clearance
07:01:30,UAE201,"('25.2532° N', '55.3657° E')",Alternate route due to airspace closure,401,Awaiting clearance
07:02:00,UAE201,"('26.0765° N', '56.2406° E')",Route deviation due to traffic,458,Requesting clearance
07:02:30,UAE201,"('26.0765° N', '56.2406° E')",Route deviation due to traffic,801,Cleared
07:03:00,UAE201,"('40.6413° N', '-73.7781° W')",Route deviation due to weather,816,Awaiting clearance
07:03:30,UAE201,"('28.7041° N', '77.1025° E')",Route deviation due to weather,676,Cleared
07:04:00,UAE201,"('40.6413° N', '-73.7781° W')",Route deviation due to weather,723,Requesting clearance
07:04:30,UAE201,"('40.6413° N', '-73.7781° W')",Alternate route due to airspace closure,875,Cleared
07:05:00,UAE201,"('40.6413° N', '-73.7781° W')",Route deviation due to weather,981,Denied clearance
07:05:30,UAE201,"('34.0837° N', '74.7973° E')",No change,402,Requesting clearance
07:06:00,UAE201,"('34.0837° N', '74.7973° E')",Alternate route due to airspace closure,649,Awaiting clearance
07:06:30,UAE201,"('34.0837° N', '74.7973° E')",Route deviation due to traffic,872,Requesting clearance
07:07:00,UAE201,"('26.0765° N', '56.2406° E')",Rerouting due to technical issues,579,Requesting clearance
07:07:30,UAE201,"('25.2532° N', '55.3657° E')",Route deviation due to weather,895,Requesting clearance
07:08:00,UAE201,"('26.0765° N', '56.2406° E')",Route deviation due to traffic,310,Awaiting clearance
07:08:30,UAE201,"('28.7041° N', '77.1025° E')",No change,425,Cleared
07:09:00,UAE201,"('40.6413° N', '-73.7781° W')",No change,717,Denied clearance
07:09:30,UAE201,"('34.0837° N', '74.7973° E')",Route deviation due to traffic,437,Cleared
07:10:00,UAE201,"('28.7041° N', '77.1025° E')",Route deviation due to weather,761,Awaiting clearance
07:10:30,UAE201,"('40.6413° N', '-73.7781° W')",Route deviation due to weather,767,Denied clearance
07:11:00,UAE201,"('40.6413° N', '-73.7781° W')",No change,285,Awaiting clearance
07:11:30,UAE201,"('40.6413° N', '-73.7781° W')",No change,561,Requesting clearance
07:12:00,UAE201,"('25.2532° N', '55.3657° E')",Route deviation due to weather,772,Denied clearance
07:12:30,UAE201,"('34.0837° N', '74.7973° E')",Route deviation due to weather,606,Cleared
07:13:00,UAE201,"('25.2532° N', '55.3657° E')",Route deviation due to weather,584,Denied clearance
07:13:30,UAE201,"('26.0765° N', '56.2406° E')",Route deviation due to weather,306,Denied clearance
07:14:00,UAE201,"('25.2532° N', '55.3657° E')",Route deviation due to traffic,649,Awaiting clearance
07:14:30,UAE201,"('25.2532° N', '55.3657° E')",No change,391,Awaiting clearance
07:15:00,UAE201,"('28.7041° N', '77.1025° E')",Rerouting due to technical issues,783,Cleared
07:15:30,UAE201,"('28.7041° N', '77.1025° E')",Alternate route due to airspace closure,733,Cleared
07:16:00,UAE201,"('28.7041° N', '77.1025° E')",Route deviation due to weather,824,Denied clearance
07:16:30,UAE201,"('28.7041° N', '77.1025° E')",Route deviation due to weather,416,Requesting clearance
07:17:00,UAE201,"('25.2532° N', '55.3657° E')",Route deviation due to weather,486,Denied clearance
07:17:30,UAE201,"('26.0765° N', '56.2406° E')",Alternate route due to airspace closure,648,Cleared
07:18:00,UAE201,"('40.6413° N', '-73.7781° W')",Route deviation due to traffic,267,Awaiting clearance
07:18:30,UAE201,"('26.0765° N', '56.2406° E')",Rerouting due to technical issues,886,Denied clearance
07:19:00,UAE201,"('34.0837° N', '74.7973° E')",No change,724,Requesting clearance
07:19:30,UAE201,"('25.2532° N', '55.3657° E')",No change,599,Requesting clearance
07:20:00,UAE201,"('26.0765° N', '56.2406° E')",Rerouting due to technical issues,642,Cleared
07:20:30,UAE201,"('25.2532° N', '55.3657° E')",Rerouting due to technical issues,705,Denied clearance
07:21:00,UAE201,"('34.0837° N', '74.7973° E')",Route deviation due to traffic,787,Requesting clearance
07:21:30,UAE201,"('28.7041° N', '77.1025° E')",Alternate route due to airspace closure,731,Cleared
07:22:00,UAE201,"('25.2532° N', '55.3657° E')",Route deviation due to traffic,283,Awaiting clearance
07:22:30,UAE201,"('40.6413° N', '-73.7781° W')",Alternate route due to airspace closure,496,Cleared
07:23:00,UAE201,"('34.0837° N', '74.7973° E')",Route deviation due to traffic,232,Cleared
07:23:30,UAE201,"('26.0765° N', '56.2406° E')",No change,811,Requesting clearance
07:24:00,UAE201,"('40.6413° N', '-73.7781° W')",Route deviation due to traffic,944,Denied clearance
07:24:30,UAE201,"('34.0837° N', '74.7973° E')",Alternate route due to airspace closure,959,Awaiting clearance
07:25:00,UAE201,"('40.6413° N', '-73.7781° W')",Alternate route due to airspace closure,999,Requesting clearance
07:25:30,UAE201,"('28.7041° N', '77.1025° E')",No change,213,Cleared
07:26:00,UAE201,"('28.7041° N', '77.1025° E')",No change,809,Denied clearance
07:26:30,UAE201,"('28.7041° N', '77.1025° E')",Route deviation due to traffic,654,Denied clearance
07:27:00,UAE201,"('25.2532° N', '55.3657° E')",Rerouting due to technical issues,522,Denied clearance
07:27:30,UAE201,"('26.0765° N', '56.2406° E')",Rerouting due to technical issues,796,Awaiting clearance
07:28:00,UAE201,"('34.0837° N', '74.7973° E')",Rerouting due to technical issues,232,Cleared
07:28:30,UAE201,"('28.7041° N', '77.1025° E')",Alternate route due to airspace closure,639,Requesting clearance
07:29:00,UAE201,"('28.7041° N', '77.1025° E')",Route deviation due to weather,916,Denied clearance
07:29:30,UAE201,"('40.6413° N', '-73.7781° W')",Route deviation due to traffic,895,Awaiting clearance
07:30:00,UAE201,"('25.2532° N', '55.3657° E')",No change,363,Denied clearance
07:30:30,UAE201,"('26.0765° N', '56.2406° E')",Rerouting due to technical issues,759,Denied clearance
07:31:00,UAE201,"('34.0837° N', '74.7973° E')",No change,726,Requesting clearance
07:31:30,UAE201,"('34.0837° N', '74.7973° E')",Rerouting due to technical issues,719,Cleared
07:32:00,UAE201,"('25.2532° N', '55.3657° E')",Alternate route due to airspace closure,857,Awaiting clearance
07:32:30,UAE201,"('28.7041° N', '77.1025° E')",Alternate route due to airspace closure,799,Requesting clearance
07:33:00,UAE201,"('28.7041° N', '77.1025° E')",No change,608,Denied clearance
07:33:30,UAE201,"('34.0837° N', '74.7973° E')",No change,705,Requesting clearance
07:34:00,UAE201,"('28.7041° N', '77.1025° E')",Alternate route due to airspace closure,811,Awaiting clearance
07:34:30,UAE201,"('25.2532° N', '55.3657° E')",Alternate route due to airspace closure,368,Cleared
07:35:00,UAE201,"('26.0765° N', '56.2406° E')",Route deviation due to weather,825,Awaiting clearance
