Time,Call Sign,Runway,Status,Taxiway Congestion,Expected Delays (minutes),Gate Assignment
06:06:30,UAE201,09R,Closed,Moderate,27,Gate assigned at terminal 3
06:07:00,UAE201,18L,Open,Moderate,20,Gate assigned at terminal 3
06:07:30,UAE201,18R,Under Maintenance,Moderate,44,Gate assigned at terminal 3
06:08:00,UAE201,18R,Open,High,24,Gate assigned at terminal 3
06:08:30,UAE201,18R,Under Maintenance,Moderate,2,Gate assigned at terminal 3
06:09:00,UAE201,18R,Open,Low,43,Gate assigned at terminal 3
06:09:30,UAE201,18L,Open,High,33,Gate assigned at terminal 3
06:10:00,UAE201,13R,Closed,Moderate,20,Gate assigned at terminal 3
06:10:30,UAE201,09L,Under Maintenance,Low,49,Gate assigned at terminal 3
06:11:00,UAE201,13L,Open,Moderate,29,Gate assigned at terminal 3
06:11:30,UAE201,13R,Open,Moderate,48,Gate assigned at terminal 3
06:12:00,UAE201,09R,Under Maintenance,High,56,Gate assigned at terminal 3
06:12:30,UAE201,27L,Closed,Moderate,22,Gate assigned at terminal 3
06:13:00,UAE201,18R,Open,High,44,Gate assigned at terminal 3
06:13:30,UAE201,13L,Open,Low,27,Gate assigned at terminal 3
06:14:00,UAE201,27R,Under Maintenance,Low,46,Gate assigned at terminal 3
06:14:30,UAE201,18R,Open,Low,46,Gate assigned at terminal 3
06:15:00,UAE201,13L,Open,Moderate,43,Gate assigned at terminal 3
06:15:30,UAE201,13R,Open,High,12,Gate assigned at terminal 3
06:16:00,UAE201,27L,Closed,High,19,Gate assigned at terminal 3
06:16:30,UAE201,09R,Open,Low,1,Gate assigned at terminal 3
06:17:00,UAE201,27L,Open,High,60,Gate assigned at terminal 3
06:17:30,UAE201,13L,Under Maintenance,High,42,Gate assigned at terminal 3
06:18:00,UAE201,09R,Under Maintenance,High,9,Gate assigned at terminal 3
06:18:30,UAE201,09L,Under Maintenance,Low,30,Gate assigned at terminal 3
06:19:00,UAE201,09L,Closed,Low,35,Gate assigned at terminal 3
06:19:30,UAE201,13L,Under Maintenance,Moderate,13,Gate assigned at terminal 3
06:20:00,UAE201,27L,Closed,Low,6,Gate assigned at terminal 3
06:20:30,UAE201,09L,Under Maintenance,High,49,Gate assigned at terminal 3
06:21:00,UAE201,27R,Open,High,17,Gate assigned at terminal 3
06:21:30,UAE201,13L,Under Maintenance,Low,38,Gate assigned at terminal 3
06:22:00,UAE201,13R,Open,Moderate,11,Gate assigned at terminal 3
06:22:30,UAE201,18L,Closed,Low,17,Gate assigned at terminal 3
06:23:00,UAE201,09L,Open,Moderate,10,Gate assigned at terminal 3
06:23:30,UAE201,13L,Open,Moderate,9,Gate assigned at terminal 3
06:24:00,UAE201,18L,Under Maintenance,Moderate,16,Gate assigned at terminal 3
06:24:30,UAE201,18R,Open,Low,41,Gate assigned at terminal 3
06:25:00,UAE201,18L,Under Maintenance,Moderate,6,Gate assigned at terminal 3
06:25:30,UAE201,13L,Open,High,18,Gate assigned at terminal 3
06:26:00,UAE201,18R,Closed,Low,5,Gate assigned at terminal 3
06:26:30,UAE201,27L,Closed,High,20,Gate assigned at terminal 3
06:27:00,UAE201,27L,Under Maintenance,Low,2,Gate assigned at terminal 3
06:27:30,UAE201,27L,Under Maintenance,Low,25,Gate assigned at terminal 3
06:28:00,UAE201,27L,Under Maintenance,Low,44,Gate assigned at terminal 3
06:28:30,UAE201,09R,Under Maintenance,Moderate,22,Gate assigned at terminal 3
06:29:00,UAE201,09L,Open,Low,1,Gate assigned at terminal 3
06:29:30,UAE201,13R,Closed,High,28,Gate assigned at terminal 3
06:30:00,UAE201,09L,Closed,Low,39,Gate assigned at terminal 3
06:30:30,UAE201,18R,Under Maintenance,High,57,Gate assigned at terminal 3
06:31:00,UAE201,27R,Closed,Moderate,5,Gate assigned at terminal 3
06:31:30,UAE201,09L,Under Maintenance,Moderate,6,Gate assigned at terminal 3
06:32:00,UAE201,18L,Under Maintenance,Low,29,Gate assigned at terminal 3
06:32:30,UAE201,27L,Under Maintenance,Low,22,Gate assigned at terminal 3
06:33:00,UAE201,09L,Under Maintenance,Low,58,Gate assigned at terminal 3
06:33:30,UAE201,27L,Closed,Moderate,37,Gate assigned at terminal 3
06:34:00,UAE201,27R,Under Maintenance,Moderate,57,Gate assigned at terminal 3
06:34:30,UAE201,09R,Open,Moderate,11,Gate assigned at terminal 3
06:35:00,UAE201,27R,Closed,High,47,Gate assigned at terminal 3
06:35:30,UAE201,09R,Under Maintenance,Low,8,Gate assigned at terminal 3
06:36:00,UAE201,18L,Under Maintenance,High,49,Gate assigned at terminal 3
06:36:30,UAE201,13L,Open,Low,9,Gate assigned at terminal 3
06:37:00,UAE201,18R,Closed,Low,30,Gate assigned at terminal 3
06:37:30,UAE201,18R,Under Maintenance,Moderate,49,Gate assigned at terminal 3
06:38:00,UAE201,13L,Open,Moderate,18,Gate assigned at terminal 3
06:38:30,UAE201,09L,Open,Low,23,Gate assigned at terminal 3
06:39:00,UAE201,13L,Open,High,7,Gate assigned at terminal 3
06:39:30,UAE201,09L,Under Maintenance,Moderate,25,Gate assigned at terminal 3
06:40:00,UAE201,09L,Closed,Moderate,4,Gate assigned at terminal 3
06:40:30,UAE201,18R,Open,High,49,Gate assigned at terminal 3
06:41:00,UAE201,13L,Closed,Moderate,12,Gate assigned at terminal 3
06:41:30,UAE201,18L,Open,Moderate,9,Gate assigned at terminal 3
06:42:00,UAE201,18R,Open,High,57,Gate assigned at terminal 3
06:42:30,UAE201,09L,Open,Low,34,Gate assigned at terminal 3
06:43:00,UAE201,13R,Open,Low,31,Gate assigned at terminal 3
06:43:30,UAE201,09R,Closed,Low,14,Gate assigned at terminal 3
06:44:00,UAE201,18L,Under Maintenance,High,37,Gate assigned at terminal 3
06:44:30,UAE201,18L,Under Maintenance,High,48,Gate assigned at terminal 3
06:45:00,UAE201,13R,Under Maintenance,Moderate,33,Gate assigned at terminal 3
06:45:30,UAE201,27R,Open,Low,39,Gate assigned at terminal 3
06:46:00,UAE201,13R,Open,High,45,Gate assigned at terminal 3
06:46:30,UAE201,27L,Under Maintenance,Moderate,20,Gate assigned at terminal 3
06:47:00,UAE201,09L,Open,Low,3,Gate assigned at terminal 3
06:47:30,UAE201,13R,Under Maintenance,Low,59,Gate assigned at terminal 3
06:48:00,UAE201,09R,Open,High,25,Gate assigned at terminal 3
06:48:30,UAE201,18L,Under Maintenance,Moderate,27,Gate assigned at terminal 3
06:49:00,UAE201,27L,Open,Low,31,Gate assigned at terminal 3
06:49:30,UAE201,18L,Under Maintenance,Moderate,56,Gate assigned at terminal 3
06:50:00,UAE201,27R,Open,Moderate,16,Gate assigned at terminal 3
06:50:30,UAE201,13R,Open,Low,27,Gate assigned at terminal 3
06:51:00,UAE201,27R,Closed,Low,52,Gate assigned at terminal 3
06:51:30,UAE201,09R,Closed,High,34,Gate assigned at terminal 3
06:52:00,UAE201,27R,Under Maintenance,Moderate,52,Gate assigned at terminal 3
06:52:30,UAE201,18R,Under Maintenance,Moderate,60,Gate assigned at terminal 3
06:53:00,UAE201,09R,Open,Moderate,32,Gate assigned at terminal 3
06:53:30,UAE201,18R,Under Maintenance,Low,35,Gate assigned at terminal 3
06:54:00,UAE201,27R,Open,Moderate,4,Gate assigned at terminal 3
06:54:30,UAE201,09R,Under Maintenance,Moderate,28,Gate assigned at terminal 3
06:55:00,UAE201,13L,Open,Low,5,Gate assigned at terminal 3
06:55:30,UAE201,13L,Under Maintenance,Moderate,44,Gate assigned at terminal 3
06:56:00,UAE201,13R,Under Maintenance,Low,28,Gate assigned at terminal 3
06:56:30,UAE201,13R,Open,Low,44,Gate assigned at terminal 3
06:57:00,UAE201,13L,Open,High,29,Gate assigned at terminal 3
06:57:30,UAE201,13L,Closed,Low,14,Gate assigned at terminal 3
06:58:00,UAE201,18L,Under Maintenance,Low,26,Gate assigned at terminal 3
06:58:30,UAE201,18R,Under Maintenance,Low,21,Gate assigned at terminal 3
06:59:00,UAE201,09L,Open,Moderate,37,Gate assigned at terminal 3
06:59:30,UAE201,18L,Closed,Moderate,27,Gate assigned at terminal 3
07:00:00,UAE201,13L,Closed,Low,16,Gate assigned at terminal 3
07:00:30,UAE201,27L,Under Maintenance,Low,27,Gate assigned at terminal 3
07:01:00,UAE201,27L,Open,High,36,Gate assigned at terminal 3
07:01:30,UAE201,09L,Under Maintenance,High,5,Gate assigned at terminal 3
07:02:00,UAE201,27R,Closed,Low,40,Gate assigned at terminal 3
07:02:30,UAE201,27R,Closed,High,59,Gate assigned at terminal 3
07:03:00,UAE201,18L,Under Maintenance,High,39,Gate assigned at terminal 3
07:03:30,UAE201,27R,Open,Moderate,46,Gate assigned at terminal 3
07:04:00,UAE201,18L,Open,High,35,Gate assigned at terminal 3
07:04:30,UAE201,13L,Open,Low,34,Gate assigned at terminal 3
07:05:00,UAE201,13L,Open,High,22,Gate assigned at terminal 3
07:05:30,UAE201,13R,Closed,Moderate,19,Gate assigned at terminal 3
07:06:00,UAE201,18R,Closed,Moderate,40,Gate assigned at terminal 3
07:06:30,UAE201,13L,Closed,High,34,Gate assigned at terminal 3
07:07:00,UAE201,13R,Open,Moderate,18,Gate assigned at terminal 3
07:07:30,UAE201,18R,Closed,Moderate,25,Gate assigned at terminal 3
07:08:00,UAE201,09L,Under Maintenance,High,35,Gate assigned at terminal 3
07:08:30,UAE201,13R,Open,High,5,Gate assigned at terminal 3
07:09:00,UAE201,18L,Closed,Moderate,14,Gate assigned at terminal 3
07:09:30,UAE201,18L,Closed,Moderate,6,Gate assigned at terminal 3
07:10:00,UAE201,27L,Open,Moderate,2,Gate assigned at terminal 3
07:10:30,UAE201,18L,Open,High,42,Gate assigned at terminal 3
07:11:00,UAE201,13R,Closed,High,26,Gate assigned at terminal 3
07:11:30,UAE201,18L,Under Maintenance,Moderate,3,Gate assigned at terminal 3
07:12:00,UAE201,09R,Open,Moderate,20,Gate assigned at terminal 3
07:12:30,UAE201,13R,Open,High,58,Gate assigned at terminal 3
07:13:00,UAE201,13L,Open,High,44,Gate assigned at terminal 3
07:13:30,UAE201,09R,Closed,High,18,Gate assigned at terminal 3
07:14:00,UAE201,09R,Closed,Moderate,0,Gate assigned at terminal 3
07:14:30,UAE201,13L,Under Maintenance,High,21,Gate assigned at terminal 3
07:15:00,UAE201,18L,Open,High,28,Gate assigned at terminal 3
07:15:30,UAE201,13L,Closed,Low,35,Gate assigned at terminal 3
07:16:00,UAE201,27R,Closed,High,34,Gate assigned at terminal 3
07:16:30,UAE201,18L,Closed,Moderate,11,Gate assigned at terminal 3
07:17:00,UAE201,27R,Closed,Low,7,Gate assigned at terminal 3
07:17:30,UAE201,09L,Closed,Moderate,26,Gate assigned at terminal 3
07:18:00,UAE201,27R,Open,Moderate,45,Gate assigned at terminal 3
07:18:30,UAE201,09R,Open,Moderate,25,Gate assigned at terminal 3
07:19:00,UAE201,13R,Open,Low,26,Gate assigned at terminal 3
07:19:30,UAE201,27R,Open,Moderate,50,Gate assigned at terminal 3
07:20:00,UAE201,18L,Open,Low,36,Gate assigned at terminal 3
07:20:30,UAE201,13R,Under Maintenance,Low,42,Gate assigned at terminal 3
07:21:00,UAE201,13L,Open,High,38,Gate assigned at terminal 3
07:21:30,UAE201,13L,Closed,Low,55,Gate assigned at terminal 3
07:22:00,UAE201,27L,Under Maintenance,Moderate,52,Gate assigned at terminal 3
07:22:30,UAE201,27R,Under Maintenance,High,0,Gate assigned at terminal 3
07:23:00,UAE201,13L,Closed,Low,17,Gate assigned at terminal 3
07:23:30,UAE201,09R,Open,High,51,Gate assigned at terminal 3
07:24:00,UAE201,09R,Open,Low,56,Gate assigned at terminal 3
07:24:30,UAE201,09R,Under Maintenance,Low,48,Gate assigned at terminal 3
07:25:00,UAE201,13R,Closed,Moderate,8,Gate assigned at terminal 3
07:25:30,UAE201,27L,Closed,Low,42,Gate assigned at terminal 3
07:26:00,UAE201,09R,Closed,Moderate,12,Gate assigned at terminal 3
07:26:30,UAE201,18R,Under Maintenance,Low,24,Gate assigned at terminal 3
07:27:00,UAE201,27R,Closed,Moderate,26,Gate assigned at terminal 3
07:27:30,UAE201,27L,Open,High,10,Gate assigned at terminal 3
07:28:00,UAE201,18R,Under Maintenance,Moderate,9,Gate assigned at terminal 3
07:28:30,UAE201,27L,Under Maintenance,High,23,Gate assigned at terminal 3
07:29:00,UAE201,18R,Closed,Low,31,Gate assigned at terminal 3
07:29:30,UAE201,13R,Open,Low,39,Gate assigned at terminal 3
07:30:00,UAE201,13R,Open,High,57,Gate assigned at terminal 3
07:30:30,UAE201,27L,Open,High,38,Gate assigned at terminal 3
07:31:00,UAE201,27L,Under Maintenance,Moderate,44,Gate assigned at terminal 3
07:31:30,UAE201,09R,Open,Low,58,Gate assigned at terminal 3
07:32:00,UAE201,27L,Open,Low,44,Gate assigned at terminal 3
07:32:30,UAE201,13R,Open,Moderate,10,Gate assigned at terminal 3
07:33:00,UAE201,09L,Closed,High,58,Gate assigned at terminal 3
07:33:30,UAE201,13R,Closed,Low,47,Gate assigned at terminal 3
07:34:00,UAE201,18R,Closed,High,34,Gate assigned at terminal 3
07:34:30,UAE201,13L,Under Maintenance,Low,56,Gate assigned at terminal 3
07:35:00,UAE201,09L,Under Maintenance,Moderate,27,Gate assigned at terminal 3
07:35:30,UAE201,27R,Under Maintenance,Low,4,Gate assigned at terminal 3
07:36:00,UAE201,18R,Under Maintenance,Moderate,53,Gate assigned at terminal 3
07:36:30,UAE201,18L,Under Maintenance,High,43,Gate assigned at terminal 3
07:37:00,UAE201,13L,Under Maintenance,High,37,Gate assigned at terminal 3
07:37:30,UAE201,27L,Open,High,45,Gate assigned at terminal 3
07:38:00,UAE201,18L,Open,High,56,Gate assigned at terminal 3
07:38:30,UAE201,18L,Under Maintenance,Low,12,Gate assigned at terminal 3
07:39:00,UAE201,13L,Closed,High,30,Gate assigned at terminal 3
07:39:30,UAE201,09R,Closed,Moderate,40,Gate assigned at terminal 3
07:40:00,UAE201,27L,Closed,High,18,Gate assigned at terminal 3
07:40:30,UAE201,13R,Closed,High,6,Gate assigned at terminal 3
07:41:00,UAE201,27L,Open,Low,46,Gate assigned at terminal 3
07:41:30,UAE201,13R,Open,Moderate,55,Gate assigned at terminal 3
07:42:00,UAE201,27L,Closed,High,55,Gate assigned at terminal 3
07:42:30,UAE201,18L,Closed,Low,53,Gate assigned at terminal 3
07:43:00,UAE201,27L,Closed,Low,50,Gate assigned at terminal 3
07:43:30,UAE201,27R,Closed,Low,44,Gate assigned at terminal 3
07:44:00,UAE201,18L,Under Maintenance,Moderate,36,Gate assigned at terminal 3
07:44:30,UAE201,09L,Under Maintenance,Moderate,50,Gate assigned at terminal 3
07:45:00,UAE201,18R,Open,Low,13,Gate assigned at terminal 3
07:45:30,UAE201,27R,Under Maintenance,Low,19,Gate assigned at terminal 3
07:46:00,UAE201,27L,Closed,Moderate,4,Gate assigned at terminal 3
07:46:30,UAE201,18R,Under Maintenance,High,25,Gate assigned at terminal 3
07:47:00,UAE201,27L,Under Maintenance,Moderate,9,Gate assigned at terminal 3
07:47:30,UAE201,09L,Closed,High,9,Gate assigned at terminal 3
07:48:00,UAE201,09L,Under Maintenance,Low,19,Gate assigned at terminal 3
07:48:30,UAE201,09R,Under Maintenance,High,23,Gate assigned at terminal 3
07:49:00,UAE201,13L,Open,Moderate,50,Gate assigned at terminal 3
07:49:30,UAE201,18R,Open,High,1,Gate assigned at terminal 3
07:50:00,UAE201,27R,Under Maintenance,Low,23,Gate assigned at terminal 3
07:50:30,UAE201,09R,Under Maintenance,High,25,Gate assigned at terminal 3
07:51:00,UAE201,13L,Open,High,13,Gate assigned at terminal 3
07:51:30,UAE201,18L,Under Maintenance,Low,35,Gate assigned at terminal 3
07:52:00,UAE201,13L,Under Maintenance,High,7,Gate assigned at terminal 3
07:52:30,UAE201,18R,Open,Low,24,Gate assigned at terminal 3
07:53:00,UAE201,18L,Open,Moderate,59,Gate assigned at terminal 3
07:53:30,UAE201,09R,Closed,High,42,Gate assigned at terminal 3
07:54:00,UAE201,27L,Open,Moderate,51,Gate assigned at terminal 3
07:54:30,UAE201,18L,Under Maintenance,High,3,Gate assigned at terminal 3
07:55:00,UAE201,27R,Closed,Moderate,35,Gate assigned at terminal 3
07:55:30,UAE201,27R,Closed,Low,35,Gate assigned at terminal 3
07:56:00,UAE201,13L,Closed,Low,6,Gate assigned at terminal 3
07:56:30,UAE201,13R,Under Maintenance,High,14,Gate assigned at terminal 3
07:57:00,UAE201,09L,Closed,Moderate,42,Gate assigned at terminal 3
07:57:30,UAE201,09R,Closed,Moderate,38,Gate assigned at terminal 3
07:58:00,UAE201,18R,Closed,High,21,Gate assigned at terminal 3
07:58:30,UAE201,09R,Open,Moderate,39,Gate assigned at terminal 3
07:59:00,UAE201,27R,Under Maintenance,High,44,Gate assigned at terminal 3
07:59:30,UAE201,27L,Open,Low,10,Gate assigned at terminal 3
08:00:00,UAE201,09L,Under Maintenance,Moderate,11,Gate assigned at terminal 3
08:00:30,UAE201,09L,Under Maintenance,Low,56,Gate assigned at terminal 3
08:01:00,UAE201,13R,Closed,High,51,Gate assigned at terminal 3
08:01:30,UAE201,13L,Open,Low,24,Gate assigned at terminal 3
08:02:00,UAE201,09R,Closed,Low,39,Gate assigned at terminal 3
08:02:30,UAE201,13R,Open,Low,50,Gate assigned at terminal 3
08:03:00,UAE201,27R,Under Maintenance,High,2,Gate assigned at terminal 3
08:03:30,UAE201,13L,Open,Low,5,Gate assigned at terminal 3
08:04:00,UAE201,27R,Open,Low,52,Gate assigned at terminal 3
08:04:30,UAE201,27L,Open,Moderate,10,Gate assigned at terminal 3
08:05:00,UAE201,13R,Under Maintenance,High,22,Gate assigned at terminal 3
08:05:30,UAE201,13R,Under Maintenance,Moderate,5,Gate assigned at terminal 3
08:06:00,UAE201,18L,Closed,Moderate,14,Gate assigned at terminal 3
08:06:30,UAE201,18R,Open,High,50,Gate assigned at terminal 3
08:07:00,UAE201,18R,Closed,Moderate,40,Gate assigned at terminal 3
08:07:30,UAE201,18R,Closed,Low,23,Gate assigned at terminal 3
08:08:00,UAE201,27R,Open,High,36,Gate assigned at terminal 3
08:08:30,UAE201,09R,Under Maintenance,Low,23,Gate assigned at terminal 3
08:09:00,UAE201,18L,Open,Moderate,28,Gate assigned at terminal 3
08:09:30,UAE201,13L,Closed,Low,33,Gate assigned at terminal 3
08:10:00,UAE201,09R,Open,Low,12,Gate assigned at terminal 3
08:10:30,UAE201,09L,Open,Moderate,2,Gate assigned at terminal 3
08:11:00,UAE201,13L,Open,High,3,Gate assigned at terminal 3
08:11:30,UAE201,09R,Under Maintenance,Low,29,Gate assigned at terminal 3
08:12:00,UAE201,09L,Under Maintenance,Low,7,Gate assigned at terminal 3
08:12:30,UAE201,27R,Under Maintenance,Low,32,Gate assigned at terminal 3
08:13:00,UAE201,27L,Under Maintenance,High,50,Gate assigned at terminal 3
08:13:30,UAE201,09R,Open,High,1,Gate assigned at terminal 3
08:14:00,UAE201,27R,Open,Moderate,25,Gate assigned at terminal 3
08:14:30,UAE201,27R,Under Maintenance,Moderate,43,Gate assigned at terminal 3
08:15:00,UAE201,13R,Open,High,47,Gate assigned at terminal 3
08:15:30,UAE201,18L,Closed,Moderate,23,Gate assigned at terminal 3
08:16:00,UAE201,18R,Open,Moderate,10,Gate assigned at terminal 3
08:16:30,UAE201,27L,Under Maintenance,Moderate,36,Gate assigned at terminal 3
08:17:00,UAE201,27L,Closed,High,12,Gate assigned at terminal 3
08:17:30,UAE201,27R,Open,High,29,Gate assigned at terminal 3
08:18:00,UAE201,09R,Under Maintenance,Low,6,Gate assigned at terminal 3
08:18:30,UAE201,27L,Under Maintenance,Moderate,58,Gate assigned at terminal 3
08:19:00,UAE201,13L,Open,Moderate,27,Gate assigned at terminal 3
08:19:30,UAE201,09L,Closed,Low,31,Gate assigned at terminal 3
08:20:00,UAE201,27R,Under Maintenance,Moderate,28,Gate assigned at terminal 3
08:20:30,UAE201,18L,Closed,Low,51,Gate assigned at terminal 3
08:21:00,UAE201,18L,Open,Low,38,Gate assigned at terminal 3
08:21:30,UAE201,18R,Under Maintenance,Low,13,Gate assigned at terminal 3
08:22:00,UAE201,09R,Under Maintenance,High,53,Gate assigned at terminal 3
08:22:30,UAE201,18R,Under Maintenance,High,55,Gate assigned at terminal 3
08:23:00,UAE201,18L,Under Maintenance,Low,57,Gate assigned at terminal 3
08:23:30,UAE201,18L,Under Maintenance,Low,29,Gate assigned at terminal 3
08:24:00,UAE201,27L,Open,High,9,Gate assigned at terminal 3
08:24:30,UAE201,13L,Under Maintenance,High,23,Gate assigned at terminal 3
08:25:00,UAE201,13L,Closed,Moderate,47,Gate assigned at terminal 3
08:25:30,UAE201,27R,Open,Low,32,Gate assigned at terminal 3
08:26:00,UAE201,18L,Open,Moderate,19,Gate assigned at terminal 3
08:26:30,UAE201,09L,Closed,High,26,Gate assigned at terminal 3
08:27:00,UAE201,27R,Open,Moderate,5,Gate assigned at terminal 3
08:27:30,UAE201,13L,Closed,Moderate,35,Gate assigned at terminal 3
08:28:00,UAE201,13L,Under Maintenance,Moderate,9,Gate assigned at terminal 3
08:28:30,UAE201,09L,Open,High,58,Gate assigned at terminal 3
08:29:00,UAE201,13R,Closed,Low,16,Gate assigned at terminal 3
08:29:30,UAE201,13R,Closed,Low,35,Gate assigned at terminal 3
08:30:00,UAE201,13L,Under Maintenance,Low,10,Gate assigned at terminal 3
08:30:30,UAE201,18L,Closed,Low,58,Gate assigned at terminal 3
08:31:00,UAE201,13L,Closed,High,9,Gate assigned at terminal 3
08:31:30,UAE201,18L,Under Maintenance,Low,54,Gate assigned at terminal 3
08:32:00,UAE201,13L,Under Maintenance,High,28,Gate assigned at terminal 3
08:32:30,UAE201,09R,Closed,Moderate,41,Gate assigned at terminal 3
08:33:00,UAE201,09R,Under Maintenance,Low,0,Gate assigned at terminal 3
08:33:30,UAE201,27L,Open,Moderate,49,Gate assigned at terminal 3
08:34:00,UAE201,13L,Under Maintenance,Low,23,Gate assigned at terminal 3
08:34:30,UAE201,13R,Under Maintenance,High,5,Gate assigned at terminal 3
08:35:00,UAE201,09L,Under Maintenance,Moderate,41,Gate assigned at terminal 3
08:35:30,UAE201,09R,Closed,High,39,Gate assigned at terminal 3
08:36:00,UAE201,27L,Under Maintenance,High,25,Gate assigned at terminal 3
08:36:30,UAE201,13L,Under Maintenance,High,14,Gate assigned at terminal 3
08:37:00,UAE201,27L,Open,Low,59,Gate assigned at terminal 3
08:37:30,UAE201,27L,Open,High,45,Gate assigned at terminal 3
08:38:00,UAE201,13R,Closed,High,37,Gate assigned at terminal 3
08:38:30,UAE201,09L,Open,High,39,Gate assigned at terminal 3
08:39:00,UAE201,27L,Under Maintenance,Moderate,53,Gate assigned at terminal 3
08:39:30,UAE201,27L,Closed,Moderate,6,Gate assigned at terminal 3
08:40:00,UAE201,18L,Under Maintenance,Low,33,Gate assigned at terminal 3
08:40:30,UAE201,09R,Under Maintenance,Moderate,15,Gate assigned at terminal 3
08:41:00,UAE201,09L,Closed,High,15,Gate assigned at terminal 3
08:41:30,UAE201,18L,Open,Moderate,47,Gate assigned at terminal 3
08:42:00,UAE201,09R,Open,High,32,Gate assigned at terminal 3
08:42:30,UAE201,27L,Under Maintenance,Moderate,53,Gate assigned at terminal 3
08:43:00,UAE201,13L,Open,Moderate,11,Gate assigned at terminal 3
08:43:30,UAE201,27L,Closed,High,19,Gate assigned at terminal 3
08:44:00,UAE201,09R,Open,Low,54,Gate assigned at terminal 3
08:44:30,UAE201,09R,Closed,Low,50,Gate assigned at terminal 3
08:45:00,UAE201,13L,Open,High,44,Gate assigned at terminal 3
08:45:30,UAE201,18R,Under Maintenance,Moderate,9,Gate assigned at terminal 3
08:46:00,UAE201,09R,Closed,High,49,Gate assigned at terminal 3
08:46:30,UAE201,18L,Open,High,25,Gate assigned at terminal 3
08:47:00,UAE201,18L,Closed,High,46,Gate assigned at terminal 3
08:47:30,UAE201,27R,Open,Moderate,48,Gate assigned at terminal 3
08:48:00,UAE201,18L,Closed,Low,38,Gate assigned at terminal 3
08:48:30,UAE201,13L,Closed,Low,54,Gate assigned at terminal 3
08:49:00,UAE201,27R,Under Maintenance,Moderate,18,Gate assigned at terminal 3
08:49:30,UAE201,09L,Open,Low,53,Gate assigned at terminal 3
08:50:00,UAE201,13R,Closed,Moderate,30,Gate assigned at terminal 3
08:50:30,UAE201,27R,Under Maintenance,Low,36,Gate assigned at terminal 3
08:51:00,UAE201,13R,Open,High,26,Gate assigned at terminal 3
08:51:30,UAE201,27L,Closed,High,53,Gate assigned at terminal 3
08:52:00,UAE201,09L,Open,Low,35,Gate assigned at terminal 3
08:52:30,UAE201,27R,Open,High,50,Gate assigned at terminal 3
08:53:00,UAE201,27L,Closed,Low,43,Gate assigned at terminal 3
08:53:30,UAE201,13L,Under Maintenance,Moderate,37,Gate assigned at terminal 3
08:54:00,UAE201,27R,Closed,Low,0,Gate assigned at terminal 3
08:54:30,UAE201,27R,Under Maintenance,Moderate,41,Gate assigned at terminal 3
08:55:00,UAE201,13L,Open,Low,20,Gate assigned at terminal 3
08:55:30,UAE201,27R,Closed,Moderate,3,Gate assigned at terminal 3
08:56:00,UAE201,18L,Under Maintenance,Moderate,36,Gate assigned at terminal 3
08:56:30,UAE201,18R,Open,Moderate,28,Gate assigned at terminal 3
08:57:00,UAE201,13R,Under Maintenance,Low,35,Gate assigned at terminal 3
08:57:30,UAE201,09R,Open,Low,50,Gate assigned at terminal 3
08:58:00,UAE201,09L,Under Maintenance,High,19,Gate assigned at terminal 3
08:58:30,UAE201,18R,Closed,High,14,Gate assigned at terminal 3
08:59:00,UAE201,27R,Open,Low,44,Gate assigned at terminal 3
08:59:30,UAE201,18R,Under Maintenance,Moderate,33,Gate assigned at terminal 3
09:00:00,UAE201,18R,Open,Moderate,1,Gate assigned at terminal 3
09:00:30,UAE201,09L,Closed,Moderate,53,Gate assigned at terminal 3
09:01:00,UAE201,18L,Under Maintenance,Low,45,Gate assigned at terminal 3
09:01:30,UAE201,18R,Open,Moderate,5,Gate assigned at terminal 3
09:02:00,UAE201,27R,Under Maintenance,Moderate,23,Gate assigned at terminal 3
09:02:30,UAE201,13L,Closed,Moderate,47,Gate assigned at terminal 3
09:03:00,UAE201,13L,Closed,Moderate,11,Gate assigned at terminal 3
09:03:30,UAE201,13L,Under Maintenance,Moderate,38,Gate assigned at terminal 3
09:04:00,UAE201,09R,Under Maintenance,Moderate,4,Gate assigned at terminal 3
09:04:30,UAE201,27R,Open,Moderate,29,Gate assigned at terminal 3
09:05:00,UAE201,09L,Open,High,53,Gate assigned at terminal 3
09:05:30,UAE201,13L,Open,Low,55,Gate assigned at terminal 3
09:06:00,UAE201,09L,Under Maintenance,Low,11,Gate assigned at terminal 3
09:06:30,UAE201,27R,Open,High,18,Gate assigned at terminal 3
09:07:00,UAE201,27L,Closed,High,4,Gate assigned at terminal 3
09:07:30,UAE201,13R,Open,Moderate,1,Gate assigned at terminal 3
09:08:00,UAE201,27L,Under Maintenance,Low,55,Gate assigned at terminal 3
09:08:30,UAE201,18L,Closed,Moderate,0,Gate assigned at terminal 3
09:09:00,UAE201,18R,Closed,Moderate,35,Gate assigned at terminal 3
09:09:30,UAE201,13L,Open,Moderate,38,Gate assigned at terminal 3
09:10:00,UAE201,13R,Open,Moderate,59,Gate assigned at terminal 3
09:10:30,UAE201,13L,Open,High,2,Gate assigned at terminal 3
09:11:00,UAE201,09R,Open,Moderate,1,Gate assigned at terminal 3
09:11:30,UAE201,13R,Open,High,59,Gate assigned at terminal 3
09:12:00,UAE201,18L,Closed,High,7,Gate assigned at terminal 3
09:12:30,UAE201,13R,Open,Moderate,0,Gate assigned at terminal 3
