Time,Call Sign,Communication Status,Signal Strength,Required Action
04:18:30,UAE201,Failed,Strong,Switch to backup frequency
04:19:00,UAE201,Normal,Strong,Request ATC relay
04:19:30,UAE201,Intermittent,Strong,Switch to backup frequency
04:20:00,UAE201,Failed,No Signal,Switch to backup frequency
04:20:30,UAE201,Intermittent,No Signal,Request ATC relay
04:21:00,UAE201,Intermittent,Strong,Switch to backup frequency
04:21:30,UAE201,Normal,Strong,Request ATC relay
04:22:00,UAE201,Normal,No Signal,Request ATC relay
04:22:30,UAE201,Failed,Strong,No action
04:23:00,UAE201,Failed,No Signal,No action
04:23:30,UAE201,Normal,No Signal,Switch to backup frequency
04:24:00,UAE201,Failed,Weak,Switch to backup frequency
04:24:30,UAE201,Failed,No Signal,Request ATC relay
04:25:00,UAE201,Intermittent,Strong,No action
04:25:30,UAE201,Normal,Strong,Request ATC relay
04:26:00,UAE201,Normal,Weak,Request ATC relay
04:26:30,UAE201,Failed,Weak,No action
04:27:00,UAE201,Failed,No Signal,Request ATC relay
04:27:30,UAE201,Intermittent,Strong,No action
04:28:00,UAE201,Intermittent,No Signal,Request ATC relay
04:28:30,UAE201,Failed,No Signal,Request ATC relay
04:29:00,UAE201,Normal,Strong,Request ATC relay
04:29:30,UAE201,Intermittent,Strong,Request ATC relay
04:30:00,UAE201,Failed,No Signal,No action
04:30:30,UAE201,Normal,No Signal,Request ATC relay
04:31:00,UAE201,Intermittent,Strong,No action
04:31:30,UAE201,Intermittent,Strong,No action
04:32:00,UAE201,Intermittent,No Signal,No action
04:32:30,UAE201,Failed,No Signal,Switch to backup frequency
04:33:00,UAE201,Intermittent,No Signal,Request ATC relay
04:33:30,UAE201,Failed,Weak,Switch to backup frequency
04:34:00,UAE201,Intermittent,No Signal,No action
04:34:30,UAE201,Normal,No Signal,Switch to backup frequency
04:35:00,UAE201,Failed,Strong,Switch to backup frequency
04:35:30,UAE201,Intermittent,Weak,Switch to backup frequency
04:36:00,UAE201,Intermittent,No Signal,No action
04:36:30,UAE201,Normal,No Signal,Request ATC relay
04:37:00,UAE201,Normal,Strong,Switch to backup frequency
04:37:30,UAE201,Failed,No Signal,No action
04:38:00,UAE201,Failed,Weak,Switch to backup frequency
04:38:30,UAE201,Normal,No Signal,Switch to backup frequency
04:39:00,UAE201,Intermittent,Strong,No action
04:39:30,UAE201,Intermittent,Strong,Switch to backup frequency
04:40:00,UAE201,Failed,Strong,Request ATC relay
04:40:30,UAE201,Intermittent,No Signal,Switch to backup frequency
04:41:00,UAE201,Intermittent,Strong,No action
04:41:30,UAE201,Intermittent,No Signal,Switch to backup frequency
04:42:00,UAE201,Failed,No Signal,Switch to backup frequency
04:42:30,UAE201,Failed,Strong,Request ATC relay
04:43:00,UAE201,Intermittent,Weak,Switch to backup frequency
04:43:30,UAE201,Normal,Weak,No action
04:44:00,UAE201,Failed,Weak,Switch to backup frequency
04:44:30,UAE201,Intermittent,Strong,Switch to backup frequency
04:45:00,UAE201,Normal,Strong,Request ATC relay
04:45:30,UAE201,Failed,Weak,Request ATC relay
04:46:00,UAE201,Intermittent,Weak,Switch to backup frequency
04:46:30,UAE201,Intermittent,Strong,Request ATC relay
04:47:00,UAE201,Intermittent,Strong,Switch to backup frequency
04:47:30,UAE201,Normal,Weak,Request ATC relay
04:48:00,UAE201,Failed,Weak,Request ATC relay
04:48:30,UAE201,Normal,Weak,No action
04:49:00,UAE201,Failed,Weak,Request ATC relay
04:49:30,UAE201,Failed,No Signal,No action
04:50:00,UAE201,Normal,No Signal,Switch to backup frequency
04:50:30,UAE201,Normal,No Signal,Switch to backup frequency
04:51:00,UAE201,Intermittent,No Signal,Request ATC relay
04:51:30,UAE201,Normal,Strong,Switch to backup frequency
04:52:00,UAE201,Failed,Strong,Switch to backup frequency
04:52:30,UAE201,Failed,Strong,Switch to backup frequency
04:53:00,UAE201,Normal,No Signal,Switch to backup frequency
04:53:30,UAE201,Intermittent,Weak,No action
04:54:00,UAE201,Failed,Strong,No action
04:54:30,UAE201,Normal,No Signal,Request ATC relay
04:55:00,UAE201,Normal,Weak,Request ATC relay
04:55:30,UAE201,Normal,Strong,Switch to backup frequency
04:56:00,UAE201,Failed,Weak,Request ATC relay
04:56:30,UAE201,Normal,Weak,Switch to backup frequency
04:57:00,UAE201,Normal,No Signal,No action
04:57:30,UAE201,Normal,Weak,Request ATC relay
04:58:00,UAE201,Normal,No Signal,Switch to backup frequency
04:58:30,UAE201,Intermittent,No Signal,No action
04:59:00,UAE201,Normal,Weak,No action
04:59:30,UAE201,Intermittent,Weak,Request ATC relay
05:00:00,UAE201,Normal,No Signal,Request ATC relay
05:00:30,UAE201,Normal,Weak,No action
05:01:00,UAE201,Intermittent,Weak,No action
05:01:30,UAE201,Normal,Weak,Switch to backup frequency
05:02:00,UAE201,Intermittent,Weak,Request ATC relay
05:02:30,UAE201,Failed,No Signal,Request ATC relay
05:03:00,UAE201,Failed,Strong,Switch to backup frequency
05:03:30,UAE201,Failed,Weak,No action
05:04:00,UAE201,Normal,Weak,Switch to backup frequency
05:04:30,UAE201,Normal,Strong,No action
05:05:00,UAE201,Intermittent,No Signal,Request ATC relay
05:05:30,UAE201,Intermittent,Weak,Request ATC relay
05:06:00,UAE201,Failed,No Signal,Request ATC relay
05:06:30,UAE201,Normal,Weak,Request ATC relay
05:07:00,UAE201,Failed,No Signal,No action
05:07:30,UAE201,Normal,Weak,Switch to backup frequency
05:08:00,UAE201,Intermittent,Strong,Switch to backup frequency
05:08:30,UAE201,Intermittent,Weak,Switch to backup frequency
05:09:00,UAE201,Intermittent,Strong,No action
05:09:30,UAE201,Normal,No Signal,Request ATC relay
05:10:00,UAE201,Intermittent,Weak,Switch to backup frequency
05:10:30,UAE201,Intermittent,No Signal,Request ATC relay
05:11:00,UAE201,Normal,Weak,Request ATC relay
05:11:30,UAE201,Normal,Weak,Request ATC relay
05:12:00,UAE201,Intermittent,Strong,No action
05:12:30,UAE201,Normal,No Signal,Request ATC relay
05:13:00,UAE201,Intermittent,Strong,No action
05:13:30,UAE201,Intermittent,Weak,No action
05:14:00,UAE201,Failed,No Signal,Switch to backup frequency
05:14:30,UAE201,Intermittent,Weak,Switch to backup frequency
05:15:00,UAE201,Failed,No Signal,Switch to backup frequency
05:15:30,UAE201,Failed,Strong,Request ATC relay
05:16:00,UAE201,Failed,No Signal,Request ATC relay
05:16:30,UAE201,Normal,Strong,No action
05:17:00,UAE201,Failed,No Signal,Switch to backup frequency
05:17:30,UAE201,Normal,Strong,No action
05:18:00,UAE201,Failed,Weak,No action
05:18:30,UAE201,Normal,Strong,Request ATC relay
05:19:00,UAE201,Normal,No Signal,Request ATC relay
05:19:30,UAE201,Intermittent,No Signal,Switch to backup frequency
05:20:00,UAE201,Intermittent,Weak,Switch to backup frequency
05:20:30,UAE201,Failed,Strong,No action
05:21:00,UAE201,Intermittent,Weak,No action
05:21:30,UAE201,Intermittent,Strong,Request ATC relay
05:22:00,UAE201,Normal,No Signal,Request ATC relay
05:22:30,UAE201,Normal,Strong,No action
05:23:00,UAE201,Failed,No Signal,No action
05:23:30,UAE201,Failed,Weak,Request ATC relay
05:24:00,UAE201,Normal,Weak,Request ATC relay
05:24:30,UAE201,Intermittent,Weak,Switch to backup frequency
05:25:00,UAE201,Intermittent,Strong,Request ATC relay
05:25:30,UAE201,Normal,Strong,No action
05:26:00,UAE201,Failed,No Signal,Switch to backup frequency
05:26:30,UAE201,Normal,Weak,No action
05:27:00,UAE201,Normal,Weak,Request ATC relay
05:27:30,UAE201,Normal,No Signal,No action
05:28:00,UAE201,Failed,Strong,No action
05:28:30,UAE201,Failed,No Signal,Request ATC relay
05:29:00,UAE201,Failed,Weak,No action
05:29:30,UAE201,Failed,Weak,Switch to backup frequency
05:30:00,UAE201,Intermittent,Weak,Request ATC relay
05:30:30,UAE201,Failed,Weak,No action
05:31:00,UAE201,Normal,Strong,No action
05:31:30,UAE201,Normal,No Signal,Switch to backup frequency
05:32:00,UAE201,Intermittent,Strong,Request ATC relay
05:32:30,UAE201,Failed,No Signal,Switch to backup frequency
05:33:00,UAE201,Normal,Strong,No action
05:33:30,UAE201,Failed,No Signal,Request ATC relay
05:34:00,UAE201,Intermittent,Strong,Switch to backup frequency
05:34:30,UAE201,Intermittent,Strong,Request ATC relay
05:35:00,UAE201,Intermittent,Weak,Switch to backup frequency
05:35:30,UAE201,Failed,Weak,Request ATC relay
05:36:00,UAE201,Normal,Strong,No action
05:36:30,UAE201,Intermittent,Weak,Request ATC relay
05:37:00,UAE201,Normal,Weak,Switch to backup frequency
05:37:30,UAE201,Intermittent,Weak,Switch to backup frequency
05:38:00,UAE201,Failed,No Signal,Switch to backup frequency
05:38:30,UAE201,Intermittent,Strong,No action
05:39:00,UAE201,Intermittent,No Signal,Request ATC relay
05:39:30,UAE201,Normal,Weak,Switch to backup frequency
05:40:00,UAE201,Intermittent,Weak,Switch to backup frequency
05:40:30,UAE201,Intermittent,Strong,No action
05:41:00,UAE201,Failed,Weak,Switch to backup frequency
05:41:30,UAE201,Normal,Weak,No action
05:42:00,UAE201,Failed,No Signal,Request ATC relay
05:42:30,UAE201,Failed,Weak,Request ATC relay
05:43:00,UAE201,Failed,No Signal,Request ATC relay
05:43:30,UAE201,Intermittent,Weak,Switch to backup frequency
05:44:00,UAE201,Normal,Weak,Switch to backup frequency
05:44:30,UAE201,Failed,Weak,No action
05:45:00,UAE201,Failed,No Signal,Request ATC relay
05:45:30,UAE201,Normal,No Signal,Switch to backup frequency
05:46:00,UAE201,Intermittent,Weak,No action
05:46:30,UAE201,Normal,Strong,No action
05:47:00,UAE201,Intermittent,Strong,Request ATC relay
05:47:30,UAE201,Normal,Weak,Request ATC relay
05:48:00,UAE201,Failed,Weak,Switch to backup frequency
05:48:30,UAE201,Failed,Strong,Switch to backup frequency
05:49:00,UAE201,Intermittent,Strong,No action
05:49:30,UAE201,Normal,Strong,No action
05:50:00,UAE201,Intermittent,Weak,Request ATC relay
05:50:30,UAE201,Failed,Weak,Request ATC relay
05:51:00,UAE201,Failed,Weak,No action
05:51:30,UAE201,Normal,No Signal,No action
05:52:00,UAE201,Failed,Weak,Switch to backup frequency
05:52:30,UAE201,Failed,Weak,Switch to backup frequency
05:53:00,UAE201,Intermittent,Strong,Switch to backup frequency
05:53:30,UAE201,Failed,No Signal,No action
05:54:00,UAE201,Intermittent,Weak,No action
05:54:30,UAE201,Normal,No Signal,Switch to backup frequency
05:55:00,UAE201,Intermittent,Strong,Switch to backup frequency
05:55:30,UAE201,Intermittent,No Signal,Switch to backup frequency
05:56:00,UAE201,Intermittent,Weak,Switch to backup frequency
05:56:30,UAE201,Failed,No Signal,Switch to backup frequency
05:57:00,UAE201,Intermittent,Strong,Request ATC relay
05:57:30,UAE201,Normal,Weak,No action
05:58:00,UAE201,Normal,Weak,Switch to backup frequency
05:58:30,UAE201,Failed,Weak,Switch to backup frequency
05:59:00,UAE201,Intermittent,Strong,No action
05:59:30,UAE201,Failed,Weak,Request ATC relay
06:00:00,UAE201,Intermittent,Strong,Switch to backup frequency
06:00:30,UAE201,Failed,No Signal,Request ATC relay
06:01:00,UAE201,Failed,Strong,No action
06:01:30,UAE201,Intermittent,Strong,Switch to backup frequency
06:02:00,UAE201,Intermittent,Weak,Switch to backup frequency
06:02:30,UAE201,Intermittent,No Signal,Switch to backup frequency
06:03:00,UAE201,Failed,No Signal,No action
06:03:30,UAE201,Normal,Weak,No action
06:04:00,UAE201,Intermittent,Strong,No action
06:04:30,UAE201,Normal,No Signal,No action
06:05:00,UAE201,Failed,Strong,No action
06:05:30,UAE201,Intermittent,Strong,Request ATC relay
06:06:00,UAE201,Normal,Strong,No action
06:06:30,UAE201,Normal,Weak,Switch to backup frequency
06:07:00,UAE201,Failed,Weak,Switch to backup frequency
06:07:30,UAE201,Failed,Strong,No action
06:08:00,UAE201,Failed,Weak,No action
06:08:30,UAE201,Failed,No Signal,Switch to backup frequency
06:09:00,UAE201,Failed,Weak,Switch to backup frequency
06:09:30,UAE201,Failed,Weak,Request ATC relay
06:10:00,UAE201,Normal,Weak,Switch to backup frequency
06:10:30,UAE201,Intermittent,Strong,No action
06:11:00,UAE201,Failed,Strong,No action
06:11:30,UAE201,Normal,Weak,No action
06:12:00,UAE201,Normal,No Signal,Request ATC relay
06:12:30,UAE201,Intermittent,Strong,Request ATC relay
06:13:00,UAE201,Failed,Weak,Switch to backup frequency
06:13:30,UAE201,Intermittent,No Signal,No action
06:14:00,UAE201,Normal,Weak,Switch to backup frequency
06:14:30,UAE201,Intermittent,Weak,Switch to backup frequency
06:15:00,UAE201,Failed,Strong,Switch to backup frequency
06:15:30,UAE201,Failed,Strong,Request ATC relay
06:16:00,UAE201,Intermittent,Strong,Switch to backup frequency
06:16:30,UAE201,Intermittent,Weak,Request ATC relay
06:17:00,UAE201,Normal,Strong,Switch to backup frequency
06:17:30,UAE201,Failed,Weak,No action
06:18:00,UAE201,Failed,No Signal,Switch to backup frequency
06:18:30,UAE201,Normal,Weak,Request ATC relay
06:19:00,UAE201,Failed,No Signal,Switch to backup frequency
06:19:30,UAE201,Failed,Strong,Switch to backup frequency
06:20:00,UAE201,Failed,Weak,Request ATC relay
06:20:30,UAE201,Normal,Strong,No action
06:21:00,UAE201,Normal,Weak,Request ATC relay
06:21:30,UAE201,Normal,Weak,Switch to backup frequency
06:22:00,UAE201,Failed,Strong,Request ATC relay
06:22:30,UAE201,Normal,Weak,Request ATC relay
06:23:00,UAE201,Intermittent,Strong,Switch to backup frequency
06:23:30,UAE201,Failed,No Signal,No action
06:24:00,UAE201,Intermittent,No Signal,No action
06:24:30,UAE201,Failed,Strong,Switch to backup frequency
06:25:00,UAE201,Failed,No Signal,Switch to backup frequency
06:25:30,UAE201,Normal,Weak,Switch to backup frequency
06:26:00,UAE201,Normal,Strong,Switch to backup frequency
06:26:30,UAE201,Normal,Weak,Switch to backup frequency
06:27:00,UAE201,Normal,No Signal,Switch to backup frequency
06:27:30,UAE201,Normal,Strong,No action
06:28:00,UAE201,Intermittent,No Signal,No action
06:28:30,UAE201,Failed,Strong,No action
06:29:00,UAE201,Failed,Weak,Switch to backup frequency
06:29:30,UAE201,Normal,Strong,Switch to backup frequency
06:30:00,UAE201,Intermittent,Weak,Request ATC relay
06:30:30,UAE201,Intermittent,Strong,Switch to backup frequency
06:31:00,UAE201,Intermittent,Strong,No action
06:31:30,UAE201,Intermittent,No Signal,No action
06:32:00,UAE201,Normal,Strong,Switch to backup frequency
06:32:30,UAE201,Intermittent,Strong,Request ATC relay
06:33:00,UAE201,Normal,Weak,No action
06:33:30,UAE201,Failed,No Signal,Request ATC relay
06:34:00,UAE201,Failed,Weak,Request ATC relay
06:34:30,UAE201,Intermittent,Strong,Switch to backup frequency
06:35:00,UAE201,Intermittent,No Signal,Switch to backup frequency
06:35:30,UAE201,Failed,No Signal,Switch to backup frequency
06:36:00,UAE201,Normal,Strong,No action
06:36:30,UAE201,Intermittent,No Signal,Switch to backup frequency
06:37:00,UAE201,Failed,Weak,No action
06:37:30,UAE201,Intermittent,Strong,Request ATC relay
06:38:00,UAE201,Intermittent,No Signal,Switch to backup frequency
06:38:30,UAE201,Normal,Strong,Switch to backup frequency
06:39:00,UAE201,Normal,Strong,No action
06:39:30,UAE201,Failed,No Signal,Switch to backup frequency
06:40:00,UAE201,Intermittent,Weak,Switch to backup frequency
06:40:30,UAE201,Failed,Weak,Request ATC relay
06:41:00,UAE201,Failed,Weak,No action
06:41:30,UAE201,Normal,Strong,Switch to backup frequency
06:42:00,UAE201,Normal,Weak,Switch to backup frequency
06:42:30,UAE201,Intermittent,No Signal,No action
06:43:00,UAE201,Failed,No Signal,No action
06:43:30,UAE201,Normal,No Signal,Switch to backup frequency
06:44:00,UAE201,Failed,No Signal,Request ATC relay
06:44:30,UAE201,Normal,No Signal,No action
06:45:00,UAE201,Failed,Strong,No action
06:45:30,UAE201,Intermittent,Weak,Switch to backup frequency
06:46:00,UAE201,Normal,Weak,Switch to backup frequency
06:46:30,UAE201,Failed,Weak,Switch to backup frequency
06:47:00,UAE201,Normal,Weak,Request ATC relay
06:47:30,UAE201,Intermittent,No Signal,Switch to backup frequency
06:48:00,UAE201,Normal,Weak,No action
06:48:30,UAE201,Intermittent,No Signal,Request ATC relay
06:49:00,UAE201,Normal,No Signal,Switch to backup frequency
06:49:30,UAE201,Intermittent,Weak,No action
06:50:00,UAE201,Intermittent,No Signal,No action
06:50:30,UAE201,Normal,Weak,No action
06:51:00,UAE201,Normal,Strong,Request ATC relay
06:51:30,UAE201,Normal,Strong,No action
06:52:00,UAE201,Failed,Weak,Switch to backup frequency
06:52:30,UAE201,Intermittent,Strong,No action
06:53:00,UAE201,Normal,Weak,No action
06:53:30,UAE201,Intermittent,Strong,Switch to backup frequency
06:54:00,UAE201,Intermittent,Strong,Request ATC relay
06:54:30,UAE201,Normal,No Signal,No action
06:55:00,UAE201,Failed,No Signal,Request ATC relay
06:55:30,UAE201,Failed,No Signal,Request ATC relay
06:56:00,UAE201,Intermittent,No Signal,Switch to backup frequency
06:56:30,UAE201,Normal,Weak,Request ATC relay
06:57:00,UAE201,Intermittent,No Signal,Switch to backup frequency
06:57:30,UAE201,Intermittent,Strong,Switch to backup frequency
06:58:00,UAE201,Normal,Strong,Request ATC relay
06:58:30,UAE201,Intermittent,No Signal,Request ATC relay
06:59:00,UAE201,Intermittent,Strong,No action
06:59:30,UAE201,Normal,Weak,Switch to backup frequency
07:00:00,UAE201,Failed,Weak,No action
07:00:30,UAE201,Normal,Weak,Request ATC relay
07:01:00,UAE201,Intermittent,Strong,No action
07:01:30,UAE201,Normal,Weak,Request ATC relay
07:02:00,UAE201,Normal,No Signal,Request ATC relay
07:02:30,UAE201,Normal,Weak,Request ATC relay
07:03:00,UAE201,Intermittent,No Signal,Switch to backup frequency
07:03:30,UAE201,Failed,Weak,Switch to backup frequency
07:04:00,UAE201,Normal,Strong,Request ATC relay
07:04:30,UAE201,Failed,No Signal,No action
07:05:00,UAE201,Failed,No Signal,Switch to backup frequency
07:05:30,UAE201,Failed,Weak,No action
07:06:00,UAE201,Intermittent,Strong,Switch to backup frequency
07:06:30,UAE201,Normal,Weak,No action
07:07:00,UAE201,Intermittent,Strong,Request ATC relay
07:07:30,UAE201,Intermittent,Weak,Switch to backup frequency
07:08:00,UAE201,Failed,Weak,Switch to backup frequency
07:08:30,UAE201,Intermittent,Strong,Request ATC relay
07:09:00,UAE201,Failed,Weak,No action
07:09:30,UAE201,Normal,Weak,No action
07:10:00,UAE201,Failed,Strong,Request ATC relay
07:10:30,UAE201,Failed,No Signal,Switch to backup frequency
07:11:00,UAE201,Normal,No Signal,Switch to backup frequency
07:11:30,UAE201,Failed,No Signal,Request ATC relay
07:12:00,UAE201,Failed,Weak,No action
07:12:30,UAE201,Failed,Weak,No action
07:13:00,UAE201,Intermittent,No Signal,Request ATC relay
07:13:30,UAE201,Normal,No Signal,Request ATC relay
07:14:00,UAE201,Failed,No Signal,Request ATC relay
07:14:30,UAE201,Failed,Weak,Request ATC relay
07:15:00,UAE201,Failed,No Signal,Switch to backup frequency
07:15:30,UAE201,Failed,Weak,Request ATC relay
07:16:00,UAE201,Intermittent,No Signal,Switch to backup frequency
07:16:30,UAE201,Intermittent,Weak,Request ATC relay
07:17:00,UAE201,Failed,Strong,Request ATC relay
07:17:30,UAE201,Normal,Weak,Request ATC relay
07:18:00,UAE201,Intermittent,No Signal,Request ATC relay
07:18:30,UAE201,Intermittent,No Signal,No action
07:19:00,UAE201,Failed,No Signal,Switch to backup frequency
07:19:30,UAE201,Failed,Weak,Request ATC relay
07:20:00,UAE201,Intermittent,Weak,No action
07:20:30,UAE201,Normal,Weak,No action
07:21:00,UAE201,Failed,No Signal,No action
07:21:30,UAE201,Failed,Strong,Switch to backup frequency
07:22:00,UAE201,Normal,Weak,Switch to backup frequency
07:22:30,UAE201,Intermittent,No Signal,No action
07:23:00,UAE201,Normal,Weak,No action
07:23:30,UAE201,Intermittent,Weak,Switch to backup frequency
07:24:00,UAE201,Failed,Strong,Request ATC relay
07:24:30,UAE201,Intermittent,No Signal,No action
07:25:00,UAE201,Normal,No Signal,No action
07:25:30,UAE201,Normal,No Signal,Switch to backup frequency
07:26:00,UAE201,Failed,No Signal,No action
07:26:30,UAE201,Failed,Strong,Request ATC relay
07:27:00,UAE201,Failed,No Signal,Switch to backup frequency
07:27:30,UAE201,Intermittent,Weak,Switch to backup frequency
07:28:00,UAE201,Failed,Weak,Switch to backup frequency
07:28:30,UAE201,Failed,No Signal,Request ATC relay
07:29:00,UAE201,Intermittent,Strong,Switch to backup frequency
07:29:30,UAE201,Failed,No Signal,Request ATC relay
07:30:00,UAE201,Intermittent,Weak,Request ATC relay
07:30:30,UAE201,Failed,Weak,Request ATC relay
07:31:00,UAE201,Normal,Strong,Request ATC relay
07:31:30,UAE201,Failed,Weak,Switch to backup frequency
07:32:00,UAE201,Failed,Weak,Request ATC relay
07:32:30,UAE201,Failed,No Signal,Switch to backup frequency
07:33:00,UAE201,Intermittent,Weak,Switch to backup frequency
07:33:30,UAE201,Normal,No Signal,No action
07:34:00,UAE201,Normal,No Signal,Request ATC relay
07:34:30,UAE201,Normal,Weak,No action
07:35:00,UAE201,Failed,No Signal,No action
07:35:30,UAE201,Intermittent,No Signal,No action
07:36:00,UAE201,Normal,Weak,Request ATC relay
07:36:30,UAE201,Normal,No Signal,Switch to backup frequency
07:37:00,UAE201,Intermittent,No Signal,No action
07:37:30,UAE201,Failed,No Signal,Request ATC relay
07:38:00,UAE201,Failed,Strong,Switch to backup frequency
07:38:30,UAE201,Intermittent,Strong,No action
07:39:00,UAE201,Intermittent,Weak,Request ATC relay
07:39:30,UAE201,Failed,Weak,No action
07:40:00,UAE201,Failed,Strong,No action
07:40:30,UAE201,Intermittent,Strong,No action
07:41:00,UAE201,Normal,Weak,No action
07:41:30,UAE201,Normal,No Signal,No action
07:42:00,UAE201,Normal,Strong,No action
07:42:30,UAE201,Failed,No Signal,No action
07:43:00,UAE201,Normal,Strong,Switch to backup frequency
07:43:30,UAE201,Failed,Weak,No action
07:44:00,UAE201,Intermittent,No Signal,No action
07:44:30,UAE201,Normal,Strong,No action
07:45:00,UAE201,Failed,Strong,Request ATC relay
07:45:30,UAE201,Intermittent,Weak,No action
07:46:00,UAE201,Normal,No Signal,Switch to backup frequency
07:46:30,UAE201,Failed,Weak,Switch to backup frequency
07:47:00,UAE201,Intermittent,Strong,Request ATC relay
07:47:30,UAE201,Normal,Weak,No action
07:48:00,UAE201,Normal,Strong,No action
07:48:30,UAE201,Failed,Weak,Request ATC relay
07:49:00,UAE201,Intermittent,No Signal,No action
07:49:30,UAE201,Normal,Weak,Request ATC relay
07:50:00,UAE201,Normal,Strong,Switch to backup frequency
07:50:30,UAE201,Intermittent,Strong,Switch to backup frequency
07:51:00,UAE201,Intermittent,Strong,No action
07:51:30,UAE201,Normal,No Signal,Switch to backup frequency
07:52:00,UAE201,Normal,Strong,Switch to backup frequency
07:52:30,UAE201,Failed,Strong,Switch to backup frequency
07:53:00,UAE201,Normal,Weak,No action
07:53:30,UAE201,Normal,Weak,No action
07:54:00,UAE201,Failed,No Signal,No action
07:54:30,UAE201,Intermittent,No Signal,Switch to backup frequency
07:55:00,UAE201,Failed,Strong,Request ATC relay
07:55:30,UAE201,Failed,No Signal,Request ATC relay
07:56:00,UAE201,Normal,No Signal,No action
07:56:30,UAE201,Intermittent,Weak,Switch to backup frequency
07:57:00,UAE201,Intermittent,Strong,Request ATC relay
07:57:30,UAE201,Normal,Weak,No action
07:58:00,UAE201,Failed,Strong,Switch to backup frequency
07:58:30,UAE201,Intermittent,Weak,No action
07:59:00,UAE201,Normal,Strong,No action
07:59:30,UAE201,Normal,No Signal,No action
08:00:00,UAE201,Normal,Weak,No action
08:00:30,UAE201,Normal,No Signal,Request ATC relay
08:01:00,UAE201,Failed,No Signal,Request ATC relay
08:01:30,UAE201,Intermittent,Weak,Request ATC relay
08:02:00,UAE201,Intermittent,Strong,Switch to backup frequency
08:02:30,UAE201,Intermittent,No Signal,Switch to backup frequency
08:03:00,UAE201,Failed,Weak,Request ATC relay
08:03:30,UAE201,Normal,Weak,Switch to backup frequency
08:04:00,UAE201,Failed,Weak,Request ATC relay
08:04:30,UAE201,Normal,Strong,Switch to backup frequency
08:05:00,UAE201,Normal,Weak,Request ATC relay
08:05:30,UAE201,Failed,No Signal,No action
08:06:00,UAE201,Normal,Strong,Switch to backup frequency
08:06:30,UAE201,Failed,No Signal,Switch to backup frequency
08:07:00,UAE201,Normal,Strong,No action
08:07:30,UAE201,Failed,Strong,Request ATC relay
08:08:00,UAE201,Failed,Weak,No action
08:08:30,UAE201,Intermittent,No Signal,Request ATC relay
08:09:00,UAE201,Intermittent,Strong,Switch to backup frequency
08:09:30,UAE201,Failed,Strong,Switch to backup frequency
08:10:00,UAE201,Normal,Strong,Switch to backup frequency
08:10:30,UAE201,Failed,Weak,Switch to backup frequency
08:11:00,UAE201,Intermittent,No Signal,Request ATC relay
08:11:30,UAE201,Failed,Strong,No action
08:12:00,UAE201,Failed,No Signal,Switch to backup frequency
08:12:30,UAE201,Intermittent,Weak,Switch to backup frequency
08:13:00,UAE201,Normal,Strong,No action
08:13:30,UAE201,Intermittent,No Signal,Switch to backup frequency
08:14:00,UAE201,Intermittent,No Signal,No action
08:14:30,UAE201,Normal,Strong,Request ATC relay
08:15:00,UAE201,Intermittent,No Signal,No action
08:15:30,UAE201,Failed,No Signal,Switch to backup frequency
08:16:00,UAE201,Normal,Weak,Request ATC relay
08:16:30,UAE201,Normal,Weak,Request ATC relay
08:17:00,UAE201,Intermittent,Weak,Switch to backup frequency
08:17:30,UAE201,Intermittent,No Signal,No action
08:18:00,UAE201,Failed,Strong,Request ATC relay
08:18:30,UAE201,Intermittent,Weak,Request ATC relay
08:19:00,UAE201,Normal,Weak,Switch to backup frequency
08:19:30,UAE201,Intermittent,Weak,Request ATC relay
08:20:00,UAE201,Normal,Weak,Switch to backup frequency
08:20:30,UAE201,Intermittent,No Signal,Request ATC relay
08:21:00,UAE201,Failed,Weak,Request ATC relay
08:21:30,UAE201,Intermittent,Weak,Switch to backup frequency
08:22:00,UAE201,Failed,Weak,No action
08:22:30,UAE201,Normal,Strong,No action
08:23:00,UAE201,Failed,No Signal,Request ATC relay
08:23:30,UAE201,Normal,No Signal,No action
08:24:00,UAE201,Failed,Weak,No action
08:24:30,UAE201,Failed,Strong,Switch to backup frequency
08:25:00,UAE201,Failed,Strong,Request ATC relay
08:25:30,UAE201,Normal,Weak,No action
08:26:00,UAE201,Intermittent,Strong,No action
08:26:30,UAE201,Normal,No Signal,No action
08:27:00,UAE201,Failed,Strong,Request ATC relay
08:27:30,UAE201,Failed,Weak,Request ATC relay
08:28:00,UAE201,Failed,Strong,No action
08:28:30,UAE201,Normal,No Signal,Request ATC relay
08:29:00,UAE201,Intermittent,Strong,No action
08:29:30,UAE201,Normal,No Signal,Request ATC relay
08:30:00,UAE201,Failed,No Signal,No action
08:30:30,UAE201,Intermittent,Strong,No action
08:31:00,UAE201,Failed,Weak,Switch to backup frequency
08:31:30,UAE201,Failed,Weak,No action
08:32:00,UAE201,Failed,Weak,No action
08:32:30,UAE201,Failed,Weak,Switch to backup frequency
08:33:00,UAE201,Intermittent,No Signal,No action
08:33:30,UAE201,Intermittent,No Signal,Switch to backup frequency
08:34:00,UAE201,Failed,Strong,No action
08:34:30,UAE201,Failed,Strong,Request ATC relay
08:35:00,UAE201,Failed,Strong,No action
08:35:30,UAE201,Failed,No Signal,No action
08:36:00,UAE201,Normal,Strong,Request ATC relay
08:36:30,UAE201,Intermittent,Weak,Switch to backup frequency
