Manual Section,Scenario,Instructions
QRH Section 3,Engine Overheating,"Check for oil pressure anomalies, consider engine shutdown if overheating persists."
FCOM Section 2,Bird Strike,"Check for abnormal vibrations, perform engine checks, advise cabin crew."
AOM Section 5,Fuel Leak,"Declare emergency, avoid areas where fuel leak could cause hazard, prepare for immediate landing."
AOM Section 9,Fuel Leak,"Monitor fuel levels closely, communicate fuel status to ATC."
AOM Section 5,Hydraulic Failure,"Implement manual flight controls, reduce speed, prepare for manual landing."
AOM Section 10,Icing Conditions,"Report icing conditions to ATC, request vector to exit icing area, perform de-icing procedures."
AOM Section 5,Hydraulic Failure,"Limit control inputs to essential movements, monitor hydraulic pressure levels."
AOM Section 5,Emergency Evacuation,"Deploy slides if necessary, account for all passengers and crew."
QRH Section 3,Fire in Engine,"Declare Mayday, divert to nearest suitable airport, advise cabin crew and passengers."
AOM Section 10,Fire in Engine,"Shut down affected engine, activate fire suppression system, prepare for emergency landing."
QRH Section 2,Airspeed Indicator Malfunction,"Inform ATC of unreliable airspeed, maintain safe altitude and attitude."
