Time,Call Sign,Communication Type,Message Content,Altitude (ft),Speed (knots),Heading (degrees),Position
03:10:00,UAE201,Pilot Acknowledgment,"Turning left heading 94, UAE201.",30000,455,94,"('26.0765° N', '56.2406° E')"
03:10:30,UAE201,ATC Instruction,Cleared for takeoff runway 09L.,30000,424,231,"('40.6413° N', '-73.7781° W')"
03:11:00,UAE201,Pilot Report,"Passing FL200, climbing to FL350.",20000,463,7,"('34.0837° N', '74.7973° E')"
03:11:30,UAE201,Pilot Acknowledgment,"Reducing speed to 250 knots, UAE201.",25000,435,337,"('28.7041° N', '77.1025° E')"
03:12:00,UAE201,Pilot Report,"Holding short of runway 22R, ready for departure.",20000,416,281,"('26.0765° N', '56.2406° E')"
03:12:30,UAE201,ATC Instruction,Maintain present speed.,25000,437,48,"('34.0837° N', '74.7973° E')"
03:13:00,UAE201,Pilot Report,"Runway vacated, taxiing to gate.",30000,478,199,"('40.6413° N', '-73.7781° W')"
03:13:30,UAE201,Pilot Acknowledgment,"Proceeding to final approach, maintaining 20000 feet, UAE201.",20000,405,195,"('28.7041° N', '77.1025° E')"
03:14:00,UAE201,Pilot Report,"Established on localizer, runway in sight.",30000,482,234,"('28.7041° N', '77.1025° E')"
03:14:30,UAE201,Pilot Report,Engine 2 showing abnormal vibrations.,25000,494,123,"('26.0765° N', '56.2406° E')"
03:15:00,UAE201,Pilot Acknowledgment,"Proceeding to final approach, maintaining 35000 feet, UAE201.",35000,417,89,"('28.7041° N', '77.1025° E')"
03:15:30,UAE201,Pilot Acknowledgment,"Crossing runway 09L, continuing to terminal, UAE201.",5000,420,6,"('25.2532° N', '55.3657° E')"
03:16:00,UAE201,Pilot Acknowledgment,"Proceeding to final approach, maintaining 20000 feet, UAE201.",20000,453,184,"('34.0837° N', '74.7973° E')"
03:16:30,UAE201,ATC Instruction,Cross runway 09L and continue taxi to terminal.,30000,438,57,"('34.0837° N', '74.7973° E')"
03:17:00,UAE201,ATC Instruction,Proceed direct to waypoint ALPHA.,20000,442,87,"('28.7041° N', '77.1025° E')"
03:17:30,UAE201,Pilot Report,"Cleared turbulence, resuming normal speed.",35000,414,343,"('40.6413° N', '-73.7781° W')"
03:18:00,UAE201,ATC Instruction,Cross runway 09L and continue taxi to terminal.,35000,450,147,"('34.0837° N', '74.7973° E')"
03:18:30,UAE201,Pilot Report,Requesting vectors for weather avoidance.,30000,456,11,"('34.0837° N', '74.7973° E')"
03:19:00,UAE201,ATC Instruction,Contact departure on 124.7.,20000,424,216,"('34.0837° N', '74.7973° E')"
03:19:30,UAE201,Pilot Report,"Runway vacated, taxiing to gate.",35000,495,126,"('40.6413° N', '-73.7781° W')"
03:20:00,UAE201,ATC Instruction,Climb and maintain 15000 feet.,15000,404,122,"('40.6413° N', '-73.7781° W')"
03:20:30,UAE201,ATC Instruction,Cross runway 09L and continue taxi to terminal.,30000,500,175,"('40.6413° N', '-73.7781° W')"
03:21:00,UAE201,Pilot Acknowledgment,"Taxiing to gate via taxiway Bravo, UAE201.",25000,497,217,"('25.2532° N', '55.3657° E')"
03:21:30,UAE201,Pilot Acknowledgment,"Climbing to FL50, UAE201.",5000,491,42,"('34.0837° N', '74.7973° E')"
03:22:00,UAE201,Pilot Report,"Runway vacated, taxiing to gate.",25000,461,180,"('34.0837° N', '74.7973° E')"
03:22:30,UAE201,Pilot Report,"Cleared turbulence, resuming normal speed.",5000,497,166,"('34.0837° N', '74.7973° E')"
03:23:00,UAE201,ATC Instruction,"Descend and maintain 20000 feet, expect ILS approach runway 27.",20000,492,73,"('34.0837° N', '74.7973° E')"
03:23:30,UAE201,Pilot Acknowledgment,"Proceeding to final approach, maintaining 20000 feet, UAE201.",20000,422,44,"('40.6413° N', '-73.7781° W')"
03:24:00,UAE201,Pilot Acknowledgment,"Taxiing to gate via taxiway Bravo, UAE201.",20000,450,70,"('26.0765° N', '56.2406° E')"
03:24:30,UAE201,ATC Instruction,Maintain present speed.,35000,498,184,"('25.2532° N', '55.3657° E')"
03:25:00,UAE201,ATC Instruction,Expect vectors for ILS approach to runway 13R.,5000,408,324,"('34.0837° N', '74.7973° E')"
03:25:30,UAE201,ATC Instruction,"Turn left heading 145, vectors for traffic.",35000,435,145,"('26.0765° N', '56.2406° E')"
03:26:00,UAE201,Pilot Report,"Cleared turbulence, resuming normal speed.",25000,422,5,"('34.0837° N', '74.7973° E')"
03:26:30,UAE201,Pilot Report,Engine 2 showing abnormal vibrations.,5000,408,72,"('28.7041° N', '77.1025° E')"
03:27:00,UAE201,ATC Instruction,Proceed direct to waypoint ALPHA.,35000,469,32,"('34.0837° N', '74.7973° E')"
03:27:30,UAE201,ATC Instruction,"Turn left heading 357, vectors for traffic.",30000,463,357,"('28.7041° N', '77.1025° E')"
03:28:00,UAE201,ATC Instruction,Cleared for takeoff runway 09L.,20000,423,306,"('25.2532° N', '55.3657° E')"
03:28:30,UAE201,Pilot Report,"Cleared turbulence, resuming normal speed.",35000,457,109,"('34.0837° N', '74.7973° E')"
03:29:00,UAE201,Pilot Report,Experiencing moderate turbulence at FL200.,20000,493,30,"('28.7041° N', '77.1025° E')"
03:29:30,UAE201,Pilot Report,"Passing FL250, climbing to FL350.",25000,473,72,"('25.2532° N', '55.3657° E')"
03:30:00,UAE201,Pilot Report,"Cleared turbulence, resuming normal speed.",15000,427,75,"('25.2532° N', '55.3657° E')"
03:30:30,UAE201,Pilot Acknowledgment,"Proceeding to final approach, maintaining 15000 feet, UAE201.",15000,486,300,"('25.2532° N', '55.3657° E')"
03:31:00,UAE201,Pilot Acknowledgment,"Climb and maintain 25000 feet, UAE201.",25000,474,295,"('28.7041° N', '77.1025° E')"
03:31:30,UAE201,ATC Instruction,Maintain present speed.,25000,486,329,"('25.2532° N', '55.3657° E')"
03:32:00,UAE201,Pilot Report,"Passing FL250, climbing to FL350.",25000,420,283,"('25.2532° N', '55.3657° E')"
03:32:30,UAE201,Pilot Acknowledgment,"Taxiing to gate via taxiway Bravo, UAE201.",25000,465,299,"('25.2532° N', '55.3657° E')"
03:33:00,UAE201,Pilot Report,"Cleared turbulence, resuming normal speed.",5000,447,355,"('26.0765° N', '56.2406° E')"
03:33:30,UAE201,ATC Instruction,Hold short of runway 12R.,10000,407,298,"('34.0837° N', '74.7973° E')"
03:34:00,UAE201,ATC Instruction,Climb and maintain 20000 feet.,20000,409,200,"('26.0765° N', '56.2406° E')"
03:34:30,UAE201,Pilot Report,Experiencing moderate turbulence at FL100.,10000,402,330,"('25.2532° N', '55.3657° E')"
03:35:00,UAE201,Pilot Acknowledgment,"Reducing speed to 250 knots, UAE201.",15000,404,235,"('28.7041° N', '77.1025° E')"
03:35:30,UAE201,Pilot Report,Requesting vectors for weather avoidance.,5000,476,115,"('25.2532° N', '55.3657° E')"
03:36:00,UAE201,Pilot Acknowledgment,"Taxiing to gate via taxiway Bravo, UAE201.",5000,416,340,"('26.0765° N', '56.2406° E')"
03:36:30,UAE201,ATC Instruction,"Turn left heading 35, vectors for traffic.",35000,415,35,"('40.6413° N', '-73.7781° W')"
03:37:00,UAE201,Pilot Report,Experiencing moderate turbulence at FL100.,10000,469,337,"('28.7041° N', '77.1025° E')"
03:37:30,UAE201,ATC Instruction,Request speed reduction due to traffic ahead.,35000,445,154,"('26.0765° N', '56.2406° E')"
03:38:00,UAE201,ATC Instruction,"Descend and maintain 25000 feet, expect ILS approach runway 27.",25000,448,52,"('34.0837° N', '74.7973° E')"
03:38:30,UAE201,ATC Instruction,Cross runway 09L and continue taxi to terminal.,20000,460,225,"('25.2532° N', '55.3657° E')"
03:39:00,UAE201,Pilot Acknowledgment,"Switching to 124.7, UAE201.",5000,470,268,"('28.7041° N', '77.1025° E')"
03:39:30,UAE201,Pilot Report,"Cleared turbulence, resuming normal speed.",10000,487,130,"('25.2532° N', '55.3657° E')"
03:40:00,UAE201,ATC Instruction,Maintain present speed.,15000,406,69,"('40.6413° N', '-73.7781° W')"
03:40:30,UAE201,Pilot Report,"Holding short of runway 22R, ready for departure.",15000,447,63,"('26.0765° N', '56.2406° E')"
03:41:00,UAE201,ATC Instruction,Proceed direct to waypoint ALPHA.,20000,452,117,"('40.6413° N', '-73.7781° W')"
03:41:30,UAE201,Pilot Report,Experiencing moderate turbulence at FL200.,20000,405,174,"('28.7041° N', '77.1025° E')"
03:42:00,UAE201,ATC Instruction,Hold short of runway 12R.,15000,454,323,"('40.6413° N', '-73.7781° W')"
03:42:30,UAE201,Pilot Report,Experiencing moderate turbulence at FL250.,25000,478,83,"('28.7041° N', '77.1025° E')"
03:43:00,UAE201,Pilot Acknowledgment,"Reducing speed to 250 knots, UAE201.",20000,420,340,"('25.2532° N', '55.3657° E')"
03:43:30,UAE201,Pilot Acknowledgment,"Maintaining present speed, UAE201.",30000,421,328,"('40.6413° N', '-73.7781° W')"
03:44:00,UAE201,Pilot Acknowledgment,"Holding at BRAVO, UAE201.",10000,480,248,"('40.6413° N', '-73.7781° W')"
03:44:30,UAE201,ATC Instruction,Expect vectors for ILS approach to runway 13R.,30000,407,114,"('40.6413° N', '-73.7781° W')"
03:45:00,UAE201,Pilot Report,"Passing FL200, climbing to FL350.",20000,400,154,"('25.2532° N', '55.3657° E')"
03:45:30,UAE201,ATC Instruction,"Turn left heading 163, vectors for traffic.",20000,481,163,"('28.7041° N', '77.1025° E')"
03:46:00,UAE201,Pilot Acknowledgment,"Switching to ground control on 121.9, UAE201.",35000,500,231,"('40.6413° N', '-73.7781° W')"
03:46:30,UAE201,Pilot Acknowledgment,"Proceeding to final approach, maintaining 25000 feet, UAE201.",25000,459,324,"('40.6413° N', '-73.7781° W')"
03:47:00,UAE201,Pilot Acknowledgment,"Holding at BRAVO, UAE201.",20000,490,148,"('28.7041° N', '77.1025° E')"
03:47:30,UAE201,Pilot Acknowledgment,"Turning left heading 242, UAE201.",5000,421,242,"('25.2532° N', '55.3657° E')"
03:48:00,UAE201,Pilot Acknowledgment,"Proceeding to final approach, maintaining 15000 feet, UAE201.",15000,409,296,"('34.0837° N', '74.7973° E')"
03:48:30,UAE201,Pilot Acknowledgment,"Proceeding to final approach, maintaining 15000 feet, UAE201.",15000,417,208,"('40.6413° N', '-73.7781° W')"
03:49:00,UAE201,Pilot Report,Engine 2 showing abnormal vibrations.,30000,442,76,"('25.2532° N', '55.3657° E')"
03:49:30,UAE201,Pilot Report,"Runway vacated, taxiing to gate.",10000,489,210,"('28.7041° N', '77.1025° E')"
03:50:00,UAE201,ATC Instruction,Hold short of runway 12R.,10000,435,243,"('25.2532° N', '55.3657° E')"
03:50:30,UAE201,ATC Instruction,Reduce speed to 250 knots.,5000,469,191,"('28.7041° N', '77.1025° E')"
03:51:00,UAE201,ATC Instruction,Switch to ground control on 121.9.,15000,481,352,"('25.2532° N', '55.3657° E')"
03:51:30,UAE201,Pilot Acknowledgment,"Crossing runway 09L, continuing to terminal, UAE201.",35000,447,76,"('28.7041° N', '77.1025° E')"
03:52:00,UAE201,Pilot Acknowledgment,"Switching to ground control on 121.9, UAE201.",5000,403,311,"('40.6413° N', '-73.7781° W')"
03:52:30,UAE201,Pilot Acknowledgment,"Holding at BRAVO, UAE201.",25000,469,174,"('34.0837° N', '74.7973° E')"
03:53:00,UAE201,Pilot Report,Experiencing moderate turbulence at FL150.,15000,446,228,"('34.0837° N', '74.7973° E')"
03:53:30,UAE201,Pilot Acknowledgment,"Taxiing to gate via taxiway Bravo, UAE201.",20000,440,12,"('40.6413° N', '-73.7781° W')"
03:54:00,UAE201,Pilot Report,"Passing FL250, climbing to FL350.",25000,412,293,"('26.0765° N', '56.2406° E')"
03:54:30,UAE201,Pilot Acknowledgment,"Switching to ground control on 121.9, UAE201.",30000,453,54,"('25.2532° N', '55.3657° E')"
03:55:00,UAE201,Pilot Report,Engine 2 showing abnormal vibrations.,10000,462,96,"('34.0837° N', '74.7973° E')"
03:55:30,UAE201,Pilot Acknowledgment,"Reducing speed to 250 knots, UAE201.",25000,473,41,"('34.0837° N', '74.7973° E')"
03:56:00,UAE201,Pilot Report,"Holding short of runway 22R, ready for departure.",25000,421,261,"('26.0765° N', '56.2406° E')"
03:56:30,UAE201,ATC Instruction,"Descend and maintain 30000 feet, expect ILS approach runway 27.",30000,486,270,"('25.2532° N', '55.3657° E')"
03:57:00,UAE201,ATC Instruction,Expect holding at waypoint BRAVO.,10000,438,65,"('34.0837° N', '74.7973° E')"
03:57:30,UAE201,Pilot Report,"Established on localizer, runway in sight.",20000,481,257,"('28.7041° N', '77.1025° E')"
03:58:00,UAE201,ATC Instruction,Taxi to gate via taxiway Bravo.,30000,495,165,"('34.0837° N', '74.7973° E')"
03:58:30,UAE201,Pilot Report,"Cleared turbulence, resuming normal speed.",35000,483,75,"('26.0765° N', '56.2406° E')"
03:59:00,UAE201,Pilot Acknowledgment,"Proceeding to final approach, maintaining 25000 feet, UAE201.",25000,444,179,"('40.6413° N', '-73.7781° W')"
03:59:30,UAE201,Pilot Report,"Passing FL200, climbing to FL350.",20000,441,346,"('34.0837° N', '74.7973° E')"
04:00:00,UAE201,ATC Instruction,"Descend and maintain 5000 feet, expect ILS approach runway 27.",5000,456,346,"('40.6413° N', '-73.7781° W')"
04:00:30,UAE201,Pilot Acknowledgment,"Reducing speed to 250 knots, UAE201.",20000,453,158,"('34.0837° N', '74.7973° E')"
04:01:00,UAE201,Pilot Acknowledgment,"Proceeding direct to ALPHA, UAE201.",5000,471,73,"('40.6413° N', '-73.7781° W')"
04:01:30,UAE201,Pilot Report,"Runway vacated, taxiing to gate.",25000,434,260,"('40.6413° N', '-73.7781° W')"
04:02:00,UAE201,Pilot Acknowledgment,"Reducing speed to 250 knots, UAE201.",35000,400,226,"('26.0765° N', '56.2406° E')"
04:02:30,UAE201,ATC Instruction,Proceed to final approach and maintain 5000 feet.,5000,471,168,"('26.0765° N', '56.2406° E')"
04:03:00,UAE201,Pilot Acknowledgment,"Proceeding direct to ALPHA, UAE201.",35000,427,315,"('40.6413° N', '-73.7781° W')"
04:03:30,UAE201,Pilot Acknowledgment,"Proceeding to final approach, maintaining 10000 feet, UAE201.",10000,457,145,"('40.6413° N', '-73.7781° W')"
04:04:00,UAE201,ATC Instruction,Contact center on 126.1 for further instructions.,5000,417,148,"('28.7041° N', '77.1025° E')"
04:04:30,UAE201,ATC Instruction,Reduce speed to 250 knots.,35000,422,334,"('34.0837° N', '74.7973° E')"
04:05:00,UAE201,ATC Instruction,Contact center on 126.1 for further instructions.,25000,438,177,"('28.7041° N', '77.1025° E')"
04:05:30,UAE201,Pilot Acknowledgment,"Turning left heading 213, UAE201.",5000,461,213,"('34.0837° N', '74.7973° E')"
04:06:00,UAE201,Pilot Acknowledgment,"Reducing speed to 250 knots, UAE201.",15000,412,176,"('28.7041° N', '77.1025° E')"
04:06:30,UAE201,Pilot Acknowledgment,"Switching to 124.7, UAE201.",25000,415,7,"('40.6413° N', '-73.7781° W')"
04:07:00,UAE201,Pilot Report,"Established on localizer, runway in sight.",5000,425,238,"('25.2532° N', '55.3657° E')"
04:07:30,UAE201,Pilot Report,Experiencing moderate turbulence at FL200.,20000,404,106,"('28.7041° N', '77.1025° E')"
04:08:00,UAE201,Pilot Report,"Passing FL200, climbing to FL350.",20000,403,60,"('26.0765° N', '56.2406° E')"
04:08:30,UAE201,ATC Instruction,Proceed direct to waypoint ALPHA.,35000,434,93,"('34.0837° N', '74.7973° E')"
04:09:00,UAE201,Pilot Report,"Passing FL300, climbing to FL350.",30000,405,94,"('25.2532° N', '55.3657° E')"
04:09:30,UAE201,Pilot Acknowledgment,"Proceeding direct to ALPHA, UAE201.",15000,406,358,"('34.0837° N', '74.7973° E')"
04:10:00,UAE201,Pilot Acknowledgment,"Switching to ground control on 121.9, UAE201.",35000,470,334,"('34.0837° N', '74.7973° E')"
04:10:30,UAE201,ATC Instruction,Contact departure on 124.7.,35000,496,176,"('40.6413° N', '-73.7781° W')"
04:11:00,UAE201,ATC Instruction,Maintain present speed.,35000,434,336,"('34.0837° N', '74.7973° E')"
04:11:30,UAE201,ATC Instruction,Expect holding at waypoint BRAVO.,5000,474,36,"('40.6413° N', '-73.7781° W')"
04:12:00,UAE201,Pilot Report,"Established on localizer, runway in sight.",30000,446,62,"('26.0765° N', '56.2406° E')"
04:12:30,UAE201,Pilot Report,Experiencing moderate turbulence at FL100.,10000,464,88,"('40.6413° N', '-73.7781° W')"
04:13:00,UAE201,Pilot Acknowledgment,"Proceeding to final approach, maintaining 30000 feet, UAE201.",30000,462,241,"('34.0837° N', '74.7973° E')"
04:13:30,UAE201,Pilot Report,"Holding short of runway 22R, ready for departure.",25000,437,114,"('25.2532° N', '55.3657° E')"
04:14:00,UAE201,ATC Instruction,"Descend and maintain 25000 feet, expect ILS approach runway 27.",25000,418,126,"('26.0765° N', '56.2406° E')"
04:14:30,UAE201,Pilot Acknowledgment,"Holding at BRAVO, UAE201.",25000,481,308,"('34.0837° N', '74.7973° E')"
04:15:00,UAE201,ATC Instruction,Proceed direct to waypoint ALPHA.,10000,498,311,"('26.0765° N', '56.2406° E')"
04:15:30,UAE201,Pilot Acknowledgment,"Holding short of runway 12R, UAE201.",15000,414,17,"('28.7041° N', '77.1025° E')"
04:16:00,UAE201,ATC Instruction,Proceed to final approach and maintain 30000 feet.,30000,416,223,"('34.0837° N', '74.7973° E')"
04:16:30,UAE201,ATC Instruction,Switch to ground control on 121.9.,15000,404,324,"('28.7041° N', '77.1025° E')"
04:17:00,UAE201,Pilot Acknowledgment,"Reducing speed to 250 knots, UAE201.",20000,435,279,"('26.0765° N', '56.2406° E')"
04:17:30,UAE201,ATC Instruction,Climb to FL50 and maintain.,5000,410,267,"('26.0765° N', '56.2406° E')"
04:18:00,UAE201,Pilot Acknowledgment,"Climb and maintain 10000 feet, UAE201.",10000,413,220,"('25.2532° N', '55.3657° E')"
04:18:30,UAE201,Pilot Report,Requesting vectors for weather avoidance.,15000,492,174,"('25.2532° N', '55.3657° E')"
04:19:00,UAE201,Pilot Report,Experiencing moderate turbulence at FL300.,30000,433,336,"('25.2532° N', '55.3657° E')"
04:19:30,UAE201,Pilot Acknowledgment,"Switching to 124.7, UAE201.",35000,455,67,"('28.7041° N', '77.1025° E')"
04:20:00,UAE201,Pilot Report,"Holding short of runway 22R, ready for departure.",25000,402,279,"('26.0765° N', '56.2406° E')"
04:20:30,UAE201,Pilot Acknowledgment,"Descending to 30000 feet, UAE201.",30000,413,56,"('26.0765° N', '56.2406° E')"
04:21:00,UAE201,Pilot Acknowledgment,"Holding short of runway 12R, UAE201.",20000,441,292,"('34.0837° N', '74.7973° E')"
04:21:30,UAE201,Pilot Report,Engine 2 showing abnormal vibrations.,35000,486,178,"('26.0765° N', '56.2406° E')"
04:22:00,UAE201,ATC Instruction,Request speed reduction due to traffic ahead.,5000,472,106,"('25.2532° N', '55.3657° E')"
04:22:30,UAE201,ATC Instruction,Request speed reduction due to traffic ahead.,25000,428,191,"('34.0837° N', '74.7973° E')"
04:23:00,UAE201,Pilot Acknowledgment,"Switching to ground control on 121.9, UAE201.",20000,402,163,"('40.6413° N', '-73.7781° W')"
04:23:30,UAE201,Pilot Report,Requesting vectors for weather avoidance.,10000,422,45,"('28.7041° N', '77.1025° E')"
04:24:00,UAE201,ATC Instruction,Proceed direct to waypoint ALPHA.,30000,489,312,"('26.0765° N', '56.2406° E')"
04:24:30,UAE201,Pilot Report,Requesting vectors for weather avoidance.,5000,416,2,"('26.0765° N', '56.2406° E')"
04:25:00,UAE201,Pilot Acknowledgment,"Switching to 124.7, UAE201.",35000,466,153,"('25.2532° N', '55.3657° E')"
04:25:30,UAE201,Pilot Acknowledgment,"Switching to 124.7, UAE201.",35000,452,212,"('25.2532° N', '55.3657° E')"
04:26:00,UAE201,ATC Instruction,Cross runway 09L and continue taxi to terminal.,25000,500,118,"('40.6413° N', '-73.7781° W')"
04:26:30,UAE201,Pilot Acknowledgment,"Reducing speed to 250 knots, UAE201.",15000,458,117,"('25.2532° N', '55.3657° E')"
04:27:00,UAE201,Pilot Report,"Established on localizer, runway in sight.",20000,441,91,"('40.6413° N', '-73.7781° W')"
04:27:30,UAE201,Pilot Report,Requesting vectors for weather avoidance.,30000,429,108,"('26.0765° N', '56.2406° E')"
04:28:00,UAE201,Pilot Acknowledgment,"Switching to 124.7, UAE201.",35000,457,164,"('40.6413° N', '-73.7781° W')"
04:28:30,UAE201,Pilot Report,Engine 2 showing abnormal vibrations.,20000,487,340,"('40.6413° N', '-73.7781° W')"
04:29:00,UAE201,ATC Instruction,Climb and maintain 20000 feet.,20000,430,71,"('28.7041° N', '77.1025° E')"
04:29:30,UAE201,Pilot Acknowledgment,"Climbing to FL150, UAE201.",15000,493,347,"('40.6413° N', '-73.7781° W')"
04:30:00,UAE201,Pilot Report,"Runway vacated, taxiing to gate.",5000,437,8,"('28.7041° N', '77.1025° E')"
04:30:30,UAE201,Pilot Report,Experiencing moderate turbulence at FL250.,25000,400,272,"('25.2532° N', '55.3657° E')"
04:31:00,UAE201,ATC Instruction,Contact center on 126.1 for further instructions.,25000,455,231,"('34.0837° N', '74.7973° E')"
04:31:30,UAE201,Pilot Report,Engine 2 showing abnormal vibrations.,5000,458,359,"('28.7041° N', '77.1025° E')"
04:32:00,UAE201,Pilot Acknowledgment,"Descending to 10000 feet, UAE201.",10000,478,32,"('28.7041° N', '77.1025° E')"
04:32:30,UAE201,Pilot Report,"Runway vacated, taxiing to gate.",25000,475,344,"('40.6413° N', '-73.7781° W')"
04:33:00,UAE201,ATC Instruction,"Descend and maintain 30000 feet, expect ILS approach runway 27.",30000,434,305,"('34.0837° N', '74.7973° E')"
04:33:30,UAE201,Pilot Report,Requesting vectors for weather avoidance.,10000,482,196,"('26.0765° N', '56.2406° E')"
04:34:00,UAE201,ATC Instruction,Contact departure on 124.7.,15000,499,50,"('34.0837° N', '74.7973° E')"
04:34:30,UAE201,ATC Instruction,Cleared for takeoff runway 09L.,25000,500,266,"('26.0765° N', '56.2406° E')"
04:35:00,UAE201,Pilot Acknowledgment,"Switching to 124.7, UAE201.",25000,469,233,"('34.0837° N', '74.7973° E')"
04:35:30,UAE201,ATC Instruction,Switch to ground control on 121.9.,20000,445,166,"('26.0765° N', '56.2406° E')"
04:36:00,UAE201,Pilot Report,Experiencing moderate turbulence at FL350.,35000,426,117,"('34.0837° N', '74.7973° E')"
04:36:30,UAE201,Pilot Report,"Passing FL250, climbing to FL350.",25000,419,344,"('40.6413° N', '-73.7781° W')"
04:37:00,UAE201,Pilot Report,Experiencing moderate turbulence at FL350.,35000,466,240,"('26.0765° N', '56.2406° E')"
04:37:30,UAE201,Pilot Acknowledgment,"Maintaining present speed, UAE201.",25000,493,68,"('28.7041° N', '77.1025° E')"
04:38:00,UAE201,ATC Instruction,Expect vectors for ILS approach to runway 13R.,15000,412,18,"('25.2532° N', '55.3657° E')"
04:38:30,UAE201,Pilot Report,"Cleared turbulence, resuming normal speed.",10000,450,167,"('34.0837° N', '74.7973° E')"
04:39:00,UAE201,Pilot Report,Engine 2 showing abnormal vibrations.,25000,435,153,"('26.0765° N', '56.2406° E')"
04:39:30,UAE201,ATC Instruction,Descend to 5000 feet and prepare for approach.,5000,438,81,"('25.2532° N', '55.3657° E')"
04:40:00,UAE201,ATC Instruction,Descend to 5000 feet and prepare for approach.,5000,495,219,"('25.2532° N', '55.3657° E')"
04:40:30,UAE201,Pilot Report,"Holding short of runway 22R, ready for departure.",30000,406,22,"('26.0765° N', '56.2406° E')"
04:41:00,UAE201,Pilot Report,Experiencing moderate turbulence at FL250.,25000,485,249,"('25.2532° N', '55.3657° E')"
04:41:30,UAE201,Pilot Report,"Holding short of runway 22R, ready for departure.",10000,476,48,"('34.0837° N', '74.7973° E')"
04:42:00,UAE201,Pilot Acknowledgment,"Taxiing to gate via taxiway Bravo, UAE201.",20000,477,354,"('40.6413° N', '-73.7781° W')"
04:42:30,UAE201,Pilot Report,"Holding short of runway 22R, ready for departure.",20000,485,80,"('40.6413° N', '-73.7781° W')"
04:43:00,UAE201,ATC Instruction,Cross runway 09L and continue taxi to terminal.,10000,463,238,"('40.6413° N', '-73.7781° W')"
04:43:30,UAE201,ATC Instruction,Proceed to final approach and maintain 15000 feet.,15000,411,32,"('26.0765° N', '56.2406° E')"
04:44:00,UAE201,Pilot Report,"Established on localizer, runway in sight.",5000,483,154,"('26.0765° N', '56.2406° E')"
04:44:30,UAE201,ATC Instruction,"Turn left heading 89, vectors for traffic.",25000,423,89,"('26.0765° N', '56.2406° E')"
04:45:00,UAE201,Pilot Acknowledgment,"Reducing speed to 250 knots, UAE201.",15000,439,94,"('25.2532° N', '55.3657° E')"
04:45:30,UAE201,ATC Instruction,Climb to FL200 and maintain.,20000,440,350,"('34.0837° N', '74.7973° E')"
04:46:00,UAE201,Pilot Acknowledgment,"Holding short of runway 12R, UAE201.",5000,436,198,"('25.2532° N', '55.3657° E')"
04:46:30,UAE201,Pilot Acknowledgment,"Descending to 25000 feet, expect ILS runway 27, UAE201.",25000,475,152,"('25.2532° N', '55.3657° E')"
04:47:00,UAE201,Pilot Acknowledgment,"Climb and maintain 25000 feet, UAE201.",25000,457,232,"('26.0765° N', '56.2406° E')"
04:47:30,UAE201,Pilot Report,"Holding short of runway 22R, ready for departure.",20000,439,307,"('28.7041° N', '77.1025° E')"
04:48:00,UAE201,Pilot Acknowledgment,"Maintaining present speed, UAE201.",35000,433,357,"('40.6413° N', '-73.7781° W')"
04:48:30,UAE201,ATC Instruction,Reduce speed to 250 knots.,30000,465,16,"('40.6413° N', '-73.7781° W')"
04:49:00,UAE201,Pilot Report,"Established on localizer, runway in sight.",5000,462,279,"('26.0765° N', '56.2406° E')"
04:49:30,UAE201,ATC Instruction,Expect vectors for ILS approach to runway 13R.,35000,458,36,"('26.0765° N', '56.2406° E')"
04:50:00,UAE201,Pilot Acknowledgment,"Reducing speed to 250 knots, UAE201.",25000,416,251,"('26.0765° N', '56.2406° E')"
04:50:30,UAE201,Pilot Report,"Established on localizer, runway in sight.",15000,495,329,"('25.2532° N', '55.3657° E')"
04:51:00,UAE201,Pilot Report,Engine 2 showing abnormal vibrations.,30000,497,77,"('28.7041° N', '77.1025° E')"
04:51:30,UAE201,ATC Instruction,Proceed direct to waypoint ALPHA.,20000,419,298,"('26.0765° N', '56.2406° E')"
04:52:00,UAE201,Pilot Report,"Runway vacated, taxiing to gate.",15000,404,188,"('28.7041° N', '77.1025° E')"
04:52:30,UAE201,Pilot Acknowledgment,"Taxiing to gate via taxiway Bravo, UAE201.",5000,431,345,"('28.7041° N', '77.1025° E')"
04:53:00,UAE201,ATC Instruction,Hold short of runway 12R.,15000,427,233,"('34.0837° N', '74.7973° E')"
04:53:30,UAE201,ATC Instruction,Reduce speed to 250 knots.,15000,478,147,"('34.0837° N', '74.7973° E')"
04:54:00,UAE201,Pilot Acknowledgment,"Descending to 25000 feet, UAE201.",25000,460,325,"('25.2532° N', '55.3657° E')"
04:54:30,UAE201,ATC Instruction,Maintain present speed.,25000,441,282,"('34.0837° N', '74.7973° E')"
04:55:00,UAE201,Pilot Report,Engine 2 showing abnormal vibrations.,15000,415,216,"('26.0765° N', '56.2406° E')"
04:55:30,UAE201,ATC Instruction,Cross runway 09L and continue taxi to terminal.,15000,404,39,"('28.7041° N', '77.1025° E')"
04:56:00,UAE201,Pilot Report,"Runway vacated, taxiing to gate.",20000,488,263,"('34.0837° N', '74.7973° E')"
04:56:30,UAE201,ATC Instruction,Climb to FL250 and maintain.,25000,430,297,"('40.6413° N', '-73.7781° W')"
04:57:00,UAE201,ATC Instruction,Switch to ground control on 121.9.,30000,435,44,"('28.7041° N', '77.1025° E')"
04:57:30,UAE201,ATC Instruction,Maintain present speed.,5000,462,98,"('34.0837° N', '74.7973° E')"
